	Marche	Puglia	Emilia-Romagna	Bolzano / Bozen	Sardegna	Molise	Calabria	Toscana	Liguria	Abruzzo	Lombardia	Campania	Sicilia	Umbria	Basilicata	Lazio	Piemonte	Trento	Friuli-Venezia Giulia	Valle d'Aosta / Vallée d'Aoste	Veneto
Marche	0	470851.4584375001	259783.2960555556	520896.470875	757107.52525	287912.469375	786107.8047999999	331154.3212375	541345.68253125	143189.47490625	464036.9409583333	413138.139875	1070703.2786666665	171033.36668749998	473578.7444374999	267750.59185	540442.7979843749	464615.65612500004	502723.02112499997	638387.62925	387615.1960714284
Puglia	470851.4584375001	0	714849.2424768517	976976.5803125002	958867.7643749998	273243.80166666664	368562.3146041667	746161.3366874999	979401.4794531249	373729.284609375	919865.9413541665	262875.32175	661635.5333333333	579797.62203125	144141.32755208333	478157.4927291668	996704.2194791668	921101.2409374999	959034.1352864584	1094873.2140625	843995.7896875001
Emilia-Romagna	259783.2960555556	714849.2424768517	0	295583.0565277778	705246.3445833336	530982.2262847223	985199.0104861112	204480.59716666656	305789.6479166667	384954.3541840277	220647.12072916667	610935.0505416666	1265633.3044444444	304206.7053819444	725183.497361111	416956.88655555557	296081.7154427084	241560.01805555553	315611.4434895833	394630.26416666666	192707.8322916666
Bolzano / Bozen	520896.470875	976976.5803125002	295583.0565277778	0	658518.66375	795015.5506249999	1225059.9595	419895.133125	434998.233125	646909.13203125	259837.29499999995	850530.7363750001	572277.04	556607.7384375001	987355.3903125	654778.5780000001	376798.89632812503	58634.42375	355703.74609375	454039.119375	206357.4654464286
Sardegna	757107.52525	958867.7643749998	705246.3445833336	658518.66375	0	672280.0612500001	917877.5020000003	683038.7517499995	674068.84125	655717.6012500001	784498.9629166665	703543.32525	713416.1604166667	718150.38875	879530.27125	516149.47725	797887.1799999998	484789.69375	922474.09125	484789.69375	599713.08375
Molise	287912.469375	273243.80166666664	530982.2262847223	795015.5506249999	672280.0612500001	0	485907.9512499999	473155.5794062501	702637.444375	170936.38695312498	739315.40765625	111839.86493750001	766797.0616666668	312943.413125	261952.17734374997	204868.24224999998	804885.386015625	740489.97375	774238.84609375	911129.9159375	659731.2859821428
Calabria	786107.8047999999	368562.3146041667	985199.0104861112	1225059.9595	917877.5020000003	485907.9512499999	0	882521.674325	1109182.43028125	652452.69909375	1169218.3035000002	393641.37502499996	326284.76866666664	720203.8965	299599.51343750005	613620.2730749999	1223921.80840625	1168614.7057499997	1224713.1948749998	1331127.3216250003	1108455.0355
Toscana	331154.3212375	746161.3366874999	204480.59716666656	419895.133125	683038.7517499995	473155.5794062501	882521.674325	0	236360.59773437498	433420.3264843749	328525.6548749999	507766.4403499999	572277.0399999992	220949.1209375	685126.7626250001	309282.8862625	357933.58307812514	364779.94749999995	426968.12128125003	459432.066625	308129.6610625
Liguria	541345.68253125	979401.4794531249	305789.6479166667	434998.233125	674068.84125	702637.444375	1109182.43028125	236360.59773437498	0	653367.55671875	238054.45249999993	734710.43878125	1388925.6366666667	440758.02218749997	911071.448203125	538931.8745624999	192721.96376953123	378359.369375	532276.2596484376	294951.45125000004	401563.08462053566
Abruzzo	143189.47490625	373729.284609375	384954.3541840277	646909.13203125	655717.6012500001	170936.38695312498	652452.69909375	433420.3264843749	653367.55671875	0	590790.3110416665	276808.37243750005	960385.0141666667	199702.19609375	375743.339453125	193174.97643749998	665610.0423437499	590525.15015625	627602.819375	764860.38265625	513995.62698660727
Lombardia	464036.9409583333	919865.9413541665	220647.12072916667	259837.29499999995	784498.9629166665	739315.40765625	1169218.3035000002	328525.6548749999	238054.45249999993	590790.3110416665	0	794540.8818333335	1449035.6850000003	500135.9399999999	931599.7774999999	598837.8495	164686.5946875	205910.1216666667	379014.14458333334	242432.18333333335	252349.39064732142
Campania	413138.139875	262875.32175	610935.0505416666	850530.7363750001	703543.32525	111839.86493750001	393641.37502499996	507766.4403499999	734710.43878125	276808.37243750005	794540.8818333335	0	673579.1446666666	345716.4273125	193500.14700000003	239151.393825	849446.9879375	794132.441125	850270.7270000002	956707.54425	733980.4469821427
Sicilia	1070703.2786666665	661635.5333333333	1265633.3044444444	572277.04	713416.1604166667	766797.0616666668	326284.76866666664	572277.0399999992	1388925.6366666667	960385.0141666667	1449035.6850000003	673579.1446666666	0	572277.0399999999	583336.4166666667	893489.9746666667	1503697.6916666667	572277.04	1504693.3491666666	572277.04	572277.0399999993
Umbria	171033.36668749998	579797.62203125	304206.7053819444	556607.7384375001	718150.38875	312943.413125	720203.8965	220949.1209375	440758.02218749997	199702.19609375	500135.9399999999	345716.4273125	572277.0399999999	0	522044.80765624996	142920.049375	555538.9710546874	500324.60906249995	556488.364453125	662899.7121875	440133.0441071429
Basilicata	473578.7444374999	144141.32755208333	725183.497361111	987355.3903125	879530.27125	261952.17734374997	299599.51343750005	685126.7626250001	911071.448203125	375743.339453125	931599.7774999999	193500.14700000003	583336.4166666667	522044.80765624996	0	415183.1035625	996594.4830859373	930867.639375	977569.3809374999	1099322.8071875	862548.4468303572
Lazio	267750.59185	478157.4927291668	416956.88655555557	654778.5780000001	516149.47725	204868.24224999998	613620.2730749999	309282.8862625	538931.8745624999	193174.97643749998	598837.8495	239151.393825	893489.9746666667	142920.049375	415183.1035625	0	653661.2559374999	598394.81725	654527.3233125	760907.433125	538226.5418035714
Piemonte	540442.7979843749	996704.2194791668	296081.7154427084	376798.89632812503	797887.1799999998	804885.386015625	1223921.80840625	357933.58307812514	192721.96376953123	665610.0423437499	164686.5946875	849446.9879375	1503697.6916666667	555538.9710546874	996594.4830859373	653661.2559374999	0	320413.15703125	481290.68792968744	155328.428828125	354861.45026785706
Trento	464615.65612500004	921101.2409374999	241560.01805555553	58634.42375	484789.69375	740489.97375	1168614.7057499997	364779.94749999995	378359.369375	590525.15015625	205910.1216666667	794132.441125	572277.04	500324.60906249995	930867.639375	598394.81725	320413.15703125	0	300139.83046875	397752.5525	158052.83098214286
Friuli-Venezia Giulia	502723.02112499997	959034.1352864584	315611.4434895833	355703.74609375	922474.09125	774238.84609375	1224713.1948749998	426968.12128125003	532276.2596484376	627602.819375	379014.14458333334	850270.7270000002	1504693.3491666666	556488.364453125	977569.3809374999	654527.3233125	481290.68792968744	300139.83046875	0	558435.46484375	164083.6870535714
Valle d'Aosta / Vallée d'Aoste	638387.62925	1094873.2140625	394630.26416666666	454039.119375	484789.69375	911129.9159375	1331127.3216250003	459432.066625	294951.45125000004	764860.38265625	242432.18333333335	956707.54425	572277.04	662899.7121875	1099322.8071875	760907.433125	155328.428828125	397752.5525	558435.46484375	0	434159.4551785714
Veneto	387615.1960714284	843995.7896875001	192707.8322916666	206357.4654464286	599713.08375	659731.2859821428	1108455.0355	308129.6610625	401563.08462053566	513995.62698660727	252349.39064732142	733980.4469821427	572277.0399999993	440133.0441071429	862548.4468303572	538226.5418035714	354861.45026785706	158052.83098214286	164083.6870535714	434159.4551785714	0
