	Marche	Puglia	Emilia-Romagna	Bolzano / Bozen	Sardegna	Molise	Calabria	Toscana	Liguria	Abruzzo	Lombardia	Campania	Sicilia	Umbria	Basilicata	Lazio	Piemonte	Trento	Friuli-Venezia Giulia	Valle d'Aosta / Vallée d'Aoste	Veneto
Marche	0.0	456566.65687500004	208806.974375	491219.236875	883813.78	315759.78	808104.93875	283839.193125	510585.1025	188242.69125000003	428280.975	421730.7275	1127490.54	158696.15312499998	468024.75937499997	293445.16375000007	543947.87625	435101.80562500004	508063.253125	608873.7787499999	359845.529375
Puglia	456566.65687500004	0.0	666943.4081250001	946900.4031250001	1021684.47	218546.333125	352407.688125	699768.2637499999	935855.23875	395213.81437499996	883289.543125	261858.60562500003	676613.03	582696.1399999999	126306.198125	443370.64312499994	999629.0425	890782.971875	963744.4137500001	1064554.945	815526.695625
Emilia-Romagna	208806.974375	666943.4081250001	0.0	280333.64937500004	757339.65	526318.750625	964238.3668750001	103590.78875	299460.94625000004	395539.39249999996	216097.71125	577677.3843749999	1287748.26	249085.63	711786.0743750001	384796.01249999995	333062.28875	224216.21375	299488.20625000005	397988.186875	151434.35249999998
Bolzano / Bozen	491219.236875	946900.4031250001	280333.64937500004	0.0	534728.97	805545.361875	1226815.35375	366256.01312499994	406671.08062499994	674303.0962500001	278494.98	840854.4581249999	572277.04	517731.55000000005	978712.1556249999	649277.6325	411475.818125	58634.42375	412315.09062499995	454039.119375	266567.42624999996
Sardegna	883813.78	1021684.47	757339.65	534728.97	0.0	795154.5700000001	850100.34	601428.05	757850.37	698982.04	869331.1499999999	793606.8200000001	462767.15	462767.15	930456.27	579900.75	920858.6499999999	361000.0	1054721.6099999999	361000.0	361000.0
Molise	315759.78	218546.333125	526318.750625	805545.361875	795154.5700000001	0.0	481697.2775	478376.48812500003	713329.98625	189796.82625	742180.60625	148900.17812499998	805018.2100000001	371511.61375	217604.689375	220845.39187500003	859031.5475	750185.4724999999	823146.9199999999	923957.4456249999	674929.19625
Calabria	808104.93875	352407.688125	964238.3668750001	1226815.35375	850100.34	481697.2775	0.0	861471.391875	1098692.344375	646362.173125	1163959.33	406151.749375	388643.38	755721.585	318369.08687500004	604198.045625	1256286.151875	1170334.25875	1259843.044375	1332909.361875	1114095.3800000001
Toscana	283839.193125	699768.2637499999	103590.78875	366256.01312499994	601428.05	478376.48812500003	861471.391875	0.0	236389.4975	366504.13625	302081.59875	475223.755625	572277.04	152255.005	613728.42375	282342.38375	395928.609375	310447.24124999996	402497.04	472394.704375	254279.31624999997
Liguria	510585.1025	935855.23875	299460.94625000004	406671.08062499994	757850.37	713329.98625	1098692.344375	236389.4975	0.0	603328.79625	147120.7	712576.2100000001	1420575.2999999998	389453.301875	850433.913125	520999.39	170405.479375	349349.58187500003	543678.7537499999	247028.68937500002	397931.089375
Abruzzo	188242.69125000003	395213.81437499996	395539.39249999996	674303.0962500001	698982.04	189796.82625	646362.173125	366504.13625	603328.79625	0.0	611057.68	268982.836875	1007560.74	174311.261875	406840.54000000004	114977.9125	726649.389375	617933.2562499999	688353.690625	792268.48875	542606.02625
Lombardia	428280.975	883289.543125	216097.71125	278494.98	869331.1499999999	742180.60625	1163959.33	302081.59875	147120.7	611057.68	0.0	777390.97	1486540.8599999999	454325.16	916032.87	585905.36	141336.18	221903.78	420107.99	183777.0	270750.43
Campania	421730.7275	261858.60562500003	577677.3843749999	840854.4581249999	793606.8200000001	148900.17812499998	406151.749375	475223.755625	712576.2100000001	268982.836875	777390.97	0.0	728894.62	369934.250625	158084.40375	218410.71125	870498.8175	784546.9243750001	874055.71	947122.0275000001	728308.045625
Sicilia	1127490.54	676613.03	1287748.26	572277.04	462767.15	805018.2100000001	388643.38	572277.04	1420575.2999999998	1007560.74	1486540.8599999999	728894.62	0.0	572277.04	640956.72	926929.87	1579137.17	572277.04	1578738.9	572277.04	572277.04
Umbria	158696.15312499998	582696.1399999999	249085.63	517731.55000000005	462767.15	371511.61375	755721.585	152255.005	389453.301875	174311.261875	454325.16	369934.250625	572277.04	0.0	507698.27812499995	178263.755	547359.5956250001	461407.70249999996	550916.4881249999	623982.805625	405168.82375
Basilicata	468024.75937499997	126306.198125	711786.0743750001	978712.1556249999	930456.27	217604.689375	318369.08687500004	613728.42375	850433.913125	406840.54000000004	916032.87	158084.40375	640956.72	507698.27812499995	0.0	356044.35250000004	1008132.46	922180.57125	1011689.3512500001	1084755.674375	865941.6924999999
Lazio	293445.16375000007	443370.64312499994	384796.01249999995	649277.6325	579900.75	220845.39187500003	604198.045625	282342.38375	520999.39	114977.9125	585905.36	218410.71125	926929.87	178263.755	356044.35250000004	0.0	678895.933125	592944.04	682452.8256249999	755519.1431250001	536705.1612500001
Piemonte	543947.87625	999629.0425	333062.28875	411475.818125	920858.6499999999	859031.5475	1256286.151875	395928.609375	170405.479375	726649.389375	141336.18	870498.8175	1579137.17	547359.5956250001	1008132.46	678895.933125	0.0	355075.84437500004	549405.0162500001	115951.36375	403657.35187500005
Trento	435101.80562500004	890782.971875	224216.21375	58634.42375	361000.0	750185.4724999999	1170334.25875	310447.24124999996	349349.58187500003	617933.2562499999	221903.78	784546.9243750001	572277.04	461407.70249999996	922180.57125	592944.04	355075.84437500004	0.0	356028.518125	397752.5525	210280.859375
Friuli-Venezia Giulia	508063.253125	963744.4137500001	299488.20625000005	412315.09062499995	1054721.6099999999	823146.9199999999	1259843.044375	402497.04	543678.7537499999	688353.690625	420107.99	874055.71	1578738.9	550916.4881249999	1011689.3512500001	682452.8256249999	549405.0162500001	356028.518125	0.0	590974.5662499999	161437.885
Valle d'Aosta / Vallée d'Aoste	608873.7787499999	1064554.945	397988.186875	454039.119375	361000.0	923957.4456249999	1332909.361875	472394.704375	247028.68937500002	792268.48875	183777.0	947122.0275000001	572277.04	623982.805625	1084755.674375	755519.1431250001	115951.36375	397752.5525	590974.5662499999	0.0	446255.65499999997
Veneto	359845.529375	815526.695625	151434.35249999998	266567.42624999996	361000.0	674929.19625	1114095.3800000001	254279.31624999997	397931.089375	542606.02625	270750.43	728308.045625	572277.04	405168.82375	865941.6924999999	536705.1612500001	403657.35187500005	210280.859375	161437.885	446255.65499999997	0.0
