Province	Year	Population	internal_migration - Foreign country	internal_migration - Italy	internal_migration - Total	reach_difficulty - Pharmacy	reach_difficulty - Food stores, markets	reach_difficulty - Police, carabinieri	reach_difficulty - Emergency room	reach_difficulty - Supermarket	reach_difficulty - Municipal offices	reach_difficulty - Post offices	unemployment - Females	unemployment - Males	unemployment - Total	Born alive	Average monthly expenditure for housing	homogeneity_net_income - Excluding imputed rents	homogeneity_net_income - Including imputed rents	Clothing and footwear	Housing, water, electricity, gas and other fuels	Other goods and services	Alcoholic beverages and tobacco	Communications	Education	Furniture, articles and services for the house	Food and non-alcoholic beverages	Recreation, shows and culture	Accommodation and catering services	Health services and health expenditure	Transport	Non food	Total	political_info - Never	political_info - Some times in a week	political_info - Some times in a month	political_info - Some times in a year	political_info - Every day	political_info - A time per week	Free activity for a union	Free activities in voluntary associations	Free activities in non voluntary associations	Meetings in cultural, recreational or other associations	Meetings in ecological associations, for civil rights, for peace	Pay money to an association	Average age of fathers at birth	Average age of mothers at birth	Total fertility rate
Abruzzo	2005	1280044	3005.0	21989.0	24994.0	124.0	121.0	184.0	304.0	218.0	171.0	139.0	27.272	14.218	41.49	11200	12.3	0.289	0.258	210.04	665.71	190.85	40.03	74.4	10.63	84.28	413.62	121.24	58.8	98.26	226.89	1781.13	2194.75	331.0	215.0	94.0	116.0	326.0	34.0	18.0	81.0	34.0	80.0	19.0	176.0	34.98	31.36	1.23
Abruzzo	2006	1283830	3111.0	21855.0	24966.0	120.0	104.0	191.0	309.0	190.0	160.0	118.0	20.168	14.475999999999999	34.644	11087	12.3	0.31	0.275	174.63	703.05	192.25	37.35	68.43	9.56	78.58	420.08	118.12	67.92	77.16	233.66	1760.71	2180.79	365.0	205.0	80.0	65.0	363.0	36.0	11.0	57.0	34.0	94.0	12.0	127.0	35.2	31.46	1.23
Abruzzo	2007	1285456	3250.0	23294.0	26544.0	127.0	105.0	194.0	295.0	177.0	162.0	121.0	20.576	12.095999999999998	32.672	11428	11.9	0.317	0.281	207.04	723.89	204.38	39.78	80.13	6.28	90.6	415.57	126.93	74.57	93.2	247.1	1893.9	2309.47	331.0	224.0	98.0	66.0	350.0	43.0	14.0	70.0	33.0	94.0	14.0	144.0	35.15	31.47	1.28
Abruzzo	2008	1297991	3806.0	23459.0	27265.0	136.0	125.0	208.0	282.0	187.0	179.0	130.0	19.396	16.794	36.19	11743	12.1	0.282	0.252	197.63	727.34	201.44	42.49	74.72	4.92	88.14	426.03	116.15	78.47	151.37	246.71	1929.38	2355.41	300.0	246.0	78.0	74.0	388.0	49.0	9.0	77.0	25.0	94.0	20.0	117.0	35.24	31.57	1.33
Abruzzo	2009	1306029	3948.0	21017.0	24965.0	101.0	83.0	179.0	279.0	167.0	161.0	91.0	21.589000000000002	20.656	42.245	11402	12.3	0.304	0.273	205.79	772.42	203.61	38.63	80.78	5.25	95.95	457.6	115.87	78.98	100.24	262.97	1960.49	2418.09	269.0	259.0	96.0	65.0	393.0	38.0	17.0	72.0	30.0	84.0	23.0	123.0	35.22	31.54	1.31
Abruzzo	2010	1307778	3969.0	20820.0	24789.0	131.0	129.0	205.0	321.0	176.0	180.0	134.0	24.498	21.643	46.141999999999996	11737	11.7	0.299	0.258	192.95	740.8	197.12	35.57	69.54	8.9	171.18	439.19	121.08	65.68	123.2	196.14	1922.16	2361.35	312.0	232.0	118.0	101.0	314.0	63.0	15.0	76.0	35.0	88.0	13.0	166.0	35.3	31.73	1.37
Abruzzo	2011	1307273	4284.0	21413.0	25697.0	133.0	123.0	206.0	309.0	183.0	176.0	127.0	23.448	23.315	46.763000000000005	11338	13.6	0.307	0.265	159.65	781.15	187.31	38.69	77.85	9.2	120.31	395.87	121.43	72.1	112.73	306.78	1987.2	2383.07	284.0	225.0	93.0	65.0	427.0	45.0	6.0	110.0	44.0	120.0	27.0	161.0	35.2	31.64	1.35
Abruzzo	2012	1306416	5362.0	26679.0	32041.0	110.0	114.0	165.0	287.0	161.0	163.0	123.0	29.611	31.144000000000002	60.755	11188	12.2	0.304	0.261	147.94	754.0	179.09	43.35	68.88	3.91	84.34	440.55	111.31	66.01	104.88	222.49	1786.2	2226.75	248.0	279.0	100.0	78.0	388.0	44.0	12.0	69.0	28.0	83.0	12.0	113.0	35.3	31.72	1.34
Abruzzo	2013	1312507	4694.0	23727.0	28421.0	132.0	140.0	200.0	297.0	199.0	189.0	142.0	25.65	35.961999999999996	61.611999999999995	10791	12.0	0.313	0.27699999999999997	119.1	759.55	157.21	39.95	63.84	4.73	73.45	415.18	92.88	66.37	96.93	238.39	1712.4	2127.58	227.0	263.0	108.0	77.0	439.0	33.0	9.0	84.0	22.0	103.0	15.0	114.0	35.46	31.94	1.3
Abruzzo	2014	1333939	4466.0	22049.0	26515.0	114.0	124.0	194.0	287.0	182.0	176.0	128.0	33.080999999999996	35.24	68.321	10534	10.9	0.303	0.266	95.43	809.15	186.13	37.27	53.24	8.31	78.43	397.06	84.87	65.64	91.34	223.43	1733.23	2130.29	288.0	261.0	92.0	71.0	379.0	48.0	18.0	101.0	52.0	106.0	19.0	146.0	35.46	31.89	1.29
Abruzzo	2015	1331574	3727.0	21610.0	25337.0	137.0	141.0	219.0	345.0	203.0	192.0	153.0	34.414	34.696999999999996	69.111	10238	10.2	0.312	0.26899999999999996	91.12	839.7	171.43	38.99	53.33	9.7	79.53	400.79	89.54	76.38	94.17	211.23	1755.1	2155.88	247.0	296.0	120.0	74.0	359.0	47.0	18.0	98.0	34.0	104.0	14.0	150.0	35.51	32.04	1.28
Basilicata	2005	592650	280.0	5407.0	5687.0	77.0	56.0	94.0	139.0	97.0	92.0	85.0	15.184000000000001	11.767000000000001	26.951	4908	13.0	0.29	0.267	150.47	543.26	115.9	40.7	72.8	6.36	118.99	454.22	77.3	66.07	72.42	286.85	1551.12	2005.34	154.0	85.0	66.0	70.0	112.0	14.0	9.0	37.0	16.0	41.0	10.0	70.0	35.28	31.33	1.16
Basilicata	2006	589480	270.0	5234.0	5504.0	60.0	41.0	90.0	149.0	75.0	78.0	60.0	11.917	11.222000000000001	23.138	4958	12.8	0.308	0.27899999999999997	147.58	568.5	117.87	36.82	76.07	3.6	105.36	430.54	71.3	62.99	61.1	225.03	1476.22	1906.76	171.0	82.0	41.0	42.0	147.0	21.0	10.0	47.0	19.0	45.0	14.0	82.0	35.3	31.44	1.2
Basilicata	2007	585732	319.0	5428.0	5747.0	64.0	58.0	96.0	148.0	79.0	82.0	70.0	11.68	8.432	20.112000000000002	4873	12.1	0.313	0.285	145.86	534.86	120.03	37.41	72.32	3.69	122.6	460.52	64.86	61.3	72.61	249.36	1484.9	1945.42	143.0	98.0	51.0	39.0	148.0	18.0	9.0	40.0	20.0	47.0	8.0	78.0	35.46	31.53	1.2
Basilicata	2008	584871	345.0	5098.0	5443.0	76.0	63.0	100.0	148.0	77.0	88.0	80.0	12.003	11.959000000000001	23.962	4923	12.2	0.298	0.27	156.94	527.36	117.43	37.34	67.06	6.57	105.82	461.83	58.72	52.39	76.12	246.82	1452.57	1914.4	166.0	98.0	44.0	37.0	145.0	14.0	5.0	46.0	18.0	47.0	11.0	68.0	35.48	31.66	1.23
Basilicata	2009	583556	503.0	5106.0	5609.0	62.0	54.0	92.0	158.0	80.0	82.0	71.0	11.106	12.667	23.773000000000003	4729	12.1	0.307	0.27899999999999997	173.72	520.44	114.1	37.41	68.34	3.7	88.84	425.62	60.23	66.06	78.58	201.44	1412.86	1838.48	145.0	100.0	54.0	43.0	134.0	20.0	8.0	42.0	14.0	48.0	8.0	75.0	35.82	32.05	1.2
Basilicata	2010	581140	503.0	5091.0	5594.0	72.0	66.0	89.0	170.0	79.0	88.0	76.0	12.57	14.470999999999998	27.041	4612	11.2	0.344	0.313	152.05	532.42	121.52	34.66	62.58	1.96	100.91	435.81	57.99	65.73	78.37	231.55	1439.74	1875.55	172.0	88.0	48.0	65.0	111.0	15.0	9.0	49.0	19.0	48.0	13.0	75.0	35.89	32.02	1.2
Basilicata	2011	579358	527.0	5808.0	6335.0	65.0	60.0	97.0	148.0	73.0	80.0	72.0	10.177	14.790999999999999	24.967	4483	10.8	0.349	0.31	125.99	603.55	116.7	37.37	64.04	4.1	91.57	454.1	47.24	61.22	58.55	208.29	1418.62	1872.72	139.0	108.0	36.0	41.0	148.0	16.0	7.0	41.0	13.0	44.0	9.0	68.0	35.92	32.01	1.19
Basilicata	2012	577562	622.0	6646.0	7268.0	69.0	59.0	90.0	142.0	74.0	85.0	72.0	11.612	19.33	30.941999999999997	4480	11.0	0.342	0.305	113.31	550.72	111.72	40.51	65.82	3.65	96.51	454.03	63.57	69.59	80.85	235.95	1432.2	1886.23	171.0	78.0	35.0	37.0	147.0	21.0	8.0	37.0	13.0	33.0	8.0	58.0	35.97	32.11	1.2
Basilicata	2013	576194	738.0	5547.0	6285.0	69.0	59.0	98.0	159.0	76.0	84.0	82.0	11.905	20.21	32.115	4101	10.5	0.301	0.265	109.81	591.68	131.01	38.85	63.52	4.65	78.07	446.77	61.99	47.34	73.06	226.91	1426.89	1873.66	143.0	114.0	39.0	29.0	158.0	19.0	6.0	48.0	19.0	41.0	9.0	54.0	36.06	32.28	1.12
Basilicata	2014	578391	644.0	5388.0	6032.0	69.0	67.0	111.0	170.0	94.0	89.0	82.0	12.952	18.551	31.503	4123	12.1	0.304	0.271	123.28	576.0	141.43	44.95	63.71	6.79	91.42	432.32	58.71	51.03	75.04	214.75	1447.11	1879.43	131.0	99.0	60.0	42.0	133.0	26.0	6.0	43.0	13.0	42.0	6.0	59.0	36.17	32.3	1.15
Basilicata	2015	576619	517.0	5096.0	5613.0	62.0	61.0	93.0	159.0	88.0	81.0	72.0	12.912	17.047	29.959	4122	12.2	0.32	0.284	127.82	557.91	123.4	44.08	60.09	11.02	95.91	445.2	59.99	64.77	85.88	247.27	1478.14	1923.34	162.0	91.0	60.0	50.0	115.0	16.0	6.0	41.0	14.0	48.0	6.0	59.0	35.95	32.23	1.17
Bolzano / Bozen	2005	949136	1867.0	9022.0	10889.0	47.0	31.0	62.0	78.0	45.0	51.0	46.0	3.391	2.8810000000000002	6.272	5525	13.0	0.27699999999999997	0.25	145.15	1028.06	286.79	40.47	102.09	8.24	143.09	546.0	225.94	217.91	194.45	418.86	2811.05	3357.05	59.0	83.0	43.0	36.0	141.0	25.0	4.0	84.0	80.0	124.0	14.0	162.0	35.16	30.91	1.6
