Province	Year	native population - Total	internal_migration - Foreign country	internal_migration - Italy	reach_difficulty - Pharmacy	reach_difficulty - Food stores, markets	reach_difficulty - Police, carabinieri	reach_difficulty - Emergency room	reach_difficulty - Supermarket	reach_difficulty - Municipal offices	reach_difficulty - Post offices	work_satisfaction - Quite	work_satisfaction - Very	work_satisfaction - Not at all	work_satisfaction - Not	unemployment - Total	Born alive	Average monthly expenditure for housing	Disposable Income	Clothing and footwear	Housing, water, electricity, gas and other fuels	Other goods and services	Alcoholic beverages and tobacco	Communications	Education	Furniture, articles and services for the house	Food and non-alcoholic beverages	Recreation, shows and culture	Accommodation and catering services	Health services and health expenditure	Transport	Non food	political_info - Never	political_info - Some times in a week	political_info - Some times in a month	political_info - Some times in a year	political_info - Every day	political_info - A time per week	Free activity for a union	Free activities in voluntary associations	Free activities in non voluntary associations	Meetings in cultural, recreational or other associations	Meetings in ecological associations, for civil rights, for peace	Pay money to an association	Average age of fathers at birth	Average age of mothers at birth	Total fertility rate
Centro	2005	11132123	33238.0	216642.0	1006.0	849.0	1608.0	2334.0	1243.0	1846.0	1214.0	59.7	14.9	3.1	17.4	313.2935	103260	13.1	7352.9	135.4	997.77	235.88	42.77	86.36	10.03	138.28	442.8	146.23	125.66	87.68	244.41	2250.48	2075.0	1974.0	840.0	656.0	3598.0	317.0	161.0	803.0	314.0	872.0	195.0	1857.0	35.03	31.39	1.29
Centro	2006	11187269	35697.0	210115.0	1044.0	997.0	1731.0	2428.0	1435.0	1894.0	1276.0	60.2	16.3	3.0	16.6	299.095	105927	13.0	7546.4	132.92	1003.11	226.68	43.52	85.51	13.13	131.74	451.47	136.81	125.68	97.98	256.11	2253.18	2144.0	2010.0	771.0	567.0	3729.0	354.0	169.0	780.0	269.0	810.0	198.0	1727.0	35.16	31.48	1.34
Centro	2007	11238482	35215.0	207195.0	1024.0	947.0	1701.0	2447.0	1374.0	1770.0	1244.0	62.3	14.6	2.4	16.0	260.623	106633	12.8	8183.9	130.31	1025.28	219.35	45.8	83.2	12.43	123.35	456.78	132.05	127.02	110.53	287.61	2296.93	2011.0	1997.0	829.0	492.0	4133.0	313.0	164.0	776.0	285.0	811.0	189.0	1752.0	35.21	31.51	1.36
Centro	2008	11364120	41501.0	222354.0	1070.0	1012.0	1727.0	2535.0	1438.0	1867.0	1262.0	61.1	14.9	3.0	16.7	309.226	113123	13.6	8482.0	124.84	1052.66	218.52	46.87	83.96	11.17	118.2	468.7	137.84	112.77	112.2	295.47	2314.52	1964.0	2069.0	873.0	539.0	4072.0	317.0	143.0	793.0	256.0	890.0	158.0	1612.0	35.25	31.55	1.45
Centro	2009	11472911	45472.0	199980.0	1106.0	1028.0	1713.0	2655.0	1345.0	2014.0	1309.0	58.3	14.9	3.7	17.9	365.866	109426	12.6	8832.8	118.9	1107.47	209.54	42.82	79.07	10.38	110.13	443.59	128.96	131.27	107.95	261.86	2308.36	2043.0	2134.0	791.0	583.0	4019.0	357.0	158.0	873.0	322.0	895.0	165.0	1852.0	35.27	31.61	1.42
Centro	2010	11520777	46994.0	201223.0	970.0	955.0	1730.0	2598.0	1240.0	1960.0	1251.0	61.9	14.6	3.1	17.1	384.308	108931	12.4	9015.0	121.36	1078.86	207.32	41.27	78.2	9.94	115.06	444.13	126.16	125.39	113.22	256.1	2272.88	2181.0	2123.0	985.0	498.0	3891.0	392.0	142.0	948.0	330.0	968.0	202.0	2009.0	35.32	31.68	1.44
Centro	2011	11576480	49132.0	201743.0	1099.0	983.0	1768.0	2710.0	1400.0	1951.0	1318.0	62.8	15.1	3.1	16.2	384.4635	107597	12.7	9074.6	110.48	1119.3	207.88	40.36	75.96	12.52	109.42	444.4	133.27	133.11	114.84	261.83	2318.96	1937.0	2121.0	838.0	409.0	4331.0	376.0	141.0	829.0	348.0	919.0	174.0	1764.0	35.35	31.74	1.45
Centro	2012	11591705	60607.0	247941.0	1082.0	1039.0	1845.0	2764.0	1392.0	1931.0	1286.0	61.9	13.7	2.8	17.6	492.98400000000004	104951	12.2	9144.2	97.48	1064.16	207.19	43.03	75.4	15.95	99.34	448.8	115.64	128.43	105.49	271.0	2223.11	2144.0	2172.0	898.0	528.0	3869.0	394.0	156.0	832.0	350.0	796.0	174.0	1488.0	35.4	31.78	1.42
Centro	2013	11681498	52379.0	200401.0	983.0	1043.0	1627.0	2552.0	1324.0	1940.0	1219.0	59.3	14.1	4.8	18.9	564.4515	101674	13.6	9316.0	95.42	1038.91	199.33	43.73	71.03	13.58	92.13	444.43	118.3	125.66	94.71	256.48	2149.28	1871.0	2415.0	702.0	504.0	4416.0	366.0	153.0	939.0	321.0	900.0	190.0	1443.0	35.41	31.81	1.39
Centro	2014	12070842	49738.0	195058.0	1081.0	1109.0	1773.0	2647.0	1390.0	1941.0	1349.0	60.8	14.5	3.7	18.1	616.1669999999999	98856	12.9	9513.2	94.7	1042.95	200.93	41.18	67.07	13.66	102.52	449.03	124.61	120.3	104.75	246.75	2159.42	2102.0	2511.0	692.0	468.0	4147.0	379.0	144.0	955.0	375.0	855.0	195.0	1649.0	35.45	31.86	1.35
Centro	2015	12090637	43566.0	193689.0	1113.0	1160.0	1845.0	2775.0	1470.0	2096.0	1382.0	62.0	15.1	2.8	16.7	577.9415	94171	12.6	9576.9	94.48	1028.68	179.89	43.32	65.03	14.3	97.85	454.57	128.06	126.75	107.24	259.51	2145.11	2055.0	2550.0	786.0	504.0	4025.0	458.0	140.0	1021.0	368.0	961.0	200.0	1602.0	35.54	31.98	1.31
Centro	2016	12067803	48982.0	196454.0	1122.0	1124.0	1906.0	2921.0	1488.0	2113.0	1432.0	60.2	15.7	3.1	17.7	567.538	92346	12.8	9592.1	92.73	1067.21	177.72	41.16	60.84	14.44	101.65	431.23	128.54	124.91	107.32	264.7	2181.22	2222.0	2395.0	928.0	583.0	3802.0	464.0	141.0	1024.0	369.0	937.0	209.0	1617.0	35.67	32.12	1.31
Isole	2005	6601313	3586.0	100912.0	665.0	572.0	1014.0	1500.0	819.0	1026.0	815.0	55.8	12.7	3.7	23.9	367.406	64017	12.4	4617.0	267.29999999999995	1079.91	386.22	84.59	165.92000000000002	38.519999999999996	372.25	932.3799999999999	248.64999999999998	267.68	178.19	534.72	3623.95	1950.0	993.0	434.0	512.0	1540.0	112.0	77.0	341.0	109.0	359.0	78.0	554.0	34.14	30.31	1.34
