Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Andalucía	2003	17925.0	17925.0	17925.0	17925.0
Andalucía	2004	17925.0	17925.0	17925.0	17925.0
Andalucía	2005	17051.5	16789.45	16527.4	16265.35
Andalucía	2006	15783.75	15311.7075	14918.28	14603.4675
Andalucía	2007	14356.875	13763.597625	13327.655999999999	13013.673375
Andalucía	2008	12416.4375	11626.65916875	11046.3312	10602.88366875
Andalucía	2009	10377.71875	9489.6807090625	8880.46624	8452.1941834375
Andalucía	2010	9102.859375	8409.588248171875	8038.493248	7859.209709171875
Andalucía	2011	7748.9296875	7100.105886860156	6723.6986496	6468.210485458594
Andalucía	2012	6087.96484375	5362.587060401054	4886.33972992	4529.06052427293
Andalucía	2013	5081.482421875	4525.655471140369	4237.267945984	4097.703026213647
Andalucía	2014	4145.7412109375	3670.479414899129	3415.4535891968	3254.3851513106824
Andalucía	2015	3373.87060546875	2975.967795214695	2764.69071783936	2634.619257565534
Andalucía	2016	2626.935302734375	2263.588728325143	2056.938143567872	1917.7309628782768
Aragón	2003	4906.0	4906.0	4906.0	4906.0
Aragón	2004	4906.0	4906.0	4906.0	4906.0
Aragón	2005	4733.5	4681.75	4630.0	4578.25
Aragón	2006	4664.25	4625.3625	4602.0	4594.1625
Aragón	2007	4464.625	4391.126875	4332.4	4281.458125
Aragón	2008	3907.8125	3715.04440625	3547.2799999999997	3397.5229062500002
Aragón	2009	3378.90625	3152.7655421875	2989.456	2877.3761453125
Aragón	2010	2987.953125	2791.517939765625	2675.4912	2611.018807265625
Aragón	2011	2525.9765625	2318.6312789179688	2186.29824	2091.3509403632816
Aragón	2012	1965.98828125	1725.420947621289	1562.059648	1440.2675470181641
Aragón	2013	1474.994140625	1243.4973316674511	1099.6119296	1006.8133773509082
Aragón	2014	1085.9970703125	888.2740660836079	777.52238592	712.4906688675454
Aragón	2015	746.49853515625	575.4459231292627	481.104477184	422.27453344337727
Aragón	2016	501.249267578125	367.8060730952419	301.0208954368	264.31372667216885
Canarias	2003	3352.0	3352.0	3352.0	3352.0
Canarias	2004	3352.0	3352.0	3352.0	3352.0
Canarias	2005	3250.5	3220.05	3189.6	3159.15
Canarias	2006	3117.25	3066.6175000000003	3025.12	2992.7575
Canarias	2007	2999.625	2946.616125	2910.624	2887.537875
Canarias	2008	2759.8125	2669.31564375	2598.1248	2538.37689375
Canarias	2009	2456.90625	2334.3604753125	2242.82496	2173.2188446874998
Canarias	2010	2293.453125	2201.526166359375	2152.564992	2132.160942234375
Canarias	2011	2060.7265625	1958.7341582257814	1892.9129984	1843.2080471117188
Canarias	2012	1720.36328125	1582.5569553790235	1482.58259968	1403.160402355586
Canarias	2013	1474.681640625	1352.7449343826581	1279.716519936	1237.7080201177794
Canarias	2014	1237.8408203125	1124.1107270339303	1056.7433039871999	1012.835401005889
Canarias	2015	996.92041015625	884.8387544618756	816.14866079744	768.8417700502945
Canarias	2016	724.960205078125	604.1435640616564	525.629732159488	468.79208850251473
Cantabria	2003	976.0	976.0	976.0	976.0
Cantabria	2004	976.0	976.0	976.0	976.0
Cantabria	2005	932.5	919.45	906.4	893.35
Cantabria	2006	870.75	847.6575	828.48	813.2175
Cantabria	2007	779.375	743.880125	716.096	694.2608749999999
Cantabria	2008	657.6875	608.7580437500001	572.0192	543.91304375
Cantabria	2009	587.34375	549.1153153125	528.00384	518.3456521875
Cantabria	2010	548.671875	523.690360359375	513.600768	510.417282609375
Cantabria	2011	440.3359375	399.0916261257812	368.3201536	340.9208641304688
Cantabria	2012	342.16796875	298.2820691440234	268.86403072	248.84604320652346
Cantabria	2013	281.583984375	248.0487242004082	230.572806144	222.39230216032618
Cantabria	2014	249.2919921875	227.86705347014288	219.7145612288	217.2696151080163
Cantabria	2015	207.14599609375	187.00346871455	175.94291224576	167.61348075540081
Cantabria	2016	146.572998046875	121.3512140500925	103.98858244915199	90.08067403777004
Castilla y León	2003	3528.0	3528.0	3528.0	3528.0
Castilla y León	2004	3528.0	3528.0	3528.0	3528.0
Castilla y León	2005	3422.5	3390.85	3359.2	3327.55
Castilla y León	2006	3272.25	3216.0975	3169.44	3132.2775
Castilla y León	2007	3073.125	2993.734125	2933.088	2886.913875
Castilla y León	2008	2816.0625	2711.15694375	2633.8176	2575.39569375
Castilla y León	2009	2535.53125	2414.6549303125003	2330.76352	2271.0197846875
Castilla y León	2010	2283.265625	2165.2792256093753	2090.952704	2043.000989234375
Castilla y León	2011	1842.1328125	1668.4977289632814	1538.9905408	1433.1000494617188
Castilla y León	2012	1380.06640625	1180.6742051371484	1042.19810816	943.7550024730859
Castilla y León	2013	1056.033203125	889.0359717980019	794.039621632	742.5877501236544
Castilla y León	2014	833.0166015625	707.6625901293007	646.8079243264	616.6293875061828
Castilla y León	2015	607.50830078125	495.98190654525524	434.96158486528	393.7314693753092
Castilla y León	2016	425.754150390625	332.19366729083936	282.192316973056	251.48657346876547
Castilla-La Mancha	2003	3916.0	3916.0	3916.0	3916.0
Castilla-La Mancha	2004	3916.0	3916.0	3916.0	3916.0
Castilla-La Mancha	2005	3568.5	3464.25	3360.0	3255.75
Castilla-La Mancha	2006	3230.75	3092.9375	2986.4	2911.1375
Castilla-La Mancha	2007	2957.875	2827.778125	2745.28	2696.306875
Castilla-La Mancha	2008	2521.9375	2345.62234375	2217.8559999999998	2116.5153437500003
Castilla-La Mancha	2009	2037.96875	1831.0678203124999	1686.7712	1582.1257671875
Castilla-La Mancha	2010	1617.484375	1418.923737109375	1294.95424	1216.256288359375
Castilla-La Mancha	2011	1246.7421875	1066.0233079882812	959.790848	893.0128144179687
Castilla-La Mancha	2012	917.87109375	755.9581577958984	663.1581696000001	604.2006407208985
Castilla-La Mancha	2013	724.435546875	609.7353552285645	557.43163392	534.6600320360449
Castilla-La Mancha	2014	573.7177734375	488.3573743299976	449.886326784	428.58300160180227
Castilla-La Mancha	2015	464.85888671875	402.32508101549917	374.7772653568	359.6291500800901
Castilla-La Mancha	2016	375.429443359375	326.7137783554247	303.75545307135997	289.6814575040045
Cataluña	2003	49357.0	49357.0	49357.0	49357.0
Cataluña	2004	49357.0	49357.0	49357.0	49357.0
Cataluña	2005	48425.0	48145.4	47865.8	47586.2
Cataluña	2006	47255.5	46806.79	46441.96	46161.01
Cataluña	2007	46137.25	45644.7265	45303.592	45076.1005
Cataluña	2008	42392.625	41096.854275	39979.1184	38969.405025
Cataluña	2009	38040.8125	36281.74899625	34947.02368	33953.02025125
Cataluña	2010	36415.90625	35312.7621486875	34822.204736	34749.1010125625
Cataluña	2011	32251.953125	30616.666752040626	29434.8409472	28421.055050628125
Cataluña	2012	25967.4765625	23509.78336321422	21633.36818944	20119.90275253141
Cataluña	2013	20563.23828125	18081.77417712498	16453.873637888	15407.04513762657
Cataluña	2014	14964.119140625	12415.870961993744	10782.774727577598	9667.102256881328
Cataluña	2015	10785.0595703125	8639.45483669781	7441.354945515519	6759.055112844067
Cataluña	2016	7591.02978515625	5881.859192844234	5005.870989103103	4515.102755642203
Com. Foral de Navarra	2003	1225.0	1225.0	1225.0	1225.0
Com. Foral de Navarra	2004	1225.0	1225.0	1225.0	1225.0
Com. Foral de Navarra	2005	1166.5	1148.95	1131.4	1113.85
Com. Foral de Navarra	2006	1018.75	968.2825	923.08	883.1425
Com. Foral de Navarra	2007	880.875	821.848875	779.016	750.007125
Com. Foral de Navarra	2008	746.9375	686.09710625	646.2031999999999	619.85035625
Com. Foral de Navarra	2009	650.46875	600.2339871875	572.44064	557.2925178125
Com. Foral de Navarra	2010	641.734375	621.531895515625	620.888128	629.214625890625
Com. Foral de Navarra	2011	571.3671875	543.1861634304687	524.9776256	507.4107312945313
Com. Foral de Navarra	2012	496.68359375	464.41515720066405	442.59552512	426.27053656472657
Com. Foral de Navarra	2013	432.841796875	402.3953050202324	383.719105024	371.86352682823633
Com. Foral de Navarra	2014	357.4208984375	324.13835675708134	302.3438210048	286.4931763414118
Com. Foral de Navarra	2015	294.71044921875	264.24842486497846	246.06876420096	234.72465881707058
Com. Foral de Navarra	2016	198.355224609375	158.78694870274245	130.813752840192	108.63623294085353
Com. Valenciana	2003	19548.0	19548.0	19548.0	19548.0
Com. Valenciana	2004	19548.0	19548.0	19548.0	19548.0
Com. Valenciana	2005	18973.5	18801.15	18628.8	18456.45
Com. Valenciana	2006	18062.25	17728.5525	17446.56	17216.2725
Com. Valenciana	2007	17024.125	16595.893375	16278.112000000001	16047.513625
Com. Valenciana	2008	15610.5625	15036.61268125	14613.2224	14289.525681250001
Com. Valenciana	2009	14062.28125	13396.9144384375	12933.84448	12602.7762840625
Com. Valenciana	2010	13417.640625	12991.370053453125	12805.168896	12764.488814203125
Com. Valenciana	2011	12010.3203125	11438.929518708594	11043.4337792	10711.074440710156
Com. Valenciana	2012	9969.16015625	9156.825331548007	8551.08675584	8067.153722035508
Com. Valenciana	2013	8555.580078125	7847.188866041803	7423.817351168	7188.257686101775
Com. Valenciana	2014	7313.2900390625	6692.6661031146305	6341.5634702336	6126.862884305088
Com. Valenciana	2015	5837.14501953125	5177.083136090121	4757.11269404672	4449.293144215255
Com. Valenciana	2016	4560.072509765625	3945.9290976315424	3577.822538809344	3341.3146572107626
Com. de Madrid	2003	46425.0	46425.0	46425.0	46425.0
Com. de Madrid	2004	46425.0	46425.0	46425.0	46425.0
Com. de Madrid	2005	45554.0	45292.7	45031.4	44770.1
Com. de Madrid	2006	44224.0	43733.545	43321.48	42987.805
Com. de Madrid	2007	41590.5	40628.79075	39829.896	39158.54025
Com. de Madrid	2008	37539.75	35987.9267625	34757.1792	33772.4770125
Com. de Madrid	2009	32507.875	30455.174366875	28932.23584	27790.823850624998
Com. de Madrid	2010	29529.9375	27918.11102840625	27028.047168	26613.94119253125
Com. de Madrid	2011	26726.96875	25321.938859942187	24544.8094336	24058.497059626563
Com. de Madrid	2012	21744.484375	19757.978600979764	18318.56188672	17126.824852981328
Com. de Madrid	2013	17555.7421875	15603.842510342918	14357.312377344	13554.991242649066
Com. de Madrid	2014	13824.87109375	12022.444878620021	10946.6624754688	10267.049562132454
Com. de Madrid	2015	10619.935546875	9027.605707517007	8121.33249509376	7557.602478106623
Com. de Madrid	2016	7748.4677734375	6329.711997630952	5525.866499018752	5011.0301239053315
Cueta	2003	120.0	120.0	120.0	120.0
Cueta	2004	120.0	120.0	120.0	120.0
Cueta	2005	108.5	105.05	101.6	98.15
Cueta	2006	96.75	92.0175	88.32	85.6575
Cueta	2007	83.875	78.35612499999999	74.464	71.732875
Cueta	2008	67.9375	61.22464375	56.4928	52.98664375
Cueta	2009	54.46875	48.0786253125	44.09856	41.599332187499996
Cueta	2010	44.234375	38.927518859375	36.019712	34.379966609375
Cueta	2011	36.1171875	31.82463160078125	29.6039424	28.31899833046875
Cueta	2012	32.55859375	29.988621060273438	29.12078848	28.96594991652344
Cueta	2013	30.279296875	28.696017371095703	28.224157696	28.048297495826173
Cueta	2014	29.1396484375	28.243606079883495	28.0448315392	28.00241487479131
Cueta	2015	26.06982421875	24.835262127959222	24.008966307839998	23.250120743739565
Cueta	2016	20.534912109375	18.44234174478573	16.801793261568	15.41250603718698
Extremadura	2003	1479.0	1479.0	1479.0	1479.0
Extremadura	2004	1479.0	1479.0	1479.0	1479.0
Extremadura	2005	1409.0	1388.0	1367.0	1346.0
Extremadura	2006	1253.0	1198.85	1151.0	1109.45
Extremadura	2007	1079.0	1007.8475	954.2	915.2225000000001
Extremadura	2008	899.5	820.746625	766.84	729.761125
Extremadura	2009	766.75	699.36131875	660.568	638.78805625
Extremadura	2010	667.375	613.9764615625	586.5136	571.5394028125
Extremadura	2011	571.6875	524.291761546875	498.10272	480.776970140625
Extremadura	2012	451.84375	399.30211654140624	365.220544	339.43884850703125
Extremadura	2013	373.421875	331.50574078949217	309.0441088	297.2219424253516
