Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Andalucía	2003	17556.0	17556.0	17556.0	17556.0
Andalucía	2004	17556.0	17556.0	17556.0	17556.0
Andalucía	2005	19285.5	19804.35	20323.2	20842.05
Andalucía	2006	20839.75	21487.622499999998	21979.84	22316.4025
Andalucía	2007	21941.875	22499.267874999998	22831.168	23007.620125
Andalucía	2008	22676.9375	23092.54375625	23295.8336	23391.78100625
Andalucía	2009	22745.96875	22912.1403146875	22911.16672	22843.8390503125
Andalucía	2010	23896.984375	24300.449110140624	24620.633344	24937.791952515625
Andalucía	2011	25645.9921875	26311.90718854922	26840.1266688	27272.13959762578
Andalucía	2012	25092.99609375	25160.167515992227	25000.02533376	24676.60697988129
Andalucía	2013	21228.998046875	20093.30863059728	18892.005066752	17730.580348994066
Andalucía	2014	15123.4990234375	12894.358020709047	10992.8010133504	9453.629017449704
Andalucía	2015	9384.24951171875	6882.275307248166	5114.56020267008	3935.4314508724856
Andalucía	2016	4953.624755859375	2748.7463575368583	1441.312040534016	693.6215725436246
Aragón	2003	7581.0	7581.0	7581.0	7581.0
Aragón	2004	7581.0	7581.0	7581.0	7581.0
Aragón	2005	8404.5	8651.55	8898.6	9145.65
Aragón	2006	9599.75	10044.7925	10415.720000000001	10712.5325
Aragón	2007	10575.875	11024.477375	11324.744	11510.026625
Aragón	2008	11048.4375	11347.21708125	11481.7488	11520.45133125
Aragón	2009	11240.71875	11402.9759784375	11442.74976	11437.3725665625
Aragón	2010	11594.359375	11757.241592453125	11846.949952	11922.468628328124
Aragón	2011	12344.1796875	12626.134557358593	12844.5899904	13035.423431416406
Aragón	2012	12482.58984375	12622.797095075508	12665.71799808	12641.72117157082
Aragón	2013	11221.794921875	10892.628983276427	10501.943599616	10095.036058578542
Aragón	2014	8931.8974609375	8129.72014414675	7413.9887199232	6814.651802928927
Aragón	2015	6027.94873046875	4876.002050451362	3981.99774398464	3308.5325901464466
Aragón	2016	3155.474365234375	1890.5507176579767	1022.7995487969279	434.27662950732247
Canarias	2003	1199.0	1199.0	1199.0	1199.0
Canarias	2004	1199.0	1199.0	1199.0	1199.0
Canarias	2005	1337.0	1378.4	1419.8	1461.2
