Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Andalucía	2003	28398.0	28398.0	28398.0	28398.0
Andalucía	2004	28398.0	28398.0	28398.0	28398.0
Andalucía	2005	27985.5	27861.75	27738.0	27614.25
Andalucía	2006	27462.75	27262.6125	27099.6	26973.7125
Andalucía	2007	26613.875	26289.164375	26031.92	25825.435625
Andalucía	2008	25424.4375	24953.957531250002	24594.384	24314.52178125
Andalucía	2009	23637.71875	22937.0351359375	22399.6768	21974.1760890625
Andalucía	2010	21782.359375	20980.512297578127	20421.53536	20029.358804453124
Andalucía	2011	19734.6796875	18839.729304152344	18233.907072	17804.117940222655
Andalucía	2012	17723.83984375	16807.35525645332	16217.1814144	15817.555897011132
Andalucía	2013	16857.919921875	16277.374339758662	16037.03628288	15983.277794850557
Andalucía	2014	15744.9599609375	15207.881018915532	14913.007256576	14699.563889742527
Andalucía	2015	14440.97998046875	13861.808356620437	13492.201451315199	13215.128194487126
Andalucía	2016	13211.989990234375	12640.582924817152	12284.84029026304	12044.606409724356
Aragón	2003	885.0	885.0	885.0	885.0
Aragón	2004	885.0	885.0	885.0	885.0
Aragón	2005	883.5	883.05	882.6	882.15
Aragón	2006	887.25	888.2175	889.32	890.5575
Aragón	2007	885.125	884.826125	884.264	883.377875
Aragón	2008	848.0625	836.8391437500001	825.6528	814.61889375
Aragón	2009	801.03125	782.9937003125	768.33056	757.0309446875
Aragón	2010	732.015625	704.997795109375	684.066112	667.701547234375
Aragón	2011	652.0078125	618.5492282882813	594.4132224	576.7850773617188
Aragón	2012	571.50390625	535.6422299008984	511.68264448	495.28925386808595
Aragón	2013	491.751953125	455.27478046531445	431.936528896	416.1644626934043
Aragón	2014	428.3759765625	396.59617316286005	378.3873057792	367.55822313467024
Aragón	2015	376.18798828125	349.408660607001	334.87746115584	326.1779111567335
Aragón	2016	335.093994140625	313.39303121245035	302.175492231168	295.60889555783666
Canarias	2003	25829.0	25829.0	25829.0	25829.0
Canarias	2004	25829.0	25829.0	25829.0	25829.0
Canarias	2005	25534.0	25445.5	25357.0	25268.5
Canarias	2006	25352.5	25267.075	25208.2	25175.875
Canarias	2007	24843.75	24661.22625	24509.64	24377.04375
Canarias	2008	23956.875	23626.929187499998	23357.928	23135.3521875
Canarias	2009	22551.9375	22014.975215625	21589.1856	21246.417609375
Canarias	2010	21176.46875	20575.89132546875	20158.63712	19873.27088046875
Canarias	2011	19368.234375	18615.561963914064	18079.727424	17675.66354402344
Canarias	2012	17457.6171875	16620.996687369923	16053.5454848	15653.433177201172
Canarias	2013	17545.80859375	17279.448840579473	17317.90909696	17534.971658860057
Canarias	2014	16738.404296875	16402.957094202815	16208.381819392	16011.198582943003
Canarias	2015	15214.2021484375	14639.534982970985	14193.6763638784	13806.05992914715
Canarias	2016	12935.10107421875	12050.237244039845	11363.53527277568	10813.502996457359
Cantabria	2003	472.0	472.0	472.0	472.0
Cantabria	2004	472.0	472.0	472.0	472.0
Cantabria	2005	466.0	464.2	462.4	460.6
