Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Andalucía	2003	122380.0	122380.0	122380.0	122380.0
Andalucía	2004	122380.0	122380.0	122380.0	122380.0
Andalucía	2005	120449.0	119869.7	119290.4	118711.1
Andalucía	2006	116158.0	114667.94499999999	113351.68	112209.205
Andalucía	2007	110030.5	107670.73075	105792.736	104318.31025
Andalucía	2008	102069.75	98855.6057625	96445.7472	94619.4655125
Andalucía	2009	94259.375	90791.312016875	88448.34944	86857.523275625
Andalucía	2010	89330.6875	86638.25920590624	85211.269888	84524.77616378125
Andalucía	2011	82036.84375	78906.34072206718	76836.6539776	75232.08880818906
Andalucía	2012	69277.421875	64353.91925272351	60581.73079552	57453.70444040945
Andalucía	2013	60525.7109375	56176.97173845323	53535.546159104	52057.98522202047
Andalucía	2014	50486.35546875	45952.49010845863	43064.7092318208	41027.54926110103
Andalucía	2015	41674.177734375	37443.67153796052	34902.54184636416	33270.277463055056
Andalucía	2016	32817.0888671875	28679.285038286183	26148.50836927283	24425.513873152755
Aragón	2003	18782.0	18782.0	18782.0	18782.0
Aragón	2004	18782.0	18782.0	18782.0	18782.0
Aragón	2005	18527.0	18450.5	18374.0	18297.5
Aragón	2006	18470.5	18426.775	18406.0	18408.175
Aragón	2007	18150.75	18039.52125	17946.0	17859.85875
Aragón	2008	16629.375	16134.0324375	15675.6	15245.5929375
Aragón	2009	14676.6875	13917.511353124999	13314.32	12850.079646875
Aragón	2010	13165.84375	12446.87897359375	11986.864	11714.753982343751
Aragón	2011	11901.421875	11270.457640757813	10906.9728	10690.887699117187
Aragón	2012	10174.2109375	9435.210174265234	8938.99456	8559.19438495586
Aragón	2013	8599.60546875	7868.5735609928315	7407.798912	7101.709719247793
Aragón	2014	6912.302734375	6150.250746347491	5661.5597824	5318.83548596239
Aragón	2015	5151.6513671875	4356.737761221622	3845.11195648	3487.3917742981193
Aragón	2016	3619.32568359375	2881.408216427568	2438.622391296	2157.0195887149057
Canarias	2003	4231.0	4231.0	4231.0	4231.0
Canarias	2004	4231.0	4231.0	4231.0	4231.0
Canarias	2005	4178.5	4162.75	4147.0	4131.25
Canarias	2006	4083.75	4049.8125	4020.6	3996.1125
Canarias	2007	3946.375	3893.284375	3851.32	3818.355625
Canarias	2008	3727.6875	3643.49953125	3577.464	3524.46778125
Canarias	2009	3480.34375	3376.6748359375	3301.8928	3247.5733890625
Canarias	2010	3456.171875	3412.6361925781252	3405.97856	3422.778669453125
Canarias	2011	3336.0859375	3284.822667402344	3253.995712	3226.338933472656
Canarias	2012	2890.04296875	2738.28793359082	2605.9991424	2483.116946673633
Canarias	2013	2516.021484375	2350.700776756787	2234.79982848	2159.0558473336814
Canarias	2014	2117.5107421875	1940.0952718648755	1822.159965696	1741.0027923666842
Canarias	2015	1656.25537109375	1455.7833451527065	1320.4319931392	1222.3001396183342
Canarias	2016	1159.127685546875	939.8241708034473	793.6863986278399	690.0150069809167
Cantabria	2003	1906.0	1906.0	1906.0	1906.0
Cantabria	2004	1906.0	1906.0	1906.0	1906.0
Cantabria	2005	1884.5	1878.05	1871.6	1865.15
Cantabria	2006	1858.25	1848.1175	1839.92	1833.6575
Cantabria	2007	1737.625	1697.891125	1661.584	1627.832875
Cantabria	2008	1490.3125	1402.21189375	1326.7168	1262.24164375
Cantabria	2009	1290.65625	1199.9241628125	1138.14336	1099.5620821875
Cantabria	2010	1164.328125	1094.673456984375	1058.028672	1041.078104109375
Cantabria	2011	1064.1640625	1009.7357099445312	982.8057344	967.8539052054688
Cantabria	2012	937.58203125	880.5574984805859	845.36114688	818.8426952602734
Cantabria	2013	830.291015625	778.145124468205	747.472229376	727.7921347630137
Cantabria	2014	720.6455078125	669.5007935638718	638.2944458751999	616.8396067381507
Cantabria	2015	590.82275390625	533.9752777473551	496.45888917504	468.7919803369075
Cantabria	2016	400.411376953125	323.39134721157427	267.291777835008	222.9395990168454
Castilla y León	2003	21624.0	21624.0	21624.0	21624.0
Castilla y León	2004	21624.0	21624.0	21624.0	21624.0
Castilla y León	2005	21422.5	21362.05	21301.6	21241.15
Castilla y León	2006	20734.75	20507.267499999998	20297.92	20106.7075
Castilla y León	2007	19858.875	19516.493625	19245.984	19039.185375
Castilla y León	2008	18237.4375	17631.17276875	17141.9968	16737.15926875
Castilla y León	2009	15505.71875	14474.0104690625	13647.59936	12972.157963437501
Castilla y León	2010	13088.859375	12002.703664171875	11267.119872	10787.007898171876
