Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Centro	2005	84448.0	84448.0	84448.0	84448.0
Centro	2006	84448.0	84448.0	84448.0	84448.0
Centro	2007	89059.5	90442.95	91826.4	93209.85
Centro	2008	95238.75	97576.7325	99499.68	101007.5925
Centro	2009	102062.375	104927.756375	107008.736	108492.079625
Centro	2010	110959.1875	114631.11473125	117286.5472	119287.80398125
Centro	2011	119004.59375	122703.3901559375	125097.30944	126661.8901990625
Centro	2012	124838.796875	127883.63655457812	129557.861888	130472.44450995313
Centro	2013	122471.3984375	122826.87279410234	121994.7723776	120622.42222549766
Centro	2014	122747.19921875	122954.35547793582	122817.35447552	122902.97111127488
Centro	2015	127394.599609375	128861.32441727754	130197.070895104	131585.04855556376
Centro	2016	129518.7998046875	130669.41354604714	131353.8141790208	131640.10242777818
Isole	2005	5816.0	5816.0	5816.0	5816.0
Isole	2006	5816.0	5816.0	5816.0	5816.0
Isole	2007	5860.0	5873.2	5886.4	5899.6
Isole	2008	5949.5	5980.97	6008.48	6032.03
Isole	2009	6122.75	6185.7395	6238.496	6282.8015
Isole	2010	6482.375	6612.308825	6721.2992	6814.040075
Isole	2011	6825.6875	6974.15808875	7079.45984	7151.25200375
Isole	2012	7259.84375	7442.0553310625	7571.091968	7666.8626001875
Isole	2013	7179.921875	7219.719365871875	7194.2183936	7128.343130009375
Isole	2014	7273.9609375	7316.1017780551565	7333.24367872	7356.017156500468
Isole	2015	7665.48046875	7797.6856223193045	7912.248735744	8021.950857825023
Isole	2016	8173.740234375	8372.489967811756	8528.0497471488	8648.997542891251
Nord-est	2005	90814.0	90814.0	90814.0	90814.0
Nord-est	2006	90814.0	90814.0	90814.0	90814.0
Nord-est	2007	95614.5	97054.65	98494.8	99934.95
Nord-est	2008	102531.75	105110.9775	107258.16	108973.2975
Nord-est	2009	110181.375	113378.992125	115716.432	117388.114875
Nord-est	2010	120245.6875	124384.14724375	127391.2864	129663.90574375
Nord-est	2011	128775.34375	132782.70153531252	135322.25728	136922.9452871875
Nord-est	2012	134814.671875	138029.04553735937	139747.651456	140657.44726435936
Nord-est	2013	133657.8359375	134435.81593807577	133950.3302912	132908.82236321797
Nord-est	2014	135155.41796875	135876.9855783265	136112.46605824	136465.7911181609
Nord-est	2015	138972.208984375	140369.7949524143	141453.693211648	142472.83955590805
Nord-est	2016	139115.1044921875	139647.128233345	139697.1386423296	139418.7419777954
Nord-ovest	2005	105198.0	105198.0	105198.0	105198.0
Nord-ovest	2006	105198.0	105198.0	105198.0	105198.0
Nord-ovest	2007	111493.0	113381.5	115270.0	117158.5
Nord-ovest	2008	119870.5	123044.725	125652.4	127693.525
Nord-ovest	2009	128980.75	132824.80375	135603.28	137571.12625
Nord-ovest	2010	140504.375	145306.8813125	148743.056	151305.1563125
Nord-ovest	2011	150935.6875	155745.958459375	158842.2112	160863.907815625
Nord-ovest	2012	159616.84375	163904.78546078125	166406.84224	167926.29539078125
Nord-ovest	2013	159560.421875	161044.27491127345	160884.568448	159925.11476953907
Nord-ovest	2014	162317.2109375	163663.5962189457	164236.1136896	164816.55573847695
Nord-ovest	2015	169801.60546875	172518.158676631	174676.02273792	176662.52778692383
Nord-ovest	2016	172431.302734375	174171.00553682086	174984.004547584	175141.07638934618
Sud	2005	38675.0	38675.0	38675.0	38675.0
Sud	2006	38675.0	38675.0	38675.0	38675.0
Sud	2007	39399.0	39616.2	39833.4	40050.6
Sud	2008	40098.5	40384.369999999995	40605.08	40760.63
Sud	2009	40897.75	41237.5795	41478.616	41650.1815
Sud	2010	42659.375	43306.802825	43832.5232	44282.459075
Sud	2011	44687.1875	45522.13098875	46138.50464	46593.37295375
Sud	2012	46513.59375	47353.7458460625	47899.700928	48252.6686476875
Sud	2013	45356.296875	45303.16104612187	44939.1401856	44401.68343238437
Sud	2014	45571.6484375	45617.656366142655	45617.42803712	45717.73417161922
Sud	2015	47349.32421875	47898.72972814993	48425.085607424	48956.53670858096
Sud	2016	48298.162109375	48775.105404852475	49082.6171214848	49232.47683542905
