Year	Province	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
2005	Centro	30545.0	30545.0	30545.0	30545.0
2005	Isole	3854.0	3854.0	3854.0	3854.0
2005	Nord-est	30171.0	30171.0	30171.0	30171.0
2005	Nord-ovest	37566.0	37566.0	37566.0	37566.0
2005	Sud	10361.0	10361.0	10361.0	10361.0
2006	Centro	30545.0	30545.0	30545.0	30545.0
2006	Isole	3854.0	3854.0	3854.0	3854.0
2006	Nord-est	30171.0	30171.0	30171.0	30171.0
2006	Nord-ovest	37566.0	37566.0	37566.0	37566.0
2006	Sud	10361.0	10361.0	10361.0	10361.0
2007	Centro	32732.5	33388.75	34045.0	34701.25
2007	Isole	4394.5	4556.65	4718.8	4880.95
2007	Nord-est	32511.5	33213.65	33915.8	34617.95
2007	Nord-ovest	39556.5	40153.65	40750.8	41347.95
2007	Sud	11433.5	11755.25	12077.0	12398.75
2008	Centro	36523.75	37890.8125	39061.0	40034.3125
2008	Isole	5082.25	5345.327499999999	5559.76	5725.5475
2008	Nord-est	36136.25	37469.4275	38591.96	39503.8475
2008	Nord-ovest	42687.25	43835.4775	44804.56	45594.4975
2008	Sud	12906.75	13461.3375	13919.4	14280.9375
2009	Centro	39719.875	41157.184375	42145.0	42771.915625
2009	Isole	5857.625	6182.314625	6418.352	6587.627375
2009	Nord-est	39994.125	41618.099625	42799.992	43634.592375
2009	Nord-ovest	45551.625	46812.817125	47693.712	48274.924875
2009	Sud	14472.375	15136.168125	15614.28	15950.146875
2010	Centro	42581.9375	43943.61453125	44784.2	45310.39578125
2010	Isole	6654.3125	7006.96011875	7244.4704	7407.8313687499995
2010	Nord-est	44747.0625	46741.334868750004	48159.9984	49206.72961875
2010	Nord-ovest	48692.8125	50076.58599375	51005.9424	51656.04624375
2010	Sud	16057.1875	16764.95884375	17236.456	17557.40734375
2011	Centro	46740.96875	48465.2650859375	49676.84	50620.5197890625
2011	Isole	7560.65625	7955.9860415625	8222.49408	8414.0415684375
2011	Nord-est	49551.53125	51690.8672040625	53116.79968	54098.5364809375
2011	Nord-ovest	52920.90625	54673.6550978125	55920.38848	56874.3523121875
2011	Sud	17680.09375	18414.685595312498	18889.6912	19215.7203671875
2012	Centro	52183.484375	54419.74278007812	56036.168	57275.72598945312
2012	Isole	8535.828125	8966.745114546875	9253.298816	9456.152078421876
2012	Nord-est	54788.265625	57108.053521421876	58643.359936	59728.676824046874
2012	Nord-ovest	58427.453125	60692.879284234376	62331.277696000005	63581.01761560937
2012	Sud	19288.546875	20028.189958359373	20495.53824	20812.936018359374
2013	Centro	54194.2421875	55580.159973027345	56171.2336	56258.53629947265
2013	Isole	8541.9140625	8694.560790091406	8689.0597632	8593.407603921094
2013	Nord-est	54620.6328125	55382.26873249766	55291.0719872	54716.78384120234
2013	Nord-ovest	60423.2265625	61814.857749482035	62401.455539200004	62477.10088078047
2013	Sud	18363.7734375	18345.21648542578	18050.307648	17607.69680091797
2014	Centro	59884.62109375	62076.80599055957	63694.24672	65109.17681497363
2014	Isole	8736.95703125	8848.896276531992	8883.41195264	8915.070380196055
2014	Nord-est	57474.81640625	58597.64405637418	59321.41439744	60048.389192060116
2014	Nord-ovest	65687.61328125	67754.00021231872	69241.89110784	70528.25504403902
2014	Sud	19091.38671875	19303.175769899022	19465.2615296	19708.4348400459
2015	Centro	69105.310546875	72638.78209669585	75399.649344	77665.15884074869
2015	Isole	9356.478515625	9581.513696786198	9757.482390528	9922.953519009803
2015	Nord-est	62270.408203125	64102.075419730965	65517.082879488	66715.11945960301
2015	Nord-ovest	73090.806640625	76035.00007431155	78243.578221568	79995.71275220194
2015	Sud	21228.693359375	21944.011519464657	22585.85230592	23183.121742002295
2016	Centro	72635.1552734375	74930.82373384354	76011.9298688	76240.00794203744
2016	Isole	10110.2392578125	10415.129793875169	10642.6964781056	10816.94767595049
2016	Nord-est	65202.7041015625	66723.47639690584	67611.4165758976	68064.00597298014
2016	Nord-ovest	80135.4033203125	83279.25002600905	85392.7156443136	86820.7856376101
2016	Sud	23564.3466796875	24515.404031812628	25237.170461184	25764.156087100113
