Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Centro	2005	40603.0	40603.0	40603.0	40603.0
Centro	2006	40603.0	40603.0	40603.0	40603.0
Centro	2007	42339.5	42860.45	43381.4	43902.35
Centro	2008	45192.25	46230.4075	47112.28	47837.8675
Centro	2009	48377.125	49695.942625	50672.056	51375.793375
Centro	2010	52849.5625	54652.879918750004	55992.0112	57024.68966875
Centro	2011	57186.28125	59118.4579715625	60416.80224	61298.0844834375
Centro	2012	60787.640625	62544.31029004687	63594.560448	64234.454224171874
Centro	2013	58552.3203125	58496.55860151641	57772.5120896	56712.87271120859
Centro	2014	58661.66015625	58674.94551053074	58571.30241792	58668.09363556043
Centro	2015	61242.330078125	62021.18092868576	62772.660483584	63565.254681778024
Centro	2016	62585.1650390625	63260.613325040016	63696.9320967168	63909.8627340889
Isole	2005	10282.0	10282.0	10282.0	10282.0
Isole	2006	10282.0	10282.0	10282.0	10282.0
Isole	2007	10724.5	10857.25	10990.0	11122.75
Isole	2008	11263.75	11471.9875	11640.4	11768.9875
Isole	2009	12076.375	12393.045624999999	12639.28	12832.999375
Isole	2010	13219.6875	13673.51596875	14018.256000000001	14286.49996875
Isole	2011	14409.84375	14925.7305890625	15283.6512	15534.3249984375
Isole	2012	15806.921875	16406.605706171875	16819.93024	17120.516249921875
Isole	2013	15866.4609375	16094.211997160157	16104.786048	15985.725812496094
Isole	2014	16393.23046875	16630.974199006054	16756.9572096	16873.286290624805
Isole	2015	17520.615234375	17942.04096965212	18269.79144192	18559.26431453124
Isole	2016	18202.8076171875	18554.964339378243	18761.958288384	18868.713215726562
Nord-est	2005	100272.0	100272.0	100272.0	100272.0
Nord-est	2006	100272.0	100272.0	100272.0	100272.0
Nord-est	2007	104336.0	105555.2	106774.4	107993.6
Nord-est	2008	110264.5	112469.77	114309.28	115783.03
Nord-est	2009	116885.75	119643.9695	121667.456	123120.8015
Nord-est	2010	126227.375	129995.239325	132788.6912	134946.59007500001
Nord-est	2011	135084.6875	139060.63376375	141711.33824	143492.22950375
Nord-est	2012	142059.34375	145543.3218173125	147569.467648	148756.9114751875
Nord-est	2013	139022.671875	139331.0626360594	138302.6935296	136624.5455737594
Nord-est	2014	139874.3359375	140237.7719226208	140241.33870592	140520.92727868797
Nord-est	2015	142912.66796875	143951.3701729173	144809.067741184	145679.4963639344
Nord-est	2016	142061.333984375	142169.47956052105	141929.8135482368	141433.47481819673
Nord-ovest	2005	124411.0	124411.0	124411.0	124411.0
Nord-ovest	2006	124411.0	124411.0	124411.0	124411.0
Nord-ovest	2007	130074.5	131773.55	133472.6	135171.65
Nord-ovest	2008	138251.75	141299.5925	143837.72	145866.1325
Nord-ovest	2009	147152.875	150889.957375	153610.744	155544.60662500001
Nord-ovest	2010	159572.9375	164606.93508125	168316.5488	171170.58033125
Nord-ovest	2011	171463.96875	176793.1772784375	180347.30976	182745.7790165625
Nord-ovest	2012	181200.484375	185986.66204745314	188819.061952	190527.43895082813
Nord-ovest	2013	176317.2421875	176527.4317166086	174911.0123904	172388.6719475414
Nord-ovest	2014	177278.62109375	177640.60110081302	177574.20247808	177947.43359737706
Nord-ovest	2015	182591.310546875	184311.81038528457	185838.040495616	187406.17167986886
Nord-ovest	2016	182716.1552734375	183355.7836348496	183440.4080991232	183069.25858399345
Sud	2005	26401.0	26401.0	26401.0	26401.0
Sud	2006	26401.0	26401.0	26401.0	26401.0
Sud	2007	27152.0	27377.3	27602.6	27827.9
Sud	2008	28086.5	28445.704999999998	28737.32	28961.345
Sud	2009	29377.25	29890.19675	30281.864	30582.66725
Sud	2010	31666.125	32532.3188625	33220.3728	33786.3833625
Sud	2011	34489.0625	35639.111601875	36493.67456	37135.719168125
Sud	2012	37952.53125	39394.08906065625	40431.534912	41201.98595840625
Sud	2013	38361.765625	38989.081171229685	39103.1069824	38892.54929792031
Sud	2014	40296.3828125	41096.32840993039	41605.42139648	42064.077464896014
Sud	2015	44578.19140625	46142.714943475636	47409.084279296	48520.2038732448
Sud	2016	48385.595703125	50075.40023021647	51236.2168558592	52009.36019366224
