Year	Province	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
2005	Centro	14972.0	14972.0	14972.0	14972.0
2005	Isole	256.0	256.0	256.0	256.0
2005	Nord-est	4512.0	4512.0	4512.0	4512.0
2005	Nord-ovest	33260.0	33260.0	33260.0	33260.0
2005	Sud	984.0	984.0	984.0	984.0
2006	Centro	14972.0	14972.0	14972.0	14972.0
2006	Isole	256.0	256.0	256.0	256.0
2006	Nord-est	4512.0	4512.0	4512.0	4512.0
2006	Nord-ovest	33260.0	33260.0	33260.0	33260.0
2006	Sud	984.0	984.0	984.0	984.0
2007	Centro	15690.5	15906.05	16121.6	16337.15
2007	Isole	262.5	264.45	266.4	268.35
2007	Nord-est	4774.0	4852.6	4931.2	5009.8
2007	Nord-ovest	35234.5	35826.85	36419.2	37011.55
2007	Sud	1016.5	1026.25	1036.0	1045.75
2008	Centro	17656.25	18321.4175	18921.92	19457.7575
2008	Isole	267.25	269.3575	270.88	271.8175
2008	Nord-est	5125.0	5257.81	5367.04	5452.69
2008	Nord-ovest	38047.75	39099.0475	39972.64	40668.5275
2008	Sud	1058.75	1074.8375	1088.0	1098.2375
2009	Centro	19260.125	19974.096125	20475.584	20793.687875
2009	Isole	286.625	293.175125	298.976	304.290875
2009	Nord-est	5537.5	5707.7335	5833.408	5925.1345
2009	Nord-ovest	40738.375	41913.516625000004	42737.728	43290.976375
2009	Sud	1102.375	1121.093125	1134.4	1143.611875
2010	Centro	21006.0625	21779.73364375	22296.7168	22654.08439375
2010	Isole	307.8125	316.46129375	322.9952	327.76454375000003
2010	Nord-est	6177.75	6429.406725	6621.0816	6773.356725
2010	Nord-ovest	44161.6875	45599.98081875	46615.5456	47370.29881875
2010	Sud	1180.1875	1210.0825937500001	1233.28	1252.28059375
2011	Centro	23506.03125	24526.8067753125	25264.143360000002	25838.4042196875
2011	Isole	345.90625	360.3614528125	371.79904	381.1882271875
2011	Nord-est	6904.375	7210.44235375	7429.016320000001	7588.1178362499995
2011	Nord-ovest	48879.84375	50798.6932865625	52201.50912	53286.6149409375
2011	Sud	1276.59375	1315.9789078125	1345.056	1366.9640296875
2012	Centro	26330.515625	27535.132371359374	28376.828672	28989.170210984375
2012	Isole	387.453125	404.976508484375	417.559808	426.609411359375
2012	Nord-est	7589.1875	7901.7548238125	8105.003264	8239.7058918125
2012	Nord-ovest	54723.921875	57148.742650296874	58894.701824	60203.93074704688
2012	Sud	1383.796875	1429.742617734375	1461.8112	1484.798201484375
2013	Centro	26824.2578125	27393.99632997578	27529.7657344	27401.558510549217
2013	Isole	374.2265625	376.39177796953123	372.3119616	364.28047056796873
2013	Nord-est	7687.09375	7825.864188334375	7849.0006528	7807.735294590625
2013	Nord-ovest	56489.9609375	57868.45992760391	58383.7403648	58353.396537352346
2013	Sud	1392.3984375	1411.0599162070312	1413.16224	1405.1899100742187
2014	Centro	28099.12890625	28680.99871549152	29005.15314688	29275.37792552746
2014	Isole	384.11328125	387.8371222893359	389.66239232	392.5140235283984
2014	Nord-est	7934.046875	8056.702465917031	8114.60013056	8162.336764729531
2014	Nord-ovest	58781.48046875	59951.41097466137	60535.14807296	60937.01982686762
2014	Sud	1450.69921875	1474.720970672461	1489.832448	1503.8094955037109
2015	Centro	30980.564453125	32048.649550422033	32890.630629376	33632.66889627637
2015	Isole	409.056640625	417.8429928012676	425.132478464	431.9257011764199
2015	Nord-est	8254.0234375	8392.945863070961	8482.120026112	8553.416838236477
2015	Nord-ovest	62752.240234375	64352.94384113148	65485.429614592	66433.70099134339
2015	Sud	1556.849609375	1597.1023397353613	1628.3664896	1655.0404747751854
2016	Centro	32003.7822265625	32684.57734264771	32999.7261258752	33057.28344481382
2016	Isole	412.0283203125	415.99504748044365	417.0264956928	415.84628505882097
2016	Nord-est	8280.51171875	8337.081052074836	8342.0240052224	8319.320841911824
2016	Nord-ovest	65200.6201171875	66495.38034439602	67216.2859229184	67588.23504956717
2016	Sud	1573.4248046875	1592.4858189073764	1597.67329792	1593.2520237387594
