Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Centro	2005	14972.0	14972.0	14972.0	14972.0
Centro	2006	14972.0	14972.0	14972.0	14972.0
Centro	2007	15690.5	15906.05	16121.6	16337.15
Centro	2008	17656.25	18321.4175	18921.92	19457.7575
Centro	2009	19260.125	19974.096125	20475.584	20793.687875
Centro	2010	21006.0625	21779.73364375	22296.7168	22654.08439375
Centro	2011	23506.03125	24526.8067753125	25264.143360000002	25838.4042196875
Centro	2012	26330.515625	27535.132371359374	28376.828672	28989.170210984375
Centro	2013	26824.2578125	27393.99632997578	27529.7657344	27401.558510549217
Centro	2014	28099.12890625	28680.99871549152	29005.15314688	29275.37792552746
Centro	2015	30980.564453125	32048.649550422033	32890.630629376	33632.66889627637
Centro	2016	32003.7822265625	32684.57734264771	32999.7261258752	33057.28344481382
Isole	2005	256.0	256.0	256.0	256.0
Isole	2006	256.0	256.0	256.0	256.0
Isole	2007	262.5	264.45	266.4	268.35
Isole	2008	267.25	269.3575	270.88	271.8175
Isole	2009	286.625	293.175125	298.976	304.290875
Isole	2010	307.8125	316.46129375	322.9952	327.76454375000003
Isole	2011	345.90625	360.3614528125	371.79904	381.1882271875
Isole	2012	387.453125	404.976508484375	417.559808	426.609411359375
Isole	2013	374.2265625	376.39177796953123	372.3119616	364.28047056796873
Isole	2014	384.11328125	387.8371222893359	389.66239232	392.5140235283984
Isole	2015	409.056640625	417.8429928012676	425.132478464	431.9257011764199
Isole	2016	412.0283203125	415.99504748044365	417.0264956928	415.84628505882097
Nord-est	2005	4512.0	4512.0	4512.0	4512.0
Nord-est	2006	4512.0	4512.0	4512.0	4512.0
Nord-est	2007	4774.0	4852.6	4931.2	5009.8
Nord-est	2008	5125.0	5257.81	5367.04	5452.69
Nord-est	2009	5537.5	5707.7335	5833.408	5925.1345
Nord-est	2010	6177.75	6429.406725	6621.0816	6773.356725
Nord-est	2011	6904.375	7210.44235375	7429.016320000001	7588.1178362499995
Nord-est	2012	7589.1875	7901.7548238125	8105.003264	8239.7058918125
Nord-est	2013	7687.09375	7825.864188334375	7849.0006528	7807.735294590625
Nord-est	2014	7934.046875	8056.702465917031	8114.60013056	8162.336764729531
Nord-est	2015	8254.0234375	8392.945863070961	8482.120026112	8553.416838236477
Nord-est	2016	8280.51171875	8337.081052074836	8342.0240052224	8319.320841911824
Nord-ovest	2005	33260.0	33260.0	33260.0	33260.0
Nord-ovest	2006	33260.0	33260.0	33260.0	33260.0
Nord-ovest	2007	35234.5	35826.85	36419.2	37011.55
Nord-ovest	2008	38047.75	39099.0475	39972.64	40668.5275
Nord-ovest	2009	40738.375	41913.516625000004	42737.728	43290.976375
Nord-ovest	2010	44161.6875	45599.98081875	46615.5456	47370.29881875
Nord-ovest	2011	48879.84375	50798.6932865625	52201.50912	53286.6149409375
Nord-ovest	2012	54723.921875	57148.742650296874	58894.701824	60203.93074704688
Nord-ovest	2013	56489.9609375	57868.45992760391	58383.7403648	58353.396537352346
Nord-ovest	2014	58781.48046875	59951.41097466137	60535.14807296	60937.01982686762
Nord-ovest	2015	62752.240234375	64352.94384113148	65485.429614592	66433.70099134339
Nord-ovest	2016	65200.6201171875	66495.38034439602	67216.2859229184	67588.23504956717
Sud	2005	984.0	984.0	984.0	984.0
Sud	2006	984.0	984.0	984.0	984.0
Sud	2007	1016.5	1026.25	1036.0	1045.75
Sud	2008	1058.75	1074.8375	1088.0	1098.2375
Sud	2009	1102.375	1121.093125	1134.4	1143.611875
Sud	2010	1180.1875	1210.0825937500001	1233.28	1252.28059375
Sud	2011	1276.59375	1315.9789078125	1345.056	1366.9640296875
Sud	2012	1383.796875	1429.742617734375	1461.8112	1484.798201484375
Sud	2013	1392.3984375	1411.0599162070312	1413.16224	1405.1899100742187
Sud	2014	1450.69921875	1474.720970672461	1489.832448	1503.8094955037109
Sud	2015	1556.849609375	1597.1023397353613	1628.3664896	1655.0404747751854
Sud	2016	1573.4248046875	1592.4858189073764	1597.67329792	1593.2520237387594
