Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Centro	2005	26477.0	26477.0	26477.0	26477.0
Centro	2006	26477.0	26477.0	26477.0	26477.0
Centro	2007	27437.5	27725.65	28013.8	28301.95
Centro	2008	31854.75	33280.777500000004	34620.36	35873.4975
Centro	2009	34703.875	36057.722125	36966.472	37469.024875
Centro	2010	37293.4375	38544.15274375	39299.6944	39762.30124375
Centro	2011	40116.71875	41401.4534603125	42211.93888	42781.1150621875
Centro	2012	43378.359375	44806.508711109374	45754.387776	46447.05575310937
Centro	2013	43902.6796875	44559.82804888828	44692.4775552	44528.00278765547
Centro	2014	46581.83984375	47615.5898171109	48347.29551104	49024.350139382776
Centro	2015	54721.419921875	57525.10643598881	59958.259102208	62169.16750696914
Centro	2016	57936.7099609375	59882.58725259609	60913.2518204416	61202.858375348456
Isole	2005	3957.0	3957.0	3957.0	3957.0
Isole	2006	3957.0	3957.0	3957.0	3957.0
Isole	2007	4043.5	4069.45	4095.4	4121.35
Isole	2008	4155.25	4197.8575	4232.68	4259.7175
Isole	2009	4353.125	4427.400125	4487.336	4536.435875
Isole	2010	4645.0625	4758.64004375	4847.0672	4916.97179375
Isole	2011	5041.03125	5199.5740153125	5319.01344	5410.9985896875
Isole	2012	5455.015625	5634.700905359375	5759.002688	5846.099929484375
Isole	2013	5749.0078125	5900.0953168757815	5986.2005376	6033.154996474219
Isole	2014	6078.50390625	6230.233360906524	6323.64010752	6389.257749823711
Isole	2015	6524.251953125	6711.081676317283	6840.728021504	6940.962887491185
Isole	2016	7028.1259765625	7244.678586711049	7393.7456043008	7502.448144374559
Nord-est	2005	11807.0	11807.0	11807.0	11807.0
Nord-est	2006	11807.0	11807.0	11807.0	11807.0
Nord-est	2007	12316.0	12468.7	12621.4	12774.1
Nord-est	2008	12984.0	13237.845000000001	13445.88	13608.105
Nord-est	2009	13788.5	14118.69575	14363.576	14543.75525
Nord-est	2010	15224.75	15771.1935125	16201.5152	16555.1377625
Nord-est	2011	16796.875	17459.767729375	17935.50304	18278.306888125
Nord-est	2012	18275.9375	18951.66870528125	19391.100608	19681.16534440625
Nord-est	2013	18640.46875	18986.33404684844	19082.2201216	19038.808267220313
Nord-est	2014	19645.234375	20067.716916396952	20336.44402432	20569.440413361015
Nord-est	2015	21067.1171875	21641.550920738933	22058.488804864	22393.02202066805
Nord-est	2016	21941.55859375	22404.94282225863	22664.4977609728	22794.851101033404
Nord-ovest	2005	36056.0	36056.0	36056.0	36056.0
Nord-ovest	2006	36056.0	36056.0	36056.0	36056.0
Nord-ovest	2007	37856.0	38396.0	38936.0	39476.0
Nord-ovest	2008	39942.0	40756.8	41409.6	41900.4
Nord-ovest	2009	41790.0	42629.58	43192.32	43551.12
Nord-ovest	2010	44046.0	45016.653	45680.064	46164.456
Nord-ovest	2011	47130.0	48394.92855	49307.2128	50011.5228
Nord-ovest	2012	50921.5	52501.6749925	53631.84256	54477.926139999996
Nord-ovest	2013	51845.75	52676.086247375	52942.368512	52855.396307
Nord-ovest	2014	53917.875	54830.13018658125	55380.4737024	55833.26981535
Nord-ovest	2015	57832.4375	59326.09556530344	60473.69474048	61451.3134907675
Nord-ovest	2016	62755.21875	64754.8334478562	66237.138948096	67366.66567453838
Sud	2005	4486.0	4486.0	4486.0	4486.0
Sud	2006	4486.0	4486.0	4486.0	4486.0
Sud	2007	4664.0	4717.4	4770.8	4824.2
Sud	2008	5002.0	5122.09	5226.16	5314.21
Sud	2009	5297.5	5428.1815	5519.632	5579.0605
Sud	2010	5754.25	5937.013525	6072.7264	6179.403025
Sud	2011	6365.125	6612.35473375	6795.34528	6936.17015125
Sud	2012	6958.0625	7222.4741568125	7399.869056	7520.2585075625
Sud	2013	7130.03125	7274.165954884375	7321.5738112	7312.912925378125
Sud	2014	7528.015625	7697.858084209532	7805.11476224	7895.345646268906
Sud	2015	8284.0078125	8570.250329473336	8793.022952448	8982.767282313445
Sud	2016	8891.50390625	9173.937615315668	9357.8045904896	9473.188364115673
