Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Centro	2005	22095.0	22095.0	22095.0	22095.0
Centro	2006	22095.0	22095.0	22095.0	22095.0
Centro	2007	23997.0	24567.6	25138.2	25708.8
Centro	2008	27431.0	28660.91	29719.64	30607.19
Centro	2009	31671.0	33373.4685	34672.728	35645.8095
Centro	2010	35458.5	37190.613975	38331.3456	39065.990475
Centro	2011	38414.25	39907.21489125	40762.26912	41254.79952375
Centro	2012	40450.625	41584.075211937496	42142.053824	42425.3899761875
Centro	2013	35527.8125	34447.67632417812	32912.4107648	31196.019498809375
Centro	2014	33778.40625	32875.536713462345	32205.68215296	31987.35097494047
Centro	2015	35175.203125	35278.23784971182	35698.736430592	36342.767548747026
Centro	2016	36539.1015625	36984.33324739914	37462.1472861184	37824.98837743735
Isole	2005	2499.0	2499.0	2499.0	2499.0
Isole	2006	2499.0	2499.0	2499.0	2499.0
Isole	2007	2795.5	2884.45	2973.4	3062.35
Isole	2008	3320.25	3508.8075	3670.6800000000003	3805.8675
Isole	2009	4382.125	4766.6826249999995	5089.336	5362.093375
Isole	2010	5120.5625	5476.68891875	5705.0672	5834.15466875
Isole	2011	5786.28125	6110.6411215625	6302.61344	6421.1077334375
Isole	2012	6384.640625	6677.674392546875	6846.922688	6954.905386671875
Isole	2013	6028.3203125	6023.986037391406	5906.984537599999	5736.145269333594
Isole	2014	6044.66015625	6048.045113086992	6030.1969075199995	6044.757263466679
Isole	2015	6235.830078125	6294.365789580447	6347.639381504	6407.887863173334
Isole	2016	6323.9150390625	6370.828026353157	6399.1278763008	6411.794393158667
Nord-est	2005	10236.0	10236.0	10236.0	10236.0
Nord-est	2006	10236.0	10236.0	10236.0	10236.0
Nord-est	2007	11503.5	11883.75	12264.0	12644.25
Nord-est	2008	13400.25	14102.3625	14690.4	15164.3625
Nord-est	2009	16782.125	18042.426875	19069.28	19914.018125
Nord-est	2010	19754.5625	21087.39940625	21995.456	22586.35090625
Nord-est	2011	21975.28125	23107.989792187498	23755.8912	24115.5175453125
Nord-est	2012	23539.140625	24404.746427265625	24833.57824	25053.625877265626
Nord-est	2013	22182.5703125	22078.561249542967	21627.515648	21037.38129386328
Nord-est	2014	22009.28515625	21920.896437340038	21794.3031296	21796.069064693165
Nord-est	2015	22562.142578125	22697.063753069015	22850.86062592	23049.053453234657
Nord-est	2016	22826.0712890625	22952.472313574155	23042.172125184	23087.952672661733
Nord-ovest	2005	6627.0	6627.0	6627.0	6627.0
Nord-ovest	2006	6627.0	6627.0	6627.0	6627.0
Nord-ovest	2007	7379.5	7605.25	7831.0	8056.75
Nord-ovest	2008	8583.25	9023.3875	9395.8	9700.4875
Nord-ovest	2009	10311.125	10983.535625	11510.36	11922.074375
Nord-ovest	2010	11677.5625	12322.83746875	12737.272	12987.90371875
Nord-ovest	2011	12740.28125	13284.9431140625	13589.8544	13762.2451859375
Nord-ovest	2012	13420.140625	13814.730089921875	13997.97088	14083.112259296875
Nord-ovest	2013	12631.5703125	12533.105531472656	12273.994176	11955.005612964844
Nord-ovest	2014	12598.78515625	12554.48693601543	12507.5988352	12535.450280648241
Nord-ovest	2015	12995.392578125	13098.870427605401	13215.11976704	13349.172514032412
Nord-ovest	2016	13160.1962890625	13245.854649661891	13303.023953408	13326.20862570162
Sud	2005	10442.0	10442.0	10442.0	10442.0
Sud	2006	10442.0	10442.0	10442.0	10442.0
Sud	2007	11389.0	11673.1	11957.2	12241.3
Sud	2008	12855.0	13394.235	13848.24	14217.015
Sud	2009	15872.0	16965.83225	17880.847999999998	18655.40075
Sud	2010	18409.0	19552.941287499998	20332.9696	20831.4700375
Sud	2011	20403.5	21402.229450625	21984.99392	22319.673501875
Sud	2012	21721.25	22466.13030771875	22828.198784	23003.03367509375
Sud	2013	19926.125	19648.295607701562	19070.4397568	18374.60168375469
Sud	2014	19392.0625	19134.603462695548	18900.48795136	18833.830084187735
Sud	2015	20039.53125	20143.661211943443	20329.697590272	20594.341504209387
Sud	2016	20298.765625	20412.981424180205	20512.3395180544	20559.81707521047
