Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Centro	2005	87836.0	87836.0	87836.0	87836.0
Centro	2006	87836.0	87836.0	87836.0	87836.0
Centro	2007	96191.5	98698.15	101204.8	103711.45
Centro	2008	108194.75	112673.05249999999	116399.36	119373.6725
Centro	2009	155483.875	171238.01837499999	185498.272	198603.03362499998
Centro	2010	208794.9375	230302.20643125	246784.4544	258930.85168125
Centro	2011	251664.96875	272053.52225093753	284984.89088	292754.7925840625
Centro	2012	286246.484375	303756.93278782815	313659.378176	319424.33962920314
Centro	2013	271050.2421875	272620.02647573984	267415.0756352	259032.51698146015
Centro	2014	276062.12109375	278115.10926650895	278342.21512704	279971.925849073
Centro	2015	307406.060546875	317527.78824327816	326668.443025408	335811.09629245364
Centro	2016	333500.5302734375	344871.47588514735	353009.6886050816	358405.8048146227
Isole	2005	2579.0	2579.0	2579.0	2579.0
Isole	2006	2579.0	2579.0	2579.0	2579.0
Isole	2007	2944.0	3053.5	3163.0	3272.5
Isole	2008	3581.0	3810.425	4007.0	4170.725
Isole	2009	12773.5	15611.548750000002	18374.2	21076.23625
Isole	2010	23519.25	27736.2920625	31086.84	33605.561812500004
Isole	2011	33005.625	37327.502221875	40210.968	42047.678090625
Isole	2012	41602.8125	45694.62577765625	48202.1936	49792.38390453125
Isole	2013	42861.40625	44671.119022179686	44936.43872	44403.619195226565
Isole	2014	46761.203125	48564.54165776289	49516.087744	50348.13095976133
Isole	2015	53406.1015625	56030.739580217014	57944.0175488	59565.85654798806
Isole	2016	58812.05078125	61352.45885307596	62963.20350976	63985.3928273994
Nord-est	2005	63962.0	63962.0	63962.0	63962.0
Nord-est	2006	63962.0	63962.0	63962.0	63962.0
Nord-est	2007	70305.0	72207.9	74110.8	76013.7
Nord-est	2008	79200.5	82535.165	85298.96	87491.885
Nord-est	2009	112842.75	124102.55775	134247.79200000002	143535.34425
Nord-est	2010	146201.875	160150.5452125	170498.3584	177759.7172125
Nord-est	2011	170260.9375	182360.690824375	189555.67168	193491.985860625
Nord-est	2012	189471.46875	199469.54178853123	204856.734336	207922.49929303126
Nord-est	2013	189563.734375	193090.73962598594	192696.1468672	190569.32496465158
Nord-est	2014	201737.8671875	206624.55886909508	209668.82937344	212744.86624823257
Nord-est	2015	220535.43359375	227885.04560418328	233400.165874688	238003.59331241163
Nord-est	2016	234512.216796875	241277.61596146415	245471.2331749376	247964.72966562057
Nord-ovest	2005	88494.0	88494.0	88494.0	88494.0
Nord-ovest	2006	88494.0	88494.0	88494.0	88494.0
Nord-ovest	2007	97164.5	99765.65	102366.8	104967.95
Nord-ovest	2008	108974.25	113427.5775	117100.56	119993.1975
Nord-ovest	2009	158792.125	175296.152125	190308.11200000002	204179.159875
Nord-ovest	2010	206201.0625	226200.15324374998	240949.6224	251138.45799375
Nord-ovest	2011	241011.53125	258454.3536353125	268847.52448	274587.8228996875
Nord-ovest	2012	267455.765625	281494.02377235936	288889.504896	292934.3911449844
Nord-ovest	2013	263566.8828125	267313.6083203258	265520.3009792	261340.81955724923
Nord-ovest	2014	275929.44140625	280949.562912114	283737.66019584	286944.44097786245
Nord-ovest	2015	300822.720703125	310047.74701923993	317320.332039168	323777.4220488931
Nord-ovest	2016	317442.3603515625	325657.011456734	330713.6664078336	333547.7711024447
Sud	2005	9510.0	9510.0	9510.0	9510.0
Sud	2006	9510.0	9510.0	9510.0	9510.0
Sud	2007	10588.0	10911.4	11234.8	11558.2
Sud	2008	12430.5	13096.44	13665.36	14137.26
Sud	2009	33151.75	39601.204	45831.472	51886.212999999996
Sud	2010	55112.375	63957.8714	70824.69440000001	75813.66065
Sud	2011	73453.1875	82051.35499	87600.13888	90994.9830325
Sud	2012	90472.59375	98587.7742465	103513.62777600001	106667.149151625
Sud	2013	93915.296875	97788.420986275	98589.12555520001	97823.45745758124
Sud	2014	103669.6484375	107951.54734519625	110457.02511104	112643.97287287907
Sud	2015	118229.82421875	124096.54157081869	128323.405022208	131782.69864364396
Sud	2016	129684.412109375	135174.13954978655	138575.8810044416	140671.1849321822
