Year	Province	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
2005	Centro	11915.0	11915.0	11915.0	11915.0
2005	Isole	14329.0	14329.0	14329.0	14329.0
2005	Nord-est	26400.0	26400.0	26400.0	26400.0
2005	Nord-ovest	22158.0	22158.0	22158.0	22158.0
2005	Sud	5890.0	5890.0	5890.0	5890.0
2006	Centro	11915.0	11915.0	11915.0	11915.0
2006	Isole	14329.0	14329.0	14329.0	14329.0
2006	Nord-est	26400.0	26400.0	26400.0	26400.0
2006	Nord-ovest	22158.0	22158.0	22158.0	22158.0
2006	Sud	5890.0	5890.0	5890.0	5890.0
2007	Centro	12404.0	12550.7	12697.4	12844.1
2007	Isole	14669.0	14771.0	14873.0	14975.0
2007	Nord-est	27337.0	27618.1	27899.2	28180.3
2007	Nord-ovest	23101.0	23383.9	23666.8	23949.7
2007	Sud	5928.5	5940.05	5951.6	5963.15
2008	Centro	13401.0	13751.445	14057.880000000001	14320.305
2008	Isole	14902.5	15008.25	15083.4	15127.95
2008	Nord-est	28810.5	29350.934999999998	29807.04	30178.815
2008	Nord-ovest	24513.0	25035.615	25473.36	25826.235
2008	Sud	5949.25	5959.5175	5966.32	5969.6575
2009	Centro	14360.0	14770.35575	15066.776	15269.06525
2009	Isole	15096.25	15191.3875	15248.68	15281.8975
2009	Nord-est	30475.25	31163.82725	31673.408	32041.94075
2009	Nord-ovest	26059.5	26706.36525	27179.472	27517.01175
2009	Sud	6059.625	6096.331125	6129.264	6159.982875
2010	Centro	15446.5	15916.0745125	16239.7552	16469.8032625
2010	Isole	15462.625	15605.835625	15712.936	15801.644875
2010	Nord-est	32594.625	33471.4395375	34105.8816	34580.3970375
2010	Nord-ovest	27877.25	28648.9778375	29191.8944	29586.1005875
2010	Sud	6242.8125	6310.6158937499995	6366.6528	6412.69914375
2011	Centro	16293.75	16712.276079375	16960.75104	17107.440163125
2011	Isole	15989.8125	16198.09246875	16356.1872	16481.23224375
2011	Nord-est	34158.8125	34934.953838125	35399.57632	35665.869851875
2011	Nord-ovest	29347.625	30058.842243125	30492.77888	30756.405029375
2011	Sud	6446.90625	6531.8655628125	6594.13056	6639.0849571875
2012	Centro	16943.875	17285.39662778125	17467.350208	17569.67200815625
2012	Isole	16728.90625	17023.5323640625	17245.63744	17418.6616121875
2012	Nord-est	35135.90625	35700.68384334375	35970.315264	36090.64349259375
2012	Nord-ovest	30338.8125	30885.094785093752	31162.555776	31301.32025146875
2012	Sud	6696.453125	6801.052946984375	6875.626112	6930.654247859375
2013	Centro	15246.4375	14856.738819723438	14332.6700416	13750.033600407813
2013	Isole	15688.953125	15480.086327421875	15168.327487999999	14787.483080609374
2013	Nord-est	31425.953125	30510.63934517031	29366.8630528	28134.732174629688
2013	Nord-ovest	27290.40625	26567.083174782812	25626.1111552	24594.966012573437
2013	Sud	6122.2265625	5986.568531444531	5813.5252224	5617.132712392969
2014	Centro	14982.21875	14766.558586903204	14640.93400832	14669.60168002039
2014	Isole	15571.9765625	15463.780214597657	15397.665497599999	15421.624154030469
2014	Nord-est	30022.9765625	29281.723770809607	28769.37261056	28595.736608731484
2014	Nord-ovest	26627.203125	26175.079111173985	25896.42223104	25895.54830062867
2014	Sud	6211.61328125	6190.9489860055855	6203.50504448	6266.806635619649
2015	Centro	15545.609375	15639.145505416122	15815.386801664	16037.03008400102
2015	Isole	16957.48828125	17335.27307510918	17753.93309952	18196.931207701524
2015	Nord-est	30586.98828125	30496.75331978336	30674.674522112	31023.236830436574
2015	Nord-ovest	27069.1015625	27043.427688910895	27188.084446208	27430.227415031433
2015	Sud	6611.306640625	6723.982145101955	6849.501008896	6973.790331780982
2016	Centro	15869.3046875	15999.150926895643	16117.4773603328	16185.201504200051
2016	Isole	17783.744140625	18163.845576288215	18438.786619904	18589.346560385075
2016	Nord-est	30355.494140625	30254.463661924176	30234.1349044224	30168.96184152183
2016	Nord-ovest	26804.05078125	26715.549691118813	26668.8168892416	26583.561370751573
2016	Sud	6876.6533203125	6995.693750785685	7083.5002017792	7133.589516589049
