Metric	MAE	MAE	MAE	MAE	MPE	MPE	MPE	MPE	MAPE	MAPE	MAPE	MAPE
Alpha	0.5	0.65	0.8	0.95	0.5	0.65	0.8	0.95	0.5	0.65	0.8	0.95
Romania	32955.40127840909	28003.761216277206	24711.5462862457	22213.510891895243	23.450029754485193	19.446161791321646	16.664339680545925	14.608070337634457	23.990902356819678	20.79635969029745	18.752786442197774	17.142724458047137
Morocco	6682.720720880682	5989.026410680586	5545.776665160609	5214.640544509462	7.80551247614917	6.191832597011343	5.105089299149028	4.327147129891008	8.842643453583761	7.816724130959533	7.1768937559337225	6.694145964368774
Albania	6955.515411931819	6150.291783648323	5578.536153155023	5182.361496504227	6.2385591434874055	4.886844921811933	3.9823172313124835	3.336312456769331	7.1969260796744505	6.437000841848292	5.888962192309734	5.483642600520501
Tunisia	1645.0713245738636	1486.2054781077043	1378.0500171664294	1326.8545479553268	3.0166428952672866	2.3430942722358448	1.904451586565377	1.593240690935222	8.21102867459418	7.553335845695343	7.133885681194552	6.941554728372787
Egypt	2395.452361505682	2189.7131323434205	2040.1305982864294	1924.7865335820625	13.260540268104165	11.059936274506407	9.454999232889067	8.234875216087072	16.889485572192136	15.618279323739742	14.692848295854846	13.98757966659065
Ecuador	1587.0310546875	1421.4098077975877	1296.1294449068225	1219.8557033157003	7.842385300131085	6.158842221676563	5.033756654226503	4.230025414983785	9.42406829185192	8.404695800327191	7.743475157768095	7.3468280002335655
Peru	1991.199112215909	1654.3821135512903	1473.3754580023854	1387.09428852255	9.54879924307508	7.522140488989581	6.154281585580123	5.183393920221193	10.17685571044067	8.786677369151398	8.142048932048263	7.773696911502454
China	5543.281338778409	4582.499708153364	3920.3912581324785	3602.3216547016987	13.933809885386088	11.3141154865952	9.486827370439746	8.144586525045197	14.341864625575376	12.209451352707203	10.748554094653759	9.929930882876901
Philippines	2896.838494318182	2327.567980160422	2036.011517978065	1898.8809761067582	10.817326348031548	8.703294206897294	7.220039429669904	6.1297879228446215	10.817326348031548	8.796526491272717	7.766819363281502	7.152194612775849
