Year	Province	Immigrant Stock	Prediction step I	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	14972	15356.103200016956	5077.779132139575	15119.130717217464	14793.739808277805	15412.385544060928	15356.103198983204	10839.034586330912	25564.876584668567
2005	Isole	256	245.39549222248937	791.3227440881584	379.4491015281642	376.02833550263847	245.00759904151872	245.39549220700715	142.70457491480744	327.5108475385059
2005	Nord-est	4512	4620.099175550811	4923.585919546512	4776.200274265019	4929.692073091518	4641.229092160702	4620.099175232628	4671.539083871885	8722.959138473043
2005	Nord-ovest	33260	32621.494830163436	10917.16826614565	31541.686319180386	32008.835352891816	32439.668270042614	32621.49482763791	25208.60827869982	29835.389152619686
2005	Sud	984	942.2076991507566	1415.2911501416797	606.1498620982638	604.4042601013499	941.1920824624891	942.2076990932852	334.5348773380961	1204.5846003639078
2006	Centro	16409	16999.760568880312	5621.284797560773	16737.4234761601	16377.203993963703	17062.067155423818	16999.760567735913	11999.202555843382	28301.241223219993
2006	Isole	269	265.9979204339194	857.7590501486077	411.3061368930913	407.59817697565376	265.57746128630333	265.9979204171373	154.68548268738923	355.00735394848914
2006	Nord-est	5036	5027.369124582145	5357.608764146171	5197.230812431207	5364.253185972552	5050.361680874371	5027.369124235905	5083.343552194693	9491.903481167745
2006	Nord-ovest	37209	36978.54619362461	12375.306929833205	35754.51433636181	36284.05757809058	36772.43418411489	36978.546190761765	28575.566219882472	33820.31760741928
2006	Sud	1049	1027.795509786613	1543.8526881784712	661.2110122682071	659.3068441151346	1026.6876369971976	1027.79550972392	364.92319592062216	1314.0060779890007
2007	Centro	19622	18889.87734903236	6246.286819138245	18598.372331328865	18198.10187988035	18959.11148754124	18889.877347760717	13333.332763580576	31447.91206710601
2007	Isole	272	290.9891460230144	938.3478377916933	449.9494632638624	445.89313046207735	290.5291835988617	290.9891460046557	169.21860304747474	388.3612570686395
2007	Nord-est	5476	5624.245603896678	5993.693081299637	5814.274190913354	6001.126364856397	5649.967960947524	5624.24560350933	5686.8656185861055	10618.833649102002
2007	Nord-ovest	40861	41404.52845871273	13856.51413331992	40033.99156407546	40626.9161238317	41173.74679091156	41404.52845550716	31995.791250953444	37868.28977880478
2007	Sud	1101	1130.3982460448506	1697.9723634236334	727.2183633967227	725.1241060080573	1129.179776567148	1130.3982459759002	401.35273668922383	1445.1806334116234
2008	Centro	20864	20581.832854819953	6805.763155542877	20264.217899473413	19828.095452714486	20657.268255500854	20581.832853434415	14527.591750179765	34264.68355716494
2008	Isole	306	297.918593736618	960.6931120674441	460.66430030181994	456.5113723299294	297.44767803255104	297.91859371782203	173.24827727420265	397.60946808140915
2008	Nord-est	5950	5915.589939025066	6304.175348383601	6115.462291097343	6311.993687147438	5942.644752647104	5915.5899386176525	5981.453764143536	11168.905115965577
2008	Nord-ovest	43429	43709.03693203809	14627.745093306132	42262.21819084276	42888.143963820476	43465.41033329014	43709.03692865418	33776.62476828476	39975.97697907362
2008	Sud	1146	1173.4448016211916	1762.63263865402	754.9114758069938	752.7374672621428	1172.17993175825	1173.4448015496155	416.6366005363761	1500.2143780867161
2009	Centro	22752	22543.01453006729	7454.264097168109	22195.134989705177	21717.45573132598	22625.637945854705	22543.014528549724	15911.882786206455	37529.66340490107
2009	Isole	329	333.2094744513588	1074.4950255237702	515.2337337419615	510.5888576716502	332.68277495169025	333.20947443033634	193.77094492858723	444.70954375348305
2009	Nord-est	6818	6531.519818117942	6960.564651924499	6752.202834031835	6969.1970343423345	6561.391572781354	6531.519817668121	6604.24136972862	12331.808976541548
2009	Nord-ovest	47585	47866.4362007831	16019.067827066086	46282.002824289244	46967.463730811745	47599.63697883002	47866.436197077244	36989.29942251424	43778.30503582265
2009	Sud	1258	1275.132005695012	1915.377092067048	820.3298382148371	817.9674366154059	1273.7575260066212	1275.1320056172333	452.74107768334795	1630.2184527634488
