Year	Province	Immigrant Stock	Prediction step I	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	26477	28286.82136138235	15211.214034029528	25196.151198882275	28450.304634072563	28385.322246402553	28286.821361840404	28023.34387156231	28408.28706853629
2005	Isole	3957	3807.761398401335	5496.209520504808	3912.2289234080017	3945.356934558477	3802.0776015208357	3807.7613984734726	3548.809255902499	4068.0503747083076
2005	Nord-est	11807	11823.140614092496	14077.956239550718	13881.445951410065	11826.843182007868	11882.90633905037	11823.140614190912	11335.562291328255	11816.04231488731
2005	Nord-ovest	36056	34938.289733806625	23030.234881829103	37620.07890708807	34593.49026268498	34744.74555045487	34938.289734125006	32492.748796390522	35077.98750408076
2005	Sud	4486	4570.022277417621	6210.0317442884225	4195.276153078443	4409.42530640605	4563.795147210662	4570.022277500952	4605.2826917841485	4561.66052103379
2006	Centro	28398	29980.662483370685	16122.07565107147	26704.92012244773	30153.935286192336	30085.061692824955	29980.662483856115	29701.407716872087	30109.40166982653
2006	Isole	4130	4084.793467687932	5896.083918448285	4196.861483271037	4232.399708854641	4078.6961485704905	4084.793467765325	3807.0013716371827	4364.019658324848
2006	Nord-est	12825	12789.033670664143	15228.056760751779	15015.492538292407	12793.03872036142	12853.681964530037	12789.033670770597	12261.622571494305	12781.355474954336
2006	Nord-ovest	39656	38457.234198862956	25349.81372165826	41409.13010145671	38077.70692052172	38244.196467374226	38457.2341992134	35765.38118345575	38611.00216831484
2006	Sud	4842	4838.138065291011	6574.364225131284	4441.406194213532	4668.119130709238	4831.545599464172	4838.138065379231	4875.467150925374	4829.285738234925
2007	Centro	36272	33055.30276398933	17775.460836654347	29443.619547276114	33246.345405599124	33170.408541880206	33055.302764524546	32747.409272308876	33197.24468365999
2007	Isole	4267	4454.982890039794	6430.423761374028	4577.2072071056955	4615.966128008244	4448.332993892489	4454.982890124193	4152.0155442770565	4759.5142969710105
2007	Nord-est	13652	14172.045054274873	16874.825108754445	16639.274103479416	14176.483211700684	14243.684441342173	14172.04505439284	13587.59950099552	14163.536535309557
2007	Nord-ovest	42028	42828.58043995901	28231.269323786153	46116.01162809058	42405.913160103584	42591.32719463642	42828.580440349295	39830.75062186142	42999.82686435616
2007	Sud	5340	5347.791445958399	7266.913075093744	4909.267518394625	5159.862579163507	5340.504524444218	5347.791446055912	5389.052807694433	5338.00660760354
2008	Centro	37553	36920.284937648605	19853.851700376577	32886.30665532467	37133.66518752363	37048.84942692415	36920.2849382464	36576.39108423414	37078.823377192006
2008	Isole	4551	4571.970561105771	6599.286430070786	4697.404483809703	4737.181212412379	4565.146038953763	4571.970561192394	4261.047305059061	4884.498950504188
2008	Nord-est	14593	14718.564765535677	17525.572725678736	17280.93811483393	14723.17407260898	14792.966798148158	14718.564765658193	14111.58110898311	14709.72813066963
2008	Nord-ovest	43638	44402.21127332503	29268.55786841233	47810.43103364541	43964.01412399927	44156.24074112724	44402.211273729736	41294.23357298428	44579.74972633415
2008	Sud	5593	5633.07346636261	7654.572105015579	5171.1561448501	5435.1193905906475	5625.397818453038	5633.0734664653255	5676.535946964196	5622.766648330082
2009	Centro	39883	39466.581923522084	21223.120730342725	35154.39054618263	39694.67845979683	39604.01317458151	39466.5819241611	39098.97059653209	39636.05435101916
2009	Isole	4937	4945.627407922908	7138.631232436921	5081.312762348685	5124.340353306613	4938.245132960766	4945.627408016611	4609.293095111119	5283.698038016596
2009	Nord-est	16661	15935.59415526532	18974.70431009372	18709.84167322288	15940.584590679833	16016.148245621682	15935.594155397968	15278.421029774874	15926.026848318808
2009	Nord-ovest	46302	47519.20887850425	31323.185828747668	51166.682777891016	47050.25066062178	47255.97142338035	47519.20887893728	44193.05377728409	47709.210380469434
2009	Sud	6211	6049.476595504658	8220.406688179657	5553.413825822283	5836.889531707582	6041.233555064733	6049.476595614965	6096.151871577641	6038.407885885614
