Year	Country	Predicted
2005	DEU	39467.89784224433
2005	MAR	302017.2554585738
2005	PER	56689.49025776959
2005	POL	51623.06803651102
2005	ROU	225441.2061310187
2006	DEU	40940.693304885586
2006	MAR	327196.53976731
2006	PER	63165.89976854005
2006	POL	62768.442908316676
2006	ROU	338546.1685171984
2007	DEU	42807.544515704634
2007	MAR	351599.3840444251
2007	PER	68351.52850423846
2007	POL	74172.34419280128
2007	ROU	471508.43658903986
2008	DEU	44952.39037686041
2008	MAR	374582.11831287853
2008	PER	74774.55838091346
2008	POL	92210.90278587613
2008	ROU	610297.8963218667
2009	DEU	46682.90255762785
2009	MAR	413298.8914006052
2009	PER	80003.11374349333
2009	POL	102177.70597390045
2009	ROU	742632.1622815356
2010	DEU	47554.609212211915
2010	MAR	441646.7386188151
2010	PER	84423.89450805512
2010	POL	107995.8737207554
2010	ROU	865471.2288476955
2011	DEU	47645.43931827642
2011	MAR	462932.8534737134
2011	PER	90326.83638891077
2011	POL	111124.27911019593
2011	ROU	919704.895166805
2012	DEU	39876.76267212769
2012	MAR	418470.7616536934
2012	PER	96177.184828175
2012	POL	87368.17089060071
2012	ROU	925275.0207074191
2013	DEU	40483.39980833902
2013	MAR	436894.62922784174
2013	PER	98883.74821158987
2013	POL	91267.09508410387
2013	ROU	904964.115027247
2014	DEU	43169.41828883732
2014	MAR	465137.59442358534
2014	PER	106692.48943975609
2014	POL	99975.02305291
2014	ROU	1063169.5271308478
2015	DEU	41869.683949123166
2015	MAR	459064.3553950591
2015	PER	111346.34964768775
2015	POL	101959.824051311
2015	ROU	1159690.1661224775
2016	DEU	41545.25815376165
2016	MAR	447050.8782235051
2016	PER	112698.90632087016
2016	POL	100204.27019271743
2016	ROU	1200830.1771568656
