	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99851	0.98594	0.99496	0.99571	0.99529	0.99851	0.99791	0.99793
R2_adj	0.99851	0.98506	0.99429	0.9948	0.99384	0.99789	0.99677	0.99647
MAE	1908.84414	5668.3969	3792.51974	3414.19271	3372.06885	1908.84414	2093.37462	2004.98815
MPE	-0.61173	-0.07219	-0.68069	-0.69273	-0.09867	-0.61173	-2.65505	-4.59625
MAPE	3.70743	12.83648	11.02812	10.77136	8.0184	3.70743	4.24565	5.858
a Centro	-0.3545294392808274							
a Isole	-0.8620773126061625							
a Nord-est	-0.3536468676553119							
a Nord-ovest	-0.3262472158551652							
a Sud	-0.6431088005219832							
internal_migration - Foreign country		2.6341706018603814e-06	5.009213353299497e-06	5.009624479334984e-06	7.060493931877092e-06	9.062732321268082e-06	7.319450378417969e-05	1.621246337890625e-05
Alcoholic beverages and tobacco			-0.0008055878838997797	-0.004061762206895025	-0.06926967799260808	-0.1020646844847306	-0.0606689453125	-0.0078125
Communications				0.002002689064942942	0.05313159579986859	0.08088726410632319	0.0386962890625	0.00634765625
Furniture, articles and services for the house					-0.008348817982201773	-0.0135169110440021	0.00030517578125	-0.0010986328125
reach_difficulty - Pharmacy						-0.00023514200305835287	0.001194000244140625	0.0011749267578125
Free activities in voluntary associations							-0.0051422119140625	0.000152587890625
native population - Total								-1.6205012798309326e-07
