	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99609	0.39692	0.98313	0.99529	0.99725	0.99609	0.99746	0.99668
R2_adj	0.99609	0.35922	0.98088	0.99429	0.9964	0.99446	0.99607	0.99435
MAE	1014.87784	13130.88058	2519.71962	1334.39565	946.28538	1014.87779	817.27403	1041.46314
MPE	5.14416	-23.63273	2.88354	4.66223	5.14295	5.14416	0.20838	-10.27113
MAPE	6.26293	86.94203	18.20872	14.41424	6.16658	6.26293	3.9436	11.2715
a Centro	-1.3030118901497916							
a Isole	-3.697391890458146							
a Nord-est	-1.8559372367579792							
a Nord-ovest	-0.22235604759909788							
a Sud	-3.5124167971103635							
internal_migration - Foreign country		1.1348307656514246e-05	9.372651508074989e-05	0.00010165468054702505	8.32523966365949e-05	0.0001513795191205869	5.257129669189453e-05	8.392333984375e-05
Free activities in voluntary associations			-0.004171668990081673	-0.00538813355276907	-0.004498981054070192	-0.00891363550667279	-0.0018463134765625	-0.00341796875
Meetings in ecological associations, for civil rights, for peace				0.005145399954630481	0.012400127849653053	0.023194281713159626	0.00885772705078125	0.02734375
Average monthly expenditure for housing					-0.08615187148706127	-2.1111132341975463	0.150390625	-0.296875
work_satisfaction - Quite						0.43996271402920684	-0.0556640625	0.044921875
Health services and health expenditure							-0.0011506080627441406	0.0
political_info - Every day								-0.0008544921875
