	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99934	0.72441	0.99756	0.99904	0.99938	0.99934	0.99225	0.96961
R2_adj	0.99934	0.70718	0.99724	0.99884	0.99919	0.99907	0.98803	0.94833
MAE	685.12388	9766.86126	1248.24422	705.67286	695.84155	685.12388	1813.74075	3965.4829
MPE	11.24878	12.84976	10.81221	11.6499	11.23993	11.24878	-0.44325	27.71563
MAPE	13.28728	25.54305	15.89861	12.3772	13.31248	13.28728	10.85423	27.71563
a Centro	-0.6864145985963744							
a Isole	-1.866999837056921							
a Nord-est	-0.9222416046874788							
a Nord-ovest	-0.08321017594924827							
a Sud	-1.621282182281695							
internal_migration - Foreign country		5.553281153093525e-06	4.4928150669034826e-05	4.651785977067722e-05	3.214452700736007e-05	3.544029662627679e-05	-1.1444091796875e-05	9.918212890625e-05
Free activities in voluntary associations			-0.00199396087004243	-0.0023208649104515255	-0.0014121924644170392	-0.0015876228966718031	0.00048828125	0.0013427734375
Free activity for a union				0.0022276435274041217	0.004092652739197816	0.0029367586551245495	0.021484375	-0.03125
work_satisfaction - Not					-0.019659505710044378	-0.0198694536322499	-0.01123046875	-0.01806640625
reach_difficulty - Municipal offices						8.725861003089364e-05	-0.00146484375	0.00439453125
native population - Total							4.470348358154297e-08	-4.172325134277344e-07
Meetings in cultural, recreational or other associations								-0.0048828125
