	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99919	0.99057	0.99861	0.99866	0.99919	0.99919	0.99859	0.99911
R2_adj	0.99919	0.98998	0.99842	0.99837	0.99894	0.99885	0.99782	0.99849
MAE	2643.81848	7931.73544	3190.17333	2777.0375	2681.00097	2643.81848	3478.98623	2813.93983
MSE	9781317.13244	113598221.90424	16754576.06814	16151479.20731	9777351.3882	9781317.10675	17020424.8009	10689286.57691
RMSE	3127.50973	10658.24666	4093.2354	4018.8903	3126.87566	3127.50973	4125.58175	3269.44744
a Centro	-0.37059882316369724							
a Isole	-0.614187910566444							
a Nord-est	-0.21132619977226413							
a Nord-ovest	-0.16304829945860855							
a Sud	-0.44769096716851037							
internal_migration - Foreign country		1.8914220998615357e-06	5.5273514924451925e-06	5.798967486731789e-06	-9.346303767055267e-06	-1.4083476582493759e-05	-3.5762786865234375e-07	5.960464477539062e-07
Free activity for a union			-0.0016646276930118442	-0.0016458491294428085	0.011259602301023186	0.015494476829871928	0.001800537109375	0.0013427734375
Recreation, shows and culture				-3.7690460260398967e-05	0.0008743816419709005	0.0011414124677173731	0.000244140625	0.00030517578125
reach_difficulty - Municipal offices					-0.0006480666970047344	-0.000908360374509698	-7.43865966796875e-05	0.00022125244140625
work_satisfaction - Not						0.003985593833704115	-0.007415771484375	-0.03082275390625
Pay money to an association							6.115436553955078e-05	1.52587890625e-05
Education								0.0009765625
