	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99737	0.67633	0.9922	0.99448	0.98574	0.99737	0.91489	0.93176
R2_adj	0.99737	0.6561	0.99116	0.9933	0.98136	0.99627	0.86846	0.88399
MAE	913.31656	11646.32466	2024.00171	1918.9972	2769.53131	913.31656	5189.72112	5388.65796
MSE	2892898.06369	355931199.90174	8574881.95909	6071564.93904	15677503.89523	2892898.06206	93597007.86587	75046027.08849
RMSE	1700.85216	18866.13898	2928.28994	2464.05457	3959.48278	1700.85216	9674.55466	8662.91101
a Centro	-0.607743039934078							
a Isole	-2.679244646436805							
a Nord-est	-1.2171077931991452							
a Nord-ovest	-0.24203802520307638							
a Sud	-2.030286554197661							
internal_migration - Foreign country		7.2726831538019065e-06	2.4063059149131885e-05	2.404880542981644e-05	2.9064036682753275e-05	-0.00027205944593361453	-2.288818359375e-05	1.7344951629638672e-05
Furniture, articles and services for the house			-0.0025542937821562903	-0.004494494487486067	-0.0035713795827059247	0.10772282845169912	-0.0029296875	-0.0079345703125
Communications				0.00266371225853268	0.0019576127606014126	-0.005199636482475789	0.008056640625	0.00933837890625
Free activities in non voluntary associations					-0.0012222579078385865	0.06513352382846449	0.01025390625	0.0078125
Education						-1.1138786054088996	-0.0546875	-0.02252197265625
work_satisfaction - Not							-0.03662109375	0.1484375
Average monthly expenditure for housing								-0.3671875
