	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99715	0.91321	0.99271	0.9925	0.99708	0.99715	0.99812	0.98139
R2_adj	0.99715	0.90779	0.99174	0.99089	0.99618	0.99596	0.9971	0.96836
MAE	1430.38924	8816.77977	2669.73202	2550.87017	1426.22134	1430.38924	1187.71075	3975.15963
MPE	-0.78996	-1.50659	-0.30051	-0.72946	-0.40935	-0.78996	0.69525	13.2542
MAPE	3.93653	25.24025	10.78823	10.43004	4.26915	3.93653	3.474	13.2542
a Centro	-0.4479620736341462							
a Isole	-1.3109327033939242							
a Nord-est	-0.8137979411717347							
a Nord-ovest	-0.3739074171357554							
a Sud	-1.2212284220156802							
internal_migration - Foreign country		4.34051161704903e-06	1.2741486525738512e-05	1.211361692236623e-05	1.7077348952796237e-05	2.0215262576120212e-05	-1.430511474609375e-06	6.198883056640625e-06
Recreation, shows and culture			-0.001012807101877896	-0.0004881812631753468	0.017740160303844732	0.016359997705428952	0.0068359375	0.014801025390625
Clothing and footwear				-0.0004774821411658997	-0.005969045857712629	-0.004998550619415454	0.0042724609375	0.0015869140625
Accommodation and catering services					-0.01421619831739207	-0.013581584680736114	-0.0050048828125	-0.0098876953125
Born alive						-2.130576846004484e-06	1.049041748046875e-05	1.621246337890625e-05
Food and non-alcoholic beverages							-0.002105712890625	-0.0023193359375
Pay money to an association								-0.00067138671875
