	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99905	0.99398	0.99834	0.99886	0.99901	0.99905	0.99884	0.99787
R2_adj	0.99905	0.9936	0.99812	0.99861	0.9987	0.99866	0.99821	0.99637
MAE	520.8575	1310.54698	839.67883	602.12735	560.37522	520.8575	583.36608	713.28462
MSE	486031.6705	3086451.5462	851416.86571	586701.61977	509699.6414	486031.61464	594905.01969	1093735.37122
RMSE	697.15972	1756.82997	922.72253	765.9645	713.93252	697.15968	771.30086	1045.81804
a Centro	-0.15542374558460167							
a Isole	-0.3788273547252226							
a Nord-est	-0.1935294280335595							
a Nord-ovest	-0.2833796964695939							
a Sud	-0.22170338152017685							
Free activity for a union		0.0005635604915975133	0.0018353217928772925	0.0032419386146529117	0.003698163025915302	0.02890181328621111	0.003143310546875	0.00439453125
internal_migration - Italy			-6.321836108709905e-07	-1.889313150089906e-06	-1.8347906426671235e-06	-3.5238903821621648e-06	-1.9203871488571167e-06	-1.3113021850585938e-06
Recreation, shows and culture				0.00029866282616563405	0.000331940023820268	-0.0028724333735681284	0.00037384033203125	0.000457763671875
Average monthly expenditure for housing					-0.005943405258675871	-3.542206038022414	0.0390625	0.01171875
Total fertility rate						32.338717168197036	-0.46875	-0.1875
reach_difficulty - Emergency room							5.060434341430664e-05	-4.57763671875e-05
internal_migration - Foreign country								-1.9073486328125e-06
