	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99784	0.99455	0.99458	0.99776	0.99796	0.99784	0.99704	0.99651
R2_adj	0.99784	0.99421	0.99386	0.99728	0.99733	0.99694	0.99543	0.99407
MAE	823.37546	1398.6208	1375.31856	786.11468	816.38599	823.37546	989.67678	1054.53753
MPE	1.35055	0.98782	0.93354	1.96953	1.64053	1.35055	0.741	-0.44077
MAPE	4.30281	9.68928	9.65348	4.22351	3.90912	4.30281	5.01473	6.05519
a Centro	-0.4864665387871057							
a Isole	-0.4871521984984668							
a Nord-est	-0.29695402427734363							
a Nord-ovest	-0.33039963486821816							
a Sud	-0.7322515078037435							
Accommodation and catering services		0.0002927118620072331	0.00030526380415776475	-0.000723738358471504	-0.0011664293812168602	-0.0010259090823020456	-0.00074005126953125	-0.000152587890625
Free activity for a union			-4.666123650027415e-05	-0.010737013843977739	-0.011983896467380295	-0.007379481843905467	-0.0084991455078125	-0.0062103271484375
political_info - Every day				0.00040246387196046784	0.000842678904853178	-0.0007344468557604067	0.00030517578125	0.000274658203125
Meetings in ecological associations, for civil rights, for peace					-0.009031103323090761	0.014328380317934375	0.000244140625	-0.00146484375
Free activities in voluntary associations						0.0019975941952132814	0.000457763671875	9.1552734375e-05
native population - Total							-2.8870999813079834e-08	-2.750311978161335e-09
Housing, water, electricity, gas and other fuels								-1.71661376953125e-05
