Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	84448	84690.8883488139	68282.16620237728	74495.81549229175	85414.66291489144	85638.9670742418	84690.8882924893	81257.9038849485	80535.50371898209
2005	Isole	5816	5799.525493218324	9013.269085371801	8041.300249987921	7794.309663722701	7767.774098851541	5799.525488774999	4953.2485123251145	5221.933036414212
2005	Nord-est	90814	90802.59128796755	75095.20338163074	90588.67238757887	86380.88662891106	83970.73211168355	90802.5912328171	89809.27354058479	78776.88777536819
2005	Nord-ovest	105198	105440.82645289903	89984.58562398917	105451.32268207386	99770.03603649662	103045.23830451154	105440.82639830916	102652.24915260302	104022.90488102127
2005	Sud	38675	37890.845329157906	36931.970212985245	29976.460231330373	29657.31130630846	29718.884656488284	37890.84531017344	31452.180427203508	36054.19658707385
2006	Centro	93671	93115.04563567319	75074.15668908882	81905.87434461106	93910.81367004159	94157.42924394067	93115.04557374601	89340.58404657284	88546.32712315823
2006	Isole	5904	6071.917570777869	9436.604252126142	8418.983990482848	8160.392751886827	8132.610864768612	6071.917566125849	5185.8926578709315	5467.196755028603
2006	Nord-est	100415	100752.5298327758	83323.96258396987	100515.17019262134	95846.30497449527	93172.05128355748	100752.52977158208	99650.36661741976	87409.0774628891
2006	Nord-ovest	117788	117798.40793817867	100530.70790580098	117810.13431711314	111463.00536902594	115122.0587530585	117798.40787719093	114683.01158329377	116214.30707926695
2006	Sud	40123	39941.66755225694	38930.893820987665	31598.92049259431	31262.497798612443	31327.403774227318	39941.66753224495	33154.51327369171	38005.61115580224
2007	Centro	101418	100960.4438062338	81399.52169883663	88806.84499177788	101823.25919088168	102090.65333347616	100960.44373908897	96867.96536127708	96006.78840607413
2007	Isole	6039	6173.312969520331	9594.186801586964	8559.573224241509	8296.663751505594	8268.417932608114	6173.312964790626	5272.492261332456	5558.493876328062
2007	Nord-est	109449	108991.59273003174	90137.80010961198	108734.82294694857	103684.1601277616	100791.21868377773	108991.59266383389	107799.29984677126	94556.9762620871
2007	Nord-ovest	128248	128596.89303982566	109746.27686449658	128609.69436646474	121680.72922395187	125675.20508223675	128596.89297324722	125195.91081232349	126867.5789320775
2007	Sud	40798	41254.47092912343	40210.475070462446	32637.51432380428	32290.034083260587	32357.073389534646	41254.47090845369	34244.23635365881	39254.780199631816
2008	Centro	108886	108257.2112301309	87282.55227854375	95225.22895608323	109182.38532631156	109469.10498685611	108257.21115813326	103868.95493125077	102945.53767959077
2008	Isole	6296	6351.889232599027	9871.719146822894	8807.177161945689	8536.662471168673	8507.599581629995	6351.889227732506	5425.010361384859	5719.285183958397
2008	Nord-est	117831	117437.23658320062	97122.48340825441	117160.56997976755	111718.53661240509	108601.4241795221	117437.23651187317	116152.55417879947	101884.09687147412
2008	Nord-ovest	138091	138454.40575441526	118158.80763408219	138468.18835857298	131008.08781786571	135308.7576722137	138454.40568273325	134792.72340611534	136592.53217806958
2008	Sud	41697	42265.69372428925	41196.107611128326	33437.5196982153	33081.522079259186	33150.20464196454	42265.69370311278	35083.625433774665	40216.9869050647
2009	Centro	119856	119285.03108822917	96173.74993960936	104925.52197990325	120304.4497446948	120620.37663060853	119285.03100889736	114449.75699344129	113432.27414569346
2009	Isole	6842	6851.2959309469725	10647.866602422617	9499.626779240578	9207.843322018103	9176.495411255448	6851.295925697841	5851.542754169376	6168.954443927899
2009	Nord-est	130310	129657.96363142469	107229.22122422034	129352.50661072483	123344.16560274642	119902.68092363916	129657.96355267477	128239.59489835452	112486.33662648566
2009	Nord-ovest	152028	152879.33597970396	130469.23247277025	152894.554530246	144657.22029165082	149405.95723518202	152879.33590055403	148836.15972304082	150823.48232536283
2009	Sud	44421	44935.68880978687	43798.53513972542	35549.824156006754	35171.337567645285	35244.358923559186	44935.68878727265	37299.9171643842	42757.56172895163
2010	Centro	127050	126309.6749956123	101837.38049241333	111104.54060429356	127389.12677600732	127723.65845964014	126309.67491160867	121189.65369993418	120112.25172719562
2010	Isole	7169	7187.553936902746	11170.458302956391	9965.86347231393	9659.759436257098	9626.87298649829	7187.55393139599	6138.733399284305	6471.72348806996
2010	Nord-est	137305	137760.13845637877	113929.85011248513	137435.5937829509	131051.79855765218	127395.25951746615	137760.1383727081	136253.13751654173	119515.47652071706
2010	Nord-ovest	161367	161901.4006757702	138168.78093477892	161917.5173381904	153194.0627096323	158223.042968289	161901.4005919493	157619.619263404	159724.22228806172
2010	Sud	46715	46465.71283490102	45289.83999792515	36760.26704645662	36368.89329449056	36444.40096878193	46465.712811620215	38569.949312725184	44213.422280628525
2011	Centro	130673	130818.51235729305	105472.63793406096	115070.60499125673	131936.49699368462	132282.970351254	130818.51227029077	125515.7232466288	124399.86158924297
2011	Isole	7694	7381.695156232484	11472.180754634064	10235.048914701329	9920.676779187661	9886.902041770541	7381.695150576973	6304.545189740339	6646.529590419731
2011	Nord-est	140854	142057.61217458692	117483.9299941107	141722.9432212323	135140.00336301935	131369.3973612223	142057.61208830585	140503.59983504552	123243.80189133582
2011	Nord-ovest	168298	167842.30730159153	143238.8286472193	167859.01535844168	158815.45707922624	164028.97374099662	167842.30721469485	163403.40764653648	165585.23823069475
2011	Sud	48340	47847.96193361843	46637.10955861435	37853.8012439006	37450.78501444074	37528.5388700208	47847.96190964515	39717.31743477516	45528.67086652154
2012	Centro	120104	121807.18617140444	98207.24156940824	107144.0605190825	122848.15935087147	123170.76617469484	121807.18609039525	116869.67534979963	115830.67890966659
2012	Isole	7100	7088.827502861994	11017.023695782227	9828.974876917504	9527.075408950272	9494.640679198239	7088.827497430878	6054.4133004915075	6382.829521126006
2012	Nord-est	132501	132022.89365200524	109185.05638662871	131711.8651688356	125593.93346834858	122089.67693778641	132022.89357181892	130578.65421494479	114538.06030733352
2012	Nord-ovest	159504	157869.58298296272	134727.97478213732	157885.29829342166	149379.08316104495	154282.82712465388	157869.5829012292	153694.43043225587	155746.62269532826
2012	Sud	44199	44748.9260596034	43616.49865395287	35402.07115379911	35025.15764015892	35097.87550302278	44748.92603718275	37144.89038509694	42579.85176096958
2013	Centro	123023	124112.49364382087	100065.89946104347	109171.85552119433	125173.168150645	125501.88059060636	124112.4935612785	119081.53611393922	118022.87575796887
2013	Isole	7368	7243.958384538723	11258.118658057738	10044.070749686152	9735.564557176047	9702.420030462321	7243.95837898874	6186.9072105155965	6522.510444495164
2013	Nord-est	136653	136806.50503907527	113141.1799390004	136484.20699990186	130144.60308076988	126513.37613637178	136806.50495598358	135309.9361913674	118688.14030015114
2013	Nord-ovest	165074	164478.63427545672	140368.22592516517	164495.00749158018	155632.68821898458	160741.72249101405	164478.63419030153	160128.69316294958	162266.79839084033
2013	Sud	45787	45423.50820189942	44274.00965348499	35935.751112259786	35553.15569409404	35626.96976587358	45423.50817914087	37704.84303508808	43221.735492018386
2014	Centro	132042	131592.13323702212	106096.3710240921	115751.09753822254	132716.72929439927	133065.25158998885	131592.13314950533	126257.98504496421	125135.5245212445
2014	Isole	8057	7753.542679133495	12050.083513498566	10750.632057211487	10420.423654094551	10384.947538853046	7753.542673193092	6622.132066765879	6981.343682816803
2014	Nord-est	142789	145773.1913312459	120556.77371467123	145429.76896462165	138674.64942696528	134805.42157130354	145773.19124270813	144178.53311733282	126467.29758780071
2014	Nord-ovest	177286	175701.0067862082	149945.54596399397	175718.4971463993	166251.5020833924	171709.12561762866	175701.00669524283	171054.2693160499	173338.25740246678
2014	Sud	49127	48557.03861408232	47328.242168988334	38414.7707532436	38005.78207692053	38084.68819570226	48557.03858975377	40305.90308117431	46203.37711312728
2015	Centro	131643	130885.79180673322	105526.8820993808	115129.78535350862	132004.35141825204	132351.00296571484	130885.7917196862	125580.27549236183	124463.83995168832
2015	Isole	8682	7817.003229752548	12148.710033841347	10838.622935457337	10505.711870093195	10469.945392897134	7817.003223763524	6676.332341997486	7038.484003378232
2015	Nord-est	139258	142195.05176493336	117597.59474578087	141860.0590220743	135270.75022281313	131496.49619021852	142195.05167856882	140639.53593102747	123363.03927246164
2015	Nord-ovest	175061	174836.773838218	149207.9982196937	174854.17816733918	165433.74908139507	170864.52781740145	174836.77374770012	170212.89260375142	172485.6462766996
2015	Sud	49247	48284.47903555772	47062.58005066153	38199.14158753524	37792.448639790804	37870.91184403136	48284.47901136564	40079.658642274866	45944.02906901656
2016	Centro	124739	125504.60112551287	101188.28837784125	110396.38137189075	126577.17268535086	126909.57212759208	125504.60104204467	120417.21387279025	119346.67905552396
