Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	7266	8184.872912031171	5452.154852304574	7185.845993669589	8052.207172823241	8214.479765933682	8184.872911711802	9656.722622943365	6231.452716991088
2005	Isole	198	246.77566330437773	418.0915624808927	298.3922842227273	293.21415585326764	246.7444492610576	246.775663292371	300.6779589524061	213.68699079445597
2005	Nord-est	3284	3545.3271430125483	3292.4071631205993	3765.9700683088854	3322.362444453198	3555.9812910390337	3545.3271428797284	3825.83401761102	2854.5911656482326
2005	Nord-ovest	41854	42500.109681783906	19848.629499307975	43346.51620410679	42931.24638891575	42342.176158693335	42500.10968043797	45948.34890967365	35266.52052295699
2005	Sud	398	460.1199779449156	659.715130286801	396.06587883024105	406.26485426779533	458.80060340728147	460.1199779253003	519.5975389701476	377.83984081181825
2006	Centro	7705	7932.606949396372	5284.113991190066	6964.37103902811	7804.03010084927	7961.301290474254	7932.60694908686	9359.092781337262	6039.393116901966
2006	Isole	193	221.4157388416282	375.1263433784292	267.7279728119943	263.081975295916	221.38773251243265	221.41573883085536	269.77875996112755	191.7274269028754
2006	Nord-est	3663	3693.36574174288	3429.884840981357	3923.221827958656	3461.090934353055	3704.464764129582	3693.365741604507	3985.585454952479	2973.787408777281
2006	Nord-ovest	47007	46512.23587291554	21722.39422294054	47438.54547788887	46984.0730602954	46339.3929947858	46512.23587144255	50285.99828234743	38595.77618181669
2006	Sud	461	450.5648382366855	646.015072606893	387.84092667148303	397.8281037958628	449.2728626572337	450.564838217478	508.80725096942433	369.99338197641333
2007	Centro	10061	8253.19702752675	5497.667307028345	7245.830623471628	8119.4238466535235	8283.051027857464	8253.197027204715	9737.333163741001	6283.470445270657
2007	Isole	191	217.8021257098001	369.00409801493885	263.35852137474507	258.78834881005633	217.7745764575923	217.80212569920306	265.37583867475445	188.59834153969172
2007	Nord-est	4035	3974.1458995687135	3690.6344320902786	4221.476298559817	3724.2129013474814	3986.088701173441	3974.1458994198215	4288.580985674497	3199.8631771583864
2007	Nord-ovest	51078	50278.25264875225	23481.219605544204	51279.56396986504	50788.293692166706	50091.41497621196	50278.25264716008	54357.57019384302	41720.810656063586
