Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	10634	10629.722256809415	10677.04953283295	10740.507360390919	10770.097312950787	10746.984095295347	10629.72225679297	10556.9636745432	10612.8773557542
2005	Isole	2732	2734.3435115527354	2777.9461246357055	2769.5552166589177	2776.3372519821705	2782.35314265426	2734.3435118508028	2707.8304360050606	2728.973151650278
2005	Nord-est	12459	12459.380149287736	12044.531867830337	12069.919252419797	12090.14671723308	12100.653393837105	12459.38014375302	12320.958484664443	12387.488639409674
2005	Nord-ovest	10461	10359.995121650441	10427.519965757181	10468.281322370149	10404.205112656819	10410.905151873889	10359.995121415159	10274.316804131306	10328.853745680346
2005	Sud	3196	3258.7156533716034	3281.45667002156	3257.1521223021564	3252.1070796212457	3245.578976675089	3258.7156530072084	3231.071517733486	3252.895499579448
2006	Centro	10840	10900.049259303258	10948.580126573539	11013.65176528236	11043.994226984632	11020.293211577207	10900.049259286394	10825.440336174473	10882.77597155086
2006	Isole	2831	2814.442399552665	2859.322292102201	2850.685583846327	2857.666289704378	2863.8584077418786	2814.442399859464	2787.152659383353	2808.914722233969
2006	Nord-est	13156	13169.335063768018	12730.848080171696	12757.68207753317	12779.062134841393	12790.16749826613	13169.335057917904	13023.025916790657	13093.347063524001
2006	Nord-ovest	10811	10708.172370896116	10777.9665804032	10820.097838918087	10753.868165020836	10760.793378207298	10708.172370652925	10619.614588612418	10675.984399971536
2006	Sud	3366	3328.596906318343	3351.8255907815796	3326.9998462387653	3321.846615565648	3315.178521266526	3328.5969059461336	3300.3599583453956	3322.651942729138
2007	Centro	11302	11190.482023792256	11240.306000259501	11307.111478464865	11338.262417709186	11313.92988667628	11190.48202377496	11113.885139390604	11172.748487779103
2007	Isole	2986	2936.347717568119	2983.171546712205	2974.1607463567057	2981.4438158970734	2987.904140567146	2936.3477178882094	2907.8759441639368	2930.5806133343335
