Year	Province	Immigrant Stock	Prediction step I	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	40603	40928.1837693507	40864.1058086768	38823.07831412303	39345.58193032718	40857.407916373035	40928.183764588204	40015.26819522412	40755.60288562109
2005	Isole	10282	10954.001273873317	12827.228123973446	12470.04717720687	12448.971827620264	10955.68142352964	10954.001272381318	11013.618965103507	8143.274237131924
2005	Nord-est	100272	100541.56654986406	88462.45334308884	98760.28915033404	97904.98707682519	100357.07343937848	100541.56654003012	96263.15620482696	95382.09587532454
2005	Nord-ovest	124411	122411.22723120595	108069.40700626832	119780.31967579108	120817.2347241936	122679.80627061805	122411.22721962433	116289.2286931597	119122.47044861208
2005	Sud	26401	27141.034936483487	27639.89233341129	25476.405234279147	25256.006506248097	27176.884660734802	27141.034933057723	26830.939420853538	29088.60611279812
2006	Centro	44076	44100.351420326675	44031.30705227112	41832.08828713805	42395.08891337759	44024.0900351164	44100.351415194986	43116.67968294994	43914.39453389848
2006	Isole	11167	11299.332164800438	13231.613517532094	12863.172245749578	12841.432484221834	11301.06528209511	11299.332163261426	11360.82933640616	8399.99541846683
2006	Nord-est	108400	107956.75583141226	94986.77814087104	106044.10481663336	105125.72209911224	107758.65589757671	107956.75582085304	103362.80213827296	102416.76142965077
2006	Nord-ovest	135738	135045.9634513575	119223.84505804483	132143.50545294702	133287.44620818732	135342.26401104205	135045.96343858048	128292.07976341179	131417.75598780776
2006	Sud	27903	28758.997642613245	29287.593502565585	26995.134112959655	26761.596721525806	28796.9844820114	28758.997638983263	28430.416355132613	30822.669680158288
2007	Centro	48045	47450.01791971326	47375.729248626216	45009.467610020794	45615.23125914143	47367.96405895564	47450.01791419188	46391.630853343355	47249.93657548068
2007	Isole	11803	12162.476943228528	14242.363352235981	13845.7772170882	13822.376776736903	12164.342451634571	12162.476941571907	12228.671822785935	9041.662738138672
2007	Nord-est	116193	115766.60084915909	101858.34454078923	113715.58417228298	112730.76349415848	115554.16990130418	115766.60083783598	110840.30976698086	109825.83025378421
2007	Nord-ovest	146429	145903.54643521618	128809.3429010714	142767.73323114452	144003.6458703361	146223.66931311533	145903.5464214119	138606.65612396173	141983.6341134732
2007	Sud	29021	30277.039162216857	30833.536914734086	28420.07022930113	28174.20558428974	30317.031134065088	30277.039158395262	29931.113736280528	32449.64197248106
2008	Centro	51562	51167.205558483154	51087.09718611935	48535.464942849496	49188.683519223	51078.72367914316	51167.20555252914	50025.90549244272	50951.450038936404
2008	Isole	12889	12790.17030946056	14977.397592168662	14560.344040117794	14535.735926260137	12792.132094904322	12790.170307718488	12859.781441066865	9508.29398002538
2008	Nord-est	123507	123140.07139537166	108345.96271259752	120958.42022680466	119910.87380386074	122914.11017777058	123140.07138332736	117900.0122494335	116820.91794444543
2008	Nord-ovest	156054	156005.92491412713	137728.11674447622	152652.9876400743	153974.47501376	156348.21313722365	156005.92489936703	148203.79707133587	151814.59740854544
2008	Sud	30668	31424.86970298287	32002.464799688365	29497.50136135897	29242.3157603939	31466.377807449844	31424.869699016395	31065.829924398324	33679.837893996955
2009	Centro	57322	56767.33701782715	56678.4609707128	53847.55852219636	54572.27035014476	56669.171002903335	56767.33701122149	55501.124318106165	56527.967559247525
2009	Isole	14363	14392.154428167474	16853.334542317476	16384.044534389086	16356.354224857945	14394.361929582865	14392.15442620718	14470.484437210127	10699.219165808885
2009	Nord-est	135569	135553.71758972213	119268.22735366729	133152.13601654195	131998.98732685228	135304.97741335354	135553.71757646365	129785.41252401109	128597.53563703595
2009	Nord-ovest	171993	172098.90813056033	151935.63016052046	168400.09448478132	169857.90151515446	172476.5055166425	172098.90811427767	163491.94218629558	167475.21907692216
2009	Sud	33955	34428.561813861525	35061.365344258375	32316.969284923227	32037.39220728152	34474.03739908828	34428.56180951593	34035.20383569114	36899.06726022941
2010	Centro	61523	61059.08337623919	60963.488087539954	57918.56264776316	58698.06442204142	60953.4957759601	61059.083369134234	59697.1419700387	60801.61701447304
