Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	14972	16261.997187766352	7138.941128541542	14781.112442547988	14894.85164856701	13634.54342518254	16261.997186145207	15189.500328948203	12684.370709213184
2005	Isole	256	261.3297264619355	658.8048177650038	504.8283432662537	485.08509647753215	479.12332429340944	261.3297264329067	368.24324133614857	360.3859615803212
2005	Nord-est	4512	4892.019328902136	4481.69300092487	3718.641646193818	3265.089135067885	3377.3667745897546	4892.019328466378	5274.845296746881	3659.637951042499
2005	Nord-ovest	33260	34174.39329911885	14402.965056309184	31654.426229032437	33188.35497964785	36271.085941823236	34174.39329649648	22836.105110231063	42474.20587108073
2005	Sud	984	989.4041118522304	1445.2106029116928	698.0081591546493	776.6942671623544	779.4537424089632	989.4041117368965	1315.405835678027	925.791452663342
2006	Centro	16409	17809.42609733138	7818.2552225261625	16187.62607337907	16312.188263408734	14931.953972069075	17809.426095555973	16634.874575387264	13891.36648645033
2006	Isole	269	277.97744485957105	700.7732429940975	536.9878691327667	515.9869008546324	509.6453406310242	277.977444828693	391.70176580863983	383.34394682018325
2006	Nord-est	5036	5231.538809710444	4792.7347157084705	3976.725516298071	3491.6952241693043	3611.7652380286304	5231.538809244443	5640.933943599694	3913.6268038140884
2006	Nord-ovest	37209	38672.35843125377	16298.654441504701	35820.718347511574	37556.53972501453	41045.01355607577	38672.35842828625	25841.74748230021	48064.57569421283
2006	Sud	1049	1061.6850605914688	1550.7905092968674	749.0011673370968	833.4356914583625	836.3967602565431	1061.6850604677093	1411.5028506802637	993.4251765700589
2007	Centro	19622	19138.00944283271	8401.497131769001	17395.22312264711	17529.077653162545	16045.87787139425	19138.009440924827	17875.836366889052	14927.66255007917
2007	Isole	272	292.3266353096941	736.9471445534574	564.7071727888041	542.6221349250521	535.9532234825508	292.3266352772222	411.92140355686473	403.1321541101794
2007	Nord-est	5476	5674.643935955531	5198.673656144382	4313.549446318547	3787.4376642794973	3917.677465764337	5674.64393545006	6118.714351647043	4245.106347798627
2007	Nord-ovest	40861	41997.92106030444	17700.229062582745	38901.05911581501	40786.14945279953	44574.608562121575	41997.92105708173	28063.96389688146	52197.80581499782
2007	Sud	1101	1124.7910634327363	1642.9686833321869	793.5214036562886	882.9746715810409	886.1117447546499	1124.7910633016206	1495.401839383997	1052.4738477271076
