Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	26477	28612.72936534282	19063.07097709176	26882.19372498856	26607.458162100487	29721.24507306224	28612.729365762392	29513.69221875502	24610.223508431573
2005	Isole	3957	3938.791307953399	5127.504624113139	4857.892105540005	4833.659688157866	4094.3231081163185	3938.791308023597	3945.5688471470153	3164.889469570809
2005	Nord-est	11807	12061.414694988653	12492.469049786365	10224.367606933301	11274.607590077596	12029.702244236287	12061.414695125346	11403.983497006804	11079.870807624173
2005	Nord-ovest	36056	34885.558275255695	26202.241679694056	34078.12307963391	34596.255223696	32557.743952569268	34885.55827563365	34328.426688046784	31568.692008615635
2005	Sud	4486	4723.550806113739	5978.720712369323	4618.258095464167	4292.514786692356	4603.462991191585	4723.550806196983	4566.858122125492	3843.923321781623
2006	Centro	28398	30419.94852473173	20267.120638579836	28580.109884117675	28288.02164694687	31598.479602180287	30419.948525177806	31377.817425441764	26164.638918209035
2006	Isole	4130	4261.682562177515	5547.843319330812	5256.128709666736	5229.909785503797	4429.964430597398	4261.682562253468	4269.015705352068	3424.3383843297393
2006	Nord-est	12825	13208.515418751485	13680.565193644903	11196.755985786027	12346.879032008323	13173.78695568794	13208.51541890118	12488.559233270238	12133.621809810102
2006	Nord-ovest	39656	39183.523103681495	29430.405961219003	38276.61040953055	38858.577385017285	36568.91778263778	39183.52310410601	38557.751882050354	35458.01282331721
2006	Sud	4842	5013.55055157305	6345.780908380183	4901.793454164353	4556.051318131773	4886.090012784963	5013.550551661405	4847.237808367242	4079.918832497622
2007	Centro	36272	32138.43153163816	21412.050334565545	30194.656770396727	29886.067891494433	33383.54015862004	32138.431532109433	33150.41233945336	27642.73107626213
2007	Isole	4267	4431.8288332981365	5769.33913460413	5465.977915334201	5438.712209269037	4606.829299828299	4431.828833377122	4439.454749796028	3561.0539652413354
2007	Nord-est	13652	14057.54714402513	14559.939862246138	11916.47358846107	13140.525530040111	14020.58636597567	14057.547144184446	13291.312809720828	12913.560321626197
2007	Nord-ovest	42028	42004.797777993976	31549.441015147546	41032.58595775237	41656.45546162803	39201.936802754295	42004.797778448985	41333.970054046025	38011.044956624035
2007	Sud	5340	5316.240265326396	6728.903126245611	5197.7359089688625	4831.119825997563	5181.084382968179	5316.240265420095	5139.886503063015	4326.241164514032
2008	Centro	37553	37386.82357527642	24908.762191934384	35125.61913544344	34766.63590499379	38835.26565382652	37386.82357582465	38564.06671130522	32156.949192422053
2008	Isole	4551	4558.816685348107	5934.651472243756	5622.5978618460485	5594.550895137011	4738.831545301002	4558.816685429347	4566.661111809351	3663.090982258409
2008	Nord-est	14593	14712.931043281085	15238.746062366683	12472.037432264744	13753.156508397566	14674.247098409605	14712.93104344783	13910.973716863358	13515.609842083366
2008	Nord-ovest	43638	43851.17879181653	32936.24185620768	42836.23200935008	43487.524590302404	40925.114050273325	43851.17879229153	43150.863875010524	39681.87484835213
2008	Sud	5593	5679.541596820967	7188.743040029666	5552.938887434998	5161.26898739686	5535.149429123971	5679.541596921069	5491.136167694015	4621.887918045039
2009	Centro	39883	40454.21988603929	26952.39783536827	38007.49526841796	37619.05931287955	42021.499176826735	40454.219886632425	41728.049757901696	34795.26124692487
