Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	22095	21666.085496311876	20212.70297806908	21669.519188250833	21613.29733046694	21749.96709541734	21666.085671508645	21543.613811715604	21088.70406180139
2005	Isole	2499	2693.1371788214947	2950.9237460146655	2912.7485794557765	2811.870752213306	2702.465496293108	2693.137203790785	2655.948514064074	2605.364401438831
2005	Nord-est	10236	10198.089986837773	9560.300593895765	9360.292499410725	10207.451417006154	10272.801466018163	10198.090065288274	10084.339120452392	10164.412942170453
2005	Nord-ovest	6627	6716.60567072926	7141.478167482138	6962.795629589544	6541.253490843171	6752.045210757563	6716.605708596912	6695.536073406505	6740.107653160135
2005	Sud	10442	10234.38443878689	9929.845473097424	9897.442885772793	9985.000923496817	10036.629241401046	10234.384500287137	10502.80834294594	10032.423824060532
2006	Centro	25899	25829.03426158408	24096.39700852465	25833.127707386742	25766.103311530955	25929.032976053302	25829.03447044337	25683.0307143328	25140.714036109453
2006	Isole	3092	3185.22140989406	3490.110184021078	3444.9597331618106	3325.649726362635	3196.25417746436	3185.221439425685	3141.237712322985	3081.4109794697665
2006	Nord-est	12771	12850.15783884692	12046.507902650535	11794.486633324894	12861.953759006115	12944.298437829753	12850.157937698872	12706.825451189596	12807.722898570899
2006	Nord-ovest	8132	8089.471001778896	8601.18687590176	8385.981863181478	7878.277067844522	8132.154336997563	8089.471047386645	8064.094806581914	8117.776758388579
2006	Sud	12336	12708.54101524212	12330.379929018281	12290.144034766116	12398.86917796208	12462.978612150177	12708.541091610017	13041.856244495033	12457.756537576173
2007	Centro	30865	29933.51976806157	27925.54955360901	29938.263702333854	29860.588476153334	30049.409253747683	29933.52001011059	29764.314832886943	29135.818744193028
2007	Isole	3845	3866.645656739195	4236.760227300863	4181.9506011403355	4037.11623635723	3880.0386983265093	3866.6456925886114	3813.252390998775	3740.62674054157
2007	Nord-est	15297	15711.212411396922	14728.631885123792	14420.498728767143	15725.634662822406	15826.313172469609	15711.212532258005	15535.967436497922	15659.329440876043
2007	Nord-ovest	9787	9750.63474427379	10367.430895755342	10108.0337764986	9496.072374305759	9802.083054218034	9750.634799247024	9720.047576026214	9784.753056064592
2007	Sud	14321	14827.342752237037	14386.133644576752	14339.189515089023	14466.041603146898	14540.839532603852	14827.342841337166	15216.229182453217	14534.74681987675
2008	Centro	35911	37233.65471038279	34735.984198763574	37239.555587126706	37142.937061354794	37377.80712306385	37233.65501146237	37023.18436875905	36241.41174280064
2008	Isole	5444	4988.375766894763	5465.8621255287935	5395.151997111629	5208.300576103228	5005.654185976885	4988.375813144255	4919.492890991553	4825.79823496217
2008	Nord-est	20164	19627.867731979146	18400.339257364583	18015.39144567197	19645.8853130521	19771.662014369853	19627.86788296978	19408.935857217115	19563.05083203148
2008	Nord-ovest	12039	12231.302926984132	13005.018769165516	12679.628184118805	11911.977104353116	12295.840249990635	12231.302995943179	12192.934048410947	12274.101310660197
2008	Sud	18889	18033.315615211577	17496.708131072628	17439.613726668587	17593.89381438364	17684.86457642784	18033.315723576998	18506.287195605055	17677.454495377136
2009	Centro	39246	38867.0550873796	36259.81445735471	38873.21482923823	38772.3577526808	39017.53131132898	38867.055401667145	38647.35163828819	37831.28348824281
2009	Isole	5859	6162.300920887426	6752.155167042845	6664.804672648875	6433.9811065112435	6183.645507341369	6162.3009780209095	6077.207690255374	5961.463670134869
2009	Nord-est	22727	22804.499959706816	21378.30464230725	20931.055737020873	22825.43355944688	22971.566334504234	22804.500135134218	22550.13550212211	22729.192900762468
2009	Nord-ovest	13044	13392.45880439669	14239.625913622904	13883.344981690241	13042.818381761812	13463.122857512693	13392.458879902213	13350.447448065335	13439.320172617074
2009	Sud	20946	20962.858705421997	20339.07841397143	20272.708925524028	20452.052078432822	20557.801196994686	20962.858831391568	21512.665331282034	20549.187335552033
2010	Centro	41370	40806.794508272345	38069.43423274196	40813.261664574435	40707.371110516906	40964.780554173645	40806.79483824512	40576.126311783744	39719.33062122315
2010	Isole	6452	6385.259315241577	6996.455095559993	6905.944170309731	6666.769169805968	6407.3761708178845	6385.2593744421965	6297.087323881072	6177.155565898764
