Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	87836	73686.62311270487	74431.91155883363	75377.83388075189	75448.46452378503	74605.83926955919	73686.62311337674	75562.14853239545	76566.6509397589
2005	Isole	2579	3023.40018014243	2972.1275995626997	2973.7353492588586	2981.7383048405204	3038.671447273344	3023.400180176931	2959.2745348522703	2994.368266343838
2005	Nord-est	63962	56740.045651856584	58030.13224535705	57211.591148034524	57375.698708272765	56773.365275914686	56740.045652410125	56638.26919029663	55795.28211411497
2005	Nord-ovest	88494	76859.78742186262	77982.7602903053	77672.4410378706	77101.02937216	77213.3736051638	76859.78742255169	77757.01646725023	77002.29745832781
2005	Sud	9510	9945.520396853166	9697.164298819089	9757.283691121664	9754.075781510275	9734.345970516708	9945.520396960368	9699.210928486833	9950.208519705782
2006	Centro	104547	114130.10882204953	115284.45472456687	116749.55399194155	116858.9508218548	115553.84403450874	114130.10882309017	117035.03119745011	118590.86269333867
2006	Isole	3309	4343.960687896185	4270.293273351401	4272.603255841305	4284.1017417718385	4365.902137958527	4343.960687945762	4251.826247984468	4302.248216929297
2006	Nord-est	76648	82796.98391040986	84679.52167889342	83485.07896587785	83724.55023997588	82845.60502703664	82796.98391121776	82648.46827293691	81418.3531649662
2006	Nord-ovest	105835	114555.42837686121	116229.15975597575	115766.6454023891	114914.98668278134	115082.42979144857	114555.42837788824	115892.7005850498	114767.83201240169
2006	Sud	11666	14901.328031623765	14529.217218133213	14619.293830519027	14614.487434120681	14584.926347934574	14901.328031784386	14532.28367406728	14908.352224797354
2007	Centro	120198	158170.0510925744	159769.83008397408	161800.27435821635	161951.8846769596	160143.1699620928	158170.0510940166	162195.91004670435	164352.0978374286
2007	Isole	4218	6453.76112296182	6344.314484242699	6347.746392645923	6364.829531008149	6486.359225837916	6453.761123035477	6316.878285130229	6391.789493195725
2007	Nord-est	88096	115467.99284152577	118093.36453151837	116427.60454700819	116761.56921646047	115535.79945091487	115467.99284265246	115260.87415489419	113545.36574174828
2007	Nord-ovest	120784	159464.16525733465	161794.04329993104	161150.21117115935	159964.6798634716	160197.7650688609	159464.1652587643	161325.683296437	159759.8366970822
2007	Sud	14273	21236.632247012585	20706.318406228394	20834.691118193034	20827.841280881363	20785.71228977236	21236.632247241494	20710.688566850036	21246.64277808361
2008	Centro	202773	204535.14008931984	206603.86939589615	209229.50681086187	209425.55933514782	207086.6480492792	204535.14009118482	209741.1169444507	212529.3576309037
2008	Isole	21966	9182.83352674483	9027.105689244976	9031.988833034373	9056.295839864319	9229.216240064332	9182.833526849634	8988.06767028886	9094.656237768577
2008	Nord-est	146485	149274.14601037148	152668.1611598451	150514.70812903615	150946.44933803548	149361.80470661563	149274.14601182804	149006.3881295174	146788.62156889637
2008	Nord-ovest	208610	204803.5557053728	207795.8725479289	206968.9838921797	205446.3783160446	205745.7350948486	204803.5557072089	207194.34684520424	205183.29344822658
2008	Sud	53873	29090.167025599534	28363.737428619977	28539.583748749472	28530.20076800295	28472.492023333543	29090.16702591309	28369.723721594004	29103.879558617136
2009	Centro	262106	231607.08493842394	233949.62795579297	236922.79055034713	237144.7922739867	234496.3064215648	231607.08494053574	237502.11658505065	240659.40436070657
2009	Isole	34265	29539.877325616297	29038.922886822296	29054.631270087826	29132.82347490329	29689.083957479583	29539.87732595344	28913.343098444322	29256.223452149283
2009	Nord-est	179561	166784.30625275907	170576.4462665896	168170.38882536054	168652.77415428867	166882.24749195453	166784.30625438647	166485.1398291317	164007.22475053498
2009	Nord-ovest	253610	237018.0609381932	240481.05323484863	239524.09941086615	237761.99611150552	238108.44011242368	237018.06094031813	239784.9107524916	237457.52939940355
2009	Sud	77073	69453.40088536183	67719.03456255543	68138.87144267448	68116.46937386852	67978.688501913	69453.40088611047	67733.32696608054	69486.13985354964
2010	Centro	294535	273795.75681141124	276565.00861765177	280079.7512815723	280342.1920007476	277211.267968087	273795.75681390776	280764.60515879444	284497.01255141356
2010	Isole	42492	41562.27434166276	40857.43709442834	40879.53861257445	40989.554163150264	41772.206390423155	41562.27434213712	40680.74774806443	41163.17653982836
2010	Nord-est	194320	187707.20787446323	191975.0675421853	189267.17293012128	189810.07295019593	187817.43573077774	187707.2078762948	187370.51136307933	184581.7446547265
2010	Nord-ovest	275822	264718.346776782	268586.0587648161	267517.2658077578	265549.22560689604	265936.1584963593	264718.3467791548	267808.55815443565	265209.1758893464
2010	Sud	91794	90195.45876407782	87943.12894068038	88488.34889428523	88459.25651223522	88280.32778021469	90195.45876505003	87961.68972930043	90237.97513069946
2011	Centro	320828	293185.6917568418	296151.0591384143	299914.7122763205	300195.73877831106	296843.08591384086	293185.69175951456	300648.0668033747	304644.79946303007
2011	Isole	50200	48759.283601169336	47932.3952805723	47958.32394324469	48087.390013762495	49005.56791704523	48759.28360172574	47725.11004209268	48291.07719975159
2011	Nord-est	208682	194110.0570748282	198523.49699048098	195723.23383781663	196284.65262975256	194224.04489512945	194110.05707672224	193761.87556500928	190877.98170149402
2011	Nord-ovest	293900	275010.43708822934	279028.5233950978	277918.1764098725	275873.6199881653	276275.5965959477	275010.43709069444	278220.79402801546	275520.34934185864
2011	Sud	107492	101927.52500820343	99382.22608132998	99998.36486722376	99965.48832843141	99763.28565595082	101927.5250093021	99403.20114229404	101975.57164027856
2012	Centro	255854	294435.259021659	297413.2648986027	301192.9588525837	301475.183098964	298108.2411153876	294435.2590243431	301929.4389612617	305943.20582974155
2012	Isole	44120	52791.79666247412	51896.52263751928	51924.59566457054	52064.33581757469	53058.44929894906	52791.796663076544	51672.09439836677	52284.86843641787
2012	Nord-est	189656	192389.71471108298	196764.0395609264	193988.59434610492	194545.0374425714	192502.69228967305	192389.7147129602	192044.61903520094	189186.28430479148
2012	Nord-ovest	259678	270605.4649734552	274559.19169337885	273466.62966046087	271454.8218650242	271850.35982354364	270605.46497588075	273764.4001092256	271107.2097215818
2012	Sud	97358	109458.2664075453	106724.91240918079	107386.57355875697	107351.26799295047	107134.12592076794	109458.26640872515	106747.43717676181	109509.86288311206
2013	Centro	281074	267669.5552244064	270376.8448037382	273812.9448241919	274069.5134116402	271008.6440503925	267669.555226847	274482.4750420617	278131.36952579464
2013	Isole	50661	52514.10902346798	51623.544187174455	51651.46954862046	51790.47466103857	52779.35905298988	52514.10902406733	51400.296452414696	52009.847266657685
2013	Nord-est	213912	197409.81900471353	201898.2849197035	199050.41886647814	199621.38146250308	197525.74455392745	197409.81900663942	197055.71860481662	194122.80016563504
2013	Nord-ovest	288292	270507.988199944	274460.29071905225	273368.1222458942	271357.03913845617	271752.4346173549	270507.9882023692	273665.7854325879	271009.55221092555
2013	Sud	113424	111958.97389848994	109163.17309694254	109839.9507018356	109803.83853735158	109581.73558990302	111958.97389969675	109186.2124702893	112011.74915842054
