Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	11915	12352.110381430683	11602.308277620396	11545.273003245698	11622.137023515494	11460.598562685735	12352.110381307853	12398.312504907371	11465.771518661239
2005	Isole	14329	14408.845237628193	13566.728480135813	13571.138020763141	15680.15942080683	15287.469349332367	14408.845237459342	14554.860037743221	14714.669780062608
2005	Nord-est	26400	25843.750616780562	24578.43663899666	24738.330121864976	24786.224372176326	24297.92979678264	25843.75061646669	26413.28034550759	26747.97187792645
2005	Nord-ovest	22158	22122.337604870812	20322.921031993526	20334.680583584202	19797.842629565945	22418.288169643467	22122.337604658453	22287.91029245289	21416.629733367998
2005	Sud	5890	5905.344331300078	7564.588466738573	7565.162067161913	6517.050446829911	6213.186070176692	5905.344331235973	5824.241648103852	6766.418965258318
2006	Centro	12893	13012.385689702793	12222.503324305735	12162.419260517145	12243.392004973455	12073.218594023552	13012.385689573397	13061.05752243394	12078.668067532975
2006	Isole	15009	14889.284865477168	14019.089087431601	14023.645657055567	16202.988962835107	15797.205276383995	14889.284865302712	15040.16829281879	15205.306632389429
2006	Nord-est	28274	28202.532684527123	26821.732376406595	26996.21947943992	27048.485080506733	26515.6234256169	28202.532684184607	28824.043897330906	29189.28302311587
2006	Nord-ovest	24044	23983.911777575715	22033.0759705363	22045.825077476635	21463.812707988465	24304.76630763533	23983.911777345482	24163.417253112362	23218.819243813025
2006	Sud	5967	6067.4383404540185	7772.226565955621	7772.815910963368	6695.9349920013265	6383.729934045288	6067.438340388155	5984.109494254437	6952.148351414624
2007	Centro	14398	13979.529166315873	13130.93892096487	13066.389118784626	13153.380149468521	12970.55862707942	13979.529166176859	14031.818525198147	12976.413131832252
2007	Isole	15136	15618.577169083957	14705.758317513133	14710.53807254779	16996.627828152246	16570.968444370385	15618.577168900958	15776.851020028611	15950.078003289458
2007	Nord-est	30284	30070.28907962121	28598.043133100495	28784.085914703403	28839.812886127547	28271.66164307364	30070.289079256003	30732.960834824567	31122.388487241315
2007	Nord-ovest	25925	25819.53546704318	23719.391221293947	23733.11608910837	23106.559038881573	26164.94679925052	25819.53546679533	26012.779506427963	24995.88609765526
2007	Sud	5970	6210.586593028273	7955.595656682038	7956.198906026899	6853.911281115786	6534.340411431052	6210.586592960854	6125.291780624639	7116.169447682977
2008	Centro	15319	15243.573000327564	14318.252326184798	14247.86586252176	14342.722714338977	14143.370276255131	15243.57300017598	15300.590418423624	14149.754151528672
2008	Isole	15290	15802.463346313925	14878.897371794497	14883.733401537887	17196.738560601454	16766.06765265585	15802.46334612877	15962.600643146805	16137.867123821567
2008	Nord-est	32140	31800.133745840638	30243.194340231166	30439.93955015434	30498.872310655788	29898.037198324786	31800.133745454426	32500.92682399362	32912.75696631087
2008	Nord-ovest	27606	27438.37117340741	25206.551882695658	25221.137273586166	24555.296289445214	27805.43913838701	27438.371173144016	27643.731246072395	26563.08055701133
2008	Sud	6170	6247.265674188346	8002.5805806336375	8003.1873927066345	6894.389771251688	6572.931549109987	6247.26567412053	6161.467119457024	7158.19680738737
2009	Centro	16533	16427.75963410196	15430.556050732372	15354.701662359908	15456.92740439998	15242.08840731949	16427.7596339386	16489.206411666448	15248.96820961555
2009	Isole	15829	16393.680860110337	15435.56151455521	15440.578474664917	17840.120088809632	17393.3364914763	16393.680859918226	16559.809373149466	16741.633098140228
2009	Nord-est	34714	34207.10023478997	32532.315382221746	32743.952325963754	32807.34573373046	32161.033140319552	34207.10023437452	34960.93665761192	35403.93840944564
2009	Nord-ovest	29695	29587.724431259267	27181.078142504874	27196.806063220785	26478.807191156022	29983.54624322917	29587.72443097524	29809.171149098107	28643.868930817152
2009	Sud	6426	6590.517682941223	8442.277241983988	8442.917394957445	7273.197598792144	6934.077060649355	6590.51768286968	6500.004981606323	7551.499343461021
2010	Centro	17141	17127.384590192778	16087.712129217975	16008.627256329277	16115.206585339181	15891.218031213371	17127.384590022462	17191.448261357702	15898.390830332279
2010	Isole	16517	16577.565836587055	15608.699438260695	15613.772672711666	18040.22951456132	17588.434425788888	16577.56583639282	16745.55778334638	16929.420992433366
2010	Nord-est	35723	35684.26407833072	33937.157058348625	34157.93311178159	34224.064034544506	33549.84175021977	35684.26407789734	36470.653389298575	36932.785268092564
2010	Nord-ovest	30818	30772.741616471176	28269.706799510557	28286.06463877189	27539.309212470038	31184.41647758502	30772.741616175776	31003.05749107324	29791.083783815942
2010	Sud	6651	6693.902859252808	8574.710893348425	8575.361088374922	7387.2919465012055	7042.851638605348	6693.902859180156	6601.97028894311	7669.959399043806
2011	Centro	17594	17561.428453332504	16495.408510698428	16414.31946119048	16523.599734028132	16293.934839955618	17561.428453157874	17627.115632346682	16301.289412854563
2011	Isole	17468	17078.1153627346	16079.994632296784	16085.221049978996	18584.943281595595	18119.50651467635	17078.115362534496	17251.179724236586	17440.594571187128
2011	Nord-est	36113	36388.67664167102	34607.08147499004	34832.215679830566	34899.65203662798	34212.12050634206	36388.67664122908	37190.58939202119	37661.843821321694
2011	Nord-ovest	31330	31575.882390795818	29007.520624871406	29024.30538896953	28258.060320217628	31998.301594121538	31575.88239049271	31812.20930179407	30568.604174956447
2011	Sud	6946	6854.981094259807	8781.047812995615	8781.713653941895	7565.055498384681	7212.326776684844	6854.981094185381	6760.836311362524	7854.52489820779
2012	Centro	13549	13771.763059911276	12935.784705069027	12872.19425287179	12957.892408271957	12777.788010002118	13771.763059774328	13823.275285574533	12783.555504123695
2012	Isole	14649	13689.90543213655	12889.806702310381	12893.996225703251	14897.78647015333	14524.689955202539	13689.905431976147	13828.634717676165	13980.470636752678
2012	Nord-est	27716	28219.008100070703	26837.40115308862	27011.99018836901	27064.286322065847	26531.113378920814	28219.008099727987	28840.88238861703	29206.334880571525
2012	Nord-ovest	24242	24587.949843672235	22587.98197264409	22601.05216756924	22004.381737737527	24916.885138522553	24587.949843436203	24771.97618891948	23803.588350835445
2012	Sud	5548	5444.47110352211	6974.222163287078	6974.750997975576	6008.437585916327	5728.287822369179	5444.471103463008	5369.697950542773	6238.34453402018
2013	Centro	14718	14454.160542353035	13576.759058007437	13510.01766832326	13599.962208535613	13410.93355071953	14454.160542209302	14508.225223570043	13416.986826948412
2013	Isole	15455	15296.091146592562	14402.119807026924	14406.800871625639	16645.688376707425	16228.817834580308	15296.09114641334	15451.097023502001	15620.747286539568
2013	Nord-est	28620	29543.492692567517	28097.03877762415	28279.82230671622	28334.573006607698	27776.37511057178	29543.49269220871	30194.555211640178	30577.160545862087
2013	Nord-ovest	25964	25896.54268163598	23790.13471906602	23803.90052153794	23175.474753987273	26242.98420916252	25896.54268138739	26090.363074736677	25070.436763646765
2013	Sud	6301	5869.493014804591	7518.663887228147	7519.234005326142	6477.485465504781	6175.4658479931	5869.493014740877	5788.882705600597	6725.34006887987
2014	Centro	16109	16154.084148225618	15173.493309458756	15098.902604452502	15199.42533401585	14988.165410906538	16154.084148064981	16214.507263581743	14994.930600298707
2014	Isole	18343	16732.529179952435	15754.606037237909	15759.726695139369	18208.86550781944	17752.84714054144	16732.52917975635	16902.091477509	17087.673398370855
2014	Nord-est	31151	31812.664047968156	30255.111156852487	30451.933890881184	30510.889872835098	29909.818011641764	31812.664047581733	32513.733261720645	32925.725678704715
2014	Nord-ovest	27511	28643.445896220837	26313.606610221217	26328.83258162481	25633.748311345247	29026.63523820769	28643.445895945875	28857.82524452284	27729.713107355095
2014	Sud	7011	6777.673229958656	8682.018502277686	8682.676834123546	7479.739685568008	7130.988903964186	6777.673229885082	6684.590176043684	7765.9445598186685
2015	Centro	16193	15855.517652428427	14893.050501012396	14819.838412411033	14918.503239115991	14711.147909691246	15855.517652270759	15914.824002658688	14717.788062041904
2015	Isole	18610	17429.513356008654	16410.85536989177	16416.189325943793	18967.345650683415	18492.3320925072	17429.513355804436	17606.138676553684	17799.450908883173
2015	Nord-est	30124	31097.364141252096	29574.832442830022	29767.229666216856	29824.860037453967	29237.30312884659	31097.364140874422	31782.6699866038	32185.39885568154
2015	Nord-ovest	26539	27452.634537015427	25219.65507357154	25234.248046425724	24568.060936343	27819.89331594027	27452.634536751895	27658.10136256922	26576.888915901895
2015	Sud	7142	6733.297413770576	8625.17426619153	8625.828287706692	7430.767192772931	7084.29980549262	6733.2974136974835	6640.823807427153	7715.098182806859
2016	Centro	15873	15997.116254109442	15026.053735087513	14952.187821767251	15051.733780315542	14842.52665233453	15997.116253950366	16056.952243071626	14849.226104943205
2016	Isole	19746	17704.981566462295	16670.223997599278	16675.642255220584	19267.118837503243	18784.597833069678	17704.98156625485	17884.398397015524	18080.765870969433
2016	Nord-est	29159	30495.746807800708	29002.670385920428	29191.345444818606	29247.86088457427	28671.670997911315	30495.74680743034	31167.794555990073	31562.732132300425
2016	Nord-ovest	25944	26873.22578002353	24687.375048561924	24701.660025611476	24049.53330178632	27232.73328275285	26873.225779765562	27074.356071761722	26015.963437120925
2016	Sud	7283	6860.137382229524	8787.652880256497	8788.319222045553	7570.74590133697	7217.75185857508	6860.137382155055	6765.92178402222	7860.433038826075
