Year	Province	Immigrant Stock	Prediction step I	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2012	Centro	56205	57473.832848992686	37160.000561145425	48466.22620014854	47360.030204385854	50874.63520566987	57473.750146506994	58340.197071219874	53940.73502907826
2012	Isole	8548	8304.875794448533	14670.79361345282	13600.167775179709	13595.49840261895	13631.422237685041	8304.870322823173	7932.227476671684	7979.3510095078855
2012	Nord-est	54453	53767.49750232186	41995.670932327375	42517.16423759554	46835.76293058899	46449.19704642053	53767.45412983181	52374.84334836531	49730.796751684786
2012	Nord-ovest	62419	62766.00523180105	50885.62025308409	65765.27446550239	63914.5039144859	59031.23449491271	62765.93116437882	63748.12932420076	61106.26705044676
2012	Sud	17439	19112.629818104484	21315.66213962997	15305.445883468925	14750.3900692152	14676.030515158523	19112.61411355067	17604.269374339437	18986.487452053105
2013	Centro	65575	64348.03696747511	41604.55238999935	54263.06826265259	53024.5648029018	56959.53696915538	64347.94437329194	65318.023381042745	60392.36013410827
2013	Isole	8932	9026.239820160186	15945.103188131761	14781.482465426561	14776.407509751602	14815.451700007035	9026.233873267793	8621.22315668624	8672.439853850701
2013	Nord-est	60329	58635.952642332064	45798.22915999712	46366.94182418011	51076.57422677921	50655.00618046528	58635.90534261773	57117.19862155926	54233.7430353962
2013	Nord-ovest	70952	70298.35117496927	56992.239494875714	73657.55304037954	71584.67748203943	66115.38264208018	70298.26821895447	71398.33681353152	68439.43316512529
2013	Sud	19819	20221.19592272184	22552.007988963895	16193.18863179531	15605.938605248044	15527.266066428583	20221.179307276318	18625.3479234808	20087.73707784512
2014	Centro	78326	75402.0637644145	48751.58994805545	63584.64882559496	62133.38906312887	66744.33037810677	75401.95526394063	76538.67928297975	70766.86103131954
2014	Isole	9976	10161.946898405196	17951.361266236643	16641.330486021423	16635.61698503893	16679.573825979613	10161.940203257947	9705.969890349314	9763.630817520174
2014	Nord-est	67066	67431.11542156395	52667.783798595025	53321.80113048949	58737.85991050024	58253.05831168533	67431.06102707809	65684.55425803372	62368.591650083465
2014	Nord-ovest	80494	81599.23188136143	66154.08310794541	85498.44555238583	83092.34284131076	76743.82612059034	81599.13558967074	82876.04679503992	79441.4816752983
2014	Sud	23366	23470.154408957365	26175.46023270899	18794.963414332622	18113.35937605508	18022.046446745953	23470.13512389265	21617.900017152268	23315.25260648889
2015	Centro	76165	79559.99755102268	51439.92330228847	67090.92897845095	65559.64167166794	70424.84643414915	79559.8830674528	80759.29002869318	74669.19351088737
2015	Isole	10864	10464.169591497817	18485.246042530052	17136.254122841354	17130.370698745584	17175.634843786727	10464.162697232676	9994.631540391749	10054.007339808057
2015	Nord-est	68135	69318.77384851614	54142.159319372986	54814.48513274832	60382.16040216507	59883.78732647818	69318.71793131754	67523.31966463586	64114.530403571305
2015	Nord-ovest	87180	84504.2951864734	68509.27438719233	88542.32710729416	86050.56328724626	79476.02920653332	84504.19546664435	85826.56675541248	82269.72561825813
2015	Sud	25900	24647.41295467902	27488.416411446073	19737.715256118732	19021.922087046445	18926.028918319593	24647.392702279118	22702.249829782213	24484.741306834792
2016	Centro	80362	79641.90944624715	51492.8838570597	67160.00320311367	65627.13934216648	70497.35313123162	79641.79484480942	80842.43666905102	74746.0700235021
2016	Isole	10514	10914.480872198528	19280.733419401622	17873.68947048133	17867.552861245902	17914.764887095458	10914.47368124808	10424.7368908194	10486.66784686271
2016	Nord-est	69210	70501.85494892878	55066.21728909799	55750.017857708546	61412.71805354544	60905.83911813149	70501.7980773773	68675.75729296055	65208.78936072002
2016	Nord-ovest	86115	87965.68408344056	71315.48963553927	92169.11823411804	89575.28902672451	82731.4547971908	87965.5802789776	89342.1173505204	85639.58408738293
2016	Sud	27656	25873.66125006592	28856.009181908503	20719.698222531966	19968.293196140643	19867.629188587587	25873.639990076623	23831.72314231229	25702.89642703756
