Year	Province	Immigrant Stock	Prediction step I	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2012	Centro	13549	13815.26535567033	12349.905028628382	11752.492833387525	15206.446217417686	13779.070175817298	13815.265354257588	11524.18195457069	13089.029269882658
2012	Isole	14649	15078.32388300168	12358.321622502837	12203.404424790313	12724.422105141635	15040.588702060633	15078.323881750173	14982.293103827275	13733.775510689486
2012	Nord-est	27716	27045.792968851176	25677.374685765542	27985.363617912015	28014.757609159085	26882.130422523394	27045.79296131198	26140.371529425087	23787.46212201447
2012	Nord-ovest	24242	23820.480807231066	20918.144807613073	21669.939402672164	24190.437688972557	24078.539949374484	23820.480802568567	13772.402108829066	23609.807086714194
2012	Sud	5548	5838.531902513125	9628.41170801029	9423.7733317149	6104.72629433438	5843.8939646890585	5838.5319011515985	4314.5866674834515	5030.499157103821
2013	Centro	14718	14576.796135989818	13030.661609931625	12400.318612168921	16044.662245536456	14538.605790438025	14576.796134499229	12159.42268650538	13810.528163816478
2013	Isole	15455	16484.34840269743	13510.711195664495	13341.34826909003	13910.94983976317	16443.094489165847	16484.348401329255	16379.362939221748	15014.423496888754
2013	Nord-est	28620	28496.275779212232	27054.46836683446	29486.23619044984	29517.2065998512	28323.835908055345	28496.27577126876	27542.296021103048	25063.19860901023
2013	Nord-ovest	25964	25183.343837853135	22114.953824954177	22909.76153416991	25574.46740221241	25456.16755454009	25183.343832923874	14560.375190853787	24960.616648410105
2013	Sud	6301	6254.752610407128	10314.807604087855	10095.580846455148	6539.92362512798	6260.496926435898	6254.752608948541	4622.16746810166	5389.116349780054
2014	Centro	16109	16176.856061034132	14461.006059037774	13761.47182334164	17805.84631029604	16134.473652914477	16176.856059379923	13494.13333010945	15326.476692729486
2014	Isole	18343	18072.727782183552	14812.560352278637	14626.878152800653	15251.364719063433	18027.498772762432	18072.727780683508	17957.626253379876	16461.16558791536
2014	Nord-est	31151	30964.095904154947	29397.425812312475	32039.78836840464	32073.44086160491	30776.72248211306	30964.09589552356	29927.50007143691	27233.709113680216
2014	Nord-ovest	27511	27783.658401605575	24398.44075496643	25275.316599175017	28215.16755999795	28084.65262211471	27783.658396167393	16063.81158541104	27537.933441962523
2014	Sud	7011	7071.177256522346	11661.185897915486	11413.343759440802	7393.5712693819905	7077.671370580403	7071.177254873372	5225.492919079745	6092.55063132498
2015	Centro	16193	15901.16774420381	14214.559505699624	13526.94683345665	17502.396506421628	15859.50762320306	15901.167742577763	13264.164361428127	15065.280663883344
2015	Isole	18610	18374.1843184543	15059.636675837377	14870.857261961164	15505.760382906921	18328.200880554938	18374.18431692927	18257.162874261525	16735.740960317344
2015	Nord-est	30124	30365.93780016797	28829.532322367795	31420.850256279136	31453.852657463558	30182.18401976559	30365.93779170332	29349.366714816002	26707.613862638595
2015	Nord-ovest	26539	26943.833700916995	23660.94200990826	24511.312273650896	27362.299506826614	27235.729681824436	26943.833695643145	15578.246093580203	26705.53634089747
2015	Sud	7142	6998.4867717814095	11541.310914610318	11296.01655064777	7317.5666296959735	7004.914127465065	6998.4867701493995	5171.775751553238	6029.920259799331
2016	Centro	15873	15939.198972840692	14248.556830376014	13559.299577359328	17544.257434746953	15897.439212265523	15939.198971210757	13295.888601787176	15101.312680061263
2016	Isole	19746	18489.208399938732	15153.911384641035	14963.950194294777	15602.827867092888	18442.937101494554	18489.208398404124	18371.454390757004	16840.508235890415
2016	Nord-est	29159	29951.68004871876	28436.234499201975	30992.201193587698	31024.753369898543	29770.433071445346	29951.680040369585	28948.97721452299	26343.263644373666
2016	Nord-ovest	25944	26549.201978301742	23314.393021827476	24152.308373408472	26961.53874245454	26836.82271704993	26549.201973105133	15350.0799699515	26314.39483050375
2016	Sud	7283	7054.217792562047	11633.217788109212	11385.970072552074	7375.838577790173	7060.696331180637	7054.217790917028	5212.960132017422	6077.938298878788
