Year	Country	Predicted
2005	ALB	324970.1376725752
2005	CHN	116054.94648980442
2005	ECU	53460.20876561242
2005	EGY	55296.14489616174
2005	MAR	302017.2554585738
2005	PER	56689.49025776959
2005	PHL	84320.27245912282
2005	ROU	225441.2061310187
2005	TUN	80692.0
2006	ALB	357866.3482338106
2006	CHN	131800.15154512413
2006	ECU	63381.65910649035
2006	EGY	59150.61738315434
2006	MAR	327196.53976731
2006	PER	63165.89976854005
2006	PHL	92225.14939747052
2006	ROU	338546.1685171984
2006	TUN	86187.00000000001
2007	ALB	386032.1629103827
2007	CHN	143354.96589123085
2007	ECU	71180.75408657288
2007	EGY	63584.600950761
2007	MAR	351599.3840444251
2007	PER	68351.52850423846
2007	PHL	98109.25912754377
2007	ROU	471508.43658903986
2007	TUN	91713.0
2008	ALB	412730.4552774825
2008	CHN	156600.3700075848
2008	ECU	78025.84008117749
2008	EGY	70715.11184548179
2008	MAR	374582.11831287853
2008	PER	74774.55838091346
2008	PHL	106319.40815007174
2008	ROU	610297.8963218667
2008	TUN	96525.00000000006
2009	ALB	453522.03988529835
2009	CHN	173375.22811719123
2009	ECU	80868.26223567776
2009	EGY	72489.24241079565
2009	MAR	413298.8914006052
2009	PER	80003.11374349333
2009	PHL	115538.02742773248
2009	ROU	742632.1622815356
2009	TUN	103197.00000000004
2010	ALB	479514.08388133533
2010	CHN	188438.1062539965
2010	ECU	83927.25802473942
2010	EGY	82670.57155349792
2010	MAR	441646.7386188151
2010	PER	84423.89450805512
2010	PHL	123034.00128565356
2010	ROU	865471.2288476955
2010	TUN	106850.00000000006
2011	ALB	495829.7183088269
2011	CHN	201988.77772742696
2011	ECU	86453.30494741435
2011	EGY	84521.0205853231
2011	MAR	462932.8534737134
2011	PER	90326.83638891077
2011	PHL	129823.05273842253
2011	ROU	919704.895166805
2011	TUN	109451.0
2012	ALB	463423.78703668574
2012	CHN	206640.57216514926
2012	ECU	88253.36249241578
2012	EGY	78323.13570191199
2012	MAR	418470.7616536934
2012	PER	96177.184828175
2012	PHL	132030.16554657836
2012	ROU	925275.0207074191
2012	TUN	85704.00000000006
2013	ALB	477937.54702190356
2013	CHN	223214.63532928564
2013	ECU	85222.68594710962
2013	EGY	74890.79933587089
2013	MAR	436894.62922784174
2013	PER	98883.74821158987
2013	PHL	140794.16615309054
2013	ROU	904964.115027247
2013	TUN	91058.00000000004
2014	ALB	509244.2499963031
2014	CHN	257005.63587123156
2014	ECU	85016.7706354218
2014	EGY	94509.13026855537
2014	MAR	465137.59442358534
2014	PER	106692.48943975609
2014	PHL	161694.1954080076
2014	ROU	1063169.5271308478
2014	TUN	100125.00000000012
2015	ALB	503899.4868930471
2015	CHN	269927.4241541717
2015	ECU	88590.34263563347
2015	EGY	105201.98378089536
2015	MAR	459064.3553950591
2015	PER	111346.34964768775
2015	PHL	167232.5107990913
2015	ROU	1159690.1661224775
2015	TUN	98608.00000000003
2016	ALB	480505.98288235115
2016	CHN	276794.1864477983
2016	ECU	90706.55104173475
2016	EGY	108679.64128759131
2016	MAR	447050.8782235051
2016	PER	112698.90632087016
2016	PHL	169363.79150721384
2016	ROU	1200830.1771568656
2016	TUN	98004.99999999994
