Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2005	Centro	40603	40928.1837693507	40752.01063142272	40843.67866141463
2005	Isole	10282	10954.001273873317	10957.912550566803	10962.437981068122
2005	Nord-est	100272	100541.56654986406	100858.50136396848	100507.49031163169
2005	Nord-ovest	124411	122411.22723120595	122231.45069464913	122575.84918424195
2005	Sud	26401	27141.034936483487	27201.0959269481	27150.28322023138
2006	Centro	44076	44100.351420326675	43910.523859513596	44009.29668460239
2006	Isole	11167	11299.332164800438	11303.366746634365	11308.034843811338
2006	Nord-est	108400	107956.75583141226	108297.0653721811	107920.1663863027
2006	Nord-ovest	135738	135045.9634513575	134847.63118940406	135227.5769418505
2006	Sud	27903	28758.997642613245	28822.639058175588	28768.7972457281
2007	Centro	48045	47450.01791971326	47245.77190188937	47352.04707134944
2007	Isole	11803	12162.476943228528	12166.819722767597	12171.84441125853
2007	Nord-est	116193	115766.60084915909	116131.52918058161	115727.36443773982
2007	Nord-ovest	146429	145903.54643521618	145689.26842458945	146099.76149908183
2007	Sud	29021	30277.039162216857	30344.039885095488	30287.356036642374
2008	Centro	51562	51167.205558483154	50946.95910892059	51061.55977041512
2008	Isole	12889	12790.17030946056	12794.73721554233	12800.021223220288
2008	Nord-est	123507	123140.07139537166	123528.24294447084	123098.3359166755
2008	Nord-ovest	156054	156005.92491412713	155776.81026918994	156215.72593177433
2008	Sud	30668	31424.86970298287	31494.41048519694	31435.577699654048
2009	Centro	57322	56767.33701782715	56522.985107402674	56650.12854434667
2009	Isole	14363	14392.154428167474	14397.293344694555	14403.239180649884
2009	Nord-est	135569	135553.71758972213	135981.0203835788	135507.7747928036
2009	Nord-ovest	171993	172098.90813056033	171846.1588824012	172330.3514304327
2009	Sud	33955	34428.561813861525	34504.74953211368	34440.293315973795
2010	Centro	61523	61059.08337623919	60796.25787736003	60933.01366202309
2010	Isole	15600	15510.280336207956	15515.818494956682	15522.226262672111
2010	Nord-est	143942	144300.2438274928	144755.11809016936	144251.3365978326
2010	Nord-ovest	183355	183811.34596076683	183541.39550030572	184058.54046609666
2010	Sud	37312	36908.549786686206	36990.22552462282	36921.12634251576
2011	Centro	64389	64208.61120097283	63932.22873110757	64076.03860379772
2011	Isole	17204	16468.95732384067	16474.83779138274	16481.641617668207
2011	Nord-est	149034	150415.5313117809	150889.6826512776	150364.55144688804
2011	Nord-ovest	190937	192232.39069884876	191950.07285762165	192490.91005454358
2011	Sud	41416	39563.72618250744	39651.27761842553	39577.2074873551
2012	Centro	56317	57973.3181738595	57723.77518323128	57853.619690845895
2012	Isole	15926	15516.944614276716	15522.485152597512	15528.895673528572
2012	Nord-est	135986	134623.385261458	135047.75539061034	134577.7577791612
2012	Nord-ovest	171434	172857.91339222333	172604.04944780396	173090.37742304796
2012	Sud	38771	37473.8950325102	37556.82183531955	37486.664229234295
2013	Centro	58771	58931.75410998616	58678.08558407101	58810.07672820957
2013	Isole	16920	16519.418041073783	16525.31652630841	16532.141199448237
2013	Nord-est	140726	141646.50187039148	142093.0108047494	141598.49406518065
2013	Nord-ovest	178240	179504.04640674446	179240.42176633474	179745.4483382971
2013	Sud	42231	40260.13415832139	40349.226690697025	40273.85276357332
2014	Centro	63823	62715.565839105824	62445.6101016837	62586.075957747504
2014	Isole	18648	17838.01019776169	17844.37950444701	17851.74892804059
2014	Nord-est	145951	149715.12858824787	150187.07206472263	149664.38610865627
2014	Nord-ovest	187904	190451.82858738714	190172.12572925238	190707.95339464943
2014	Sud	48860	44365.38551509747	44463.562648085106	44380.50298113318
2015	Centro	63928	62897.631452507485	62626.89202356847	62767.76565722153
2015	Isole	18885	18106.316760453206	18112.78186968402	18120.26213886472
2015	Nord-est	141210	144629.7395420752	145085.65246633827	144580.72063746423
2015	Nord-ovest	182841	186447.13035301215	186173.30890620555	186697.8695329952
2015	Sud	52193	46848.71395726764	46952.38650213749	46864.67761528269
2016	Centro	62270	61999.495635480685	61732.62218325011	61871.48423628977
2016	Isole	19230	18008.10227450924	18014.532314908105	18021.972008702796
2016	Nord-est	134259	138597.25783195684	139034.15470609287	138550.28349747704
2016	Nord-ovest	177573	179502.73181610845	179239.10910634315	179744.1319797638
2016	Sud	53657	48663.31781938425	48771.00594087137	48679.89980206695
