Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2005	Centro	84448	84690.8883488139	84585.46165043456	84596.20199158548
2005	Isole	5816	5799.525493218324	5800.67971200168	5798.289257337509
2005	Nord-est	90814	90802.59128796755	90794.25452793445	90809.15389954828
2005	Nord-ovest	105198	105440.82645289903	105600.24671121498	105516.75592937469
2005	Sud	38675	37890.845329157906	37880.43039954604	37915.733627430636
2006	Centro	93671	93115.04563567319	92999.13220009329	93010.94087722401
2006	Isole	5904	6071.917570777869	6073.126000901914	6070.623271377846
2006	Nord-est	100415	100752.5298327758	100743.2795498043	100759.81156019888
2006	Nord-ovest	117788	117798.40793817867	117976.51212471121	117883.23628925774
2006	Sud	40123	39941.66755225694	39930.68892001672	39967.90291668106
2007	Centro	101418	100960.4438062338	100834.76409658705	100847.56771254113
2007	Isole	6039	6173.312969520331	6174.541579308025	6171.997056519295
2007	Nord-est	109449	108991.59273003174	108981.58600289623	108999.46992250507
2007	Nord-ovest	128248	128596.89303982566	128791.32389357277	128689.49753747035
2007	Sud	40798	41254.47092912343	41243.131451020694	41281.56859793091
2008	Centro	108886	108257.2112301309	108122.44820451779	108136.17718296315
2008	Isole	6296	6351.889232599027	6353.15338254899	6350.535254003809
2008	Nord-est	117831	117437.23658320062	117426.45444530701	117445.7241710313
2008	Nord-ovest	138091	138454.40575441526	138663.7405810937	138554.10879069008
2008	Sud	41697	42265.69372428925	42254.07629476732	42293.455606690484
2009	Centro	119856	119285.03108822917	119136.54017924362	119151.6676853197
2009	Isole	6842	6851.2959309469725	6852.6594725786235	6849.835498042633
2009	Nord-est	130310	129657.96363142469	129646.05948514599	129667.33445269302
2009	Nord-ovest	152028	152879.33597970396	153110.48044293464	152989.4266185522
2009	Sud	44421	44935.68880978687	44923.33748766806	44965.20445707504
2010	Centro	127050	126309.6749956123	126152.43952119729	126168.45787956574
2010	Isole	7169	7187.553936902746	7188.984400441539	7186.021826718488
2010	Nord-est	137305	137760.13845637877	137747.49043389232	137770.0948493316
2010	Nord-ovest	161367	161901.4006757702	162146.18596421796	162017.98823494944
2010	Sud	46715	46465.71283490102	46452.94096020835	46496.233466215555
2011	Centro	130673	130818.51235729305	130655.6640968294	130672.2542575771
2011	Isole	7694	7381.695156232484	7383.164257663663	7380.121662603729
2011	Nord-est	140854	142057.61217458692	142044.56959279737	142067.87916055685
2011	Nord-ovest	168298	167842.30730159153	168096.07488751155	167963.17299425157
2011	Sud	48340	47847.96193361843	47834.81012475051	47879.39048418251
2012	Centro	120104	121807.18617140444	121655.55558011771	121671.00294121665
2012	Isole	7100	7088.827502861994	7090.238317913215	7087.316437358079
2012	Nord-est	132501	132022.89365200524	132010.77237696626	132032.43539479596
2012	Nord-ovest	159504	157869.58298296272	158108.2724028585	157983.26717143675
2012	Sud	44199	44748.9260596034	44736.62607233554	44778.31903327496
2013	Centro	123023	124112.49364382087	123957.99331105067	123973.73302696127
2013	Isole	7368	7243.958384538723	7245.400073663644	7242.414251094604
2013	Nord-est	136653	136806.50503907527	136793.9445715016	136816.3925097031
2013	Nord-ovest	165074	164478.63427545672	164727.31618782197	164597.07773812767
2013	Sud	45787	45423.50820189942	45411.022794499906	45453.34426944825
2014	Centro	132042	131592.13323702212	131428.3219414937	131445.01021140438
2014	Isole	8057	7753.542679133495	7755.085785480431	7751.889921907996
2014	Nord-est	142789	145773.1913312459	145759.80761500885	145783.72685473727
2014	Nord-ovest	177286	175701.0067862082	175966.65625833883	175827.53164294842
2014	Sud	49127	48557.03861408232	48543.691903684776	48588.932915984704
2015	Centro	131643	130885.79180673322	130722.8597940459	130739.45848704841
2015	Isole	8682	7817.003229752548	7818.558965987831	7815.336945177306
2015	Nord-est	139258	142195.05176493336	142181.99656455146	142205.32868412914
2015	Nord-ovest	175061	174836.773838218	175101.11664153307	174962.67634821174
2015	Sud	49247	48284.47903555772	48271.20724269767	48316.194308883976
2016	Centro	124739	125504.60112551287	125348.36784013768	125364.28410053332
2016	Isole	8682	7930.692283241803	7932.270645818023	7929.001764530983
2016	Nord-est	131654	134187.71115283668	134175.3911217516	134197.40935433854
2016	Nord-ovest	167344	166484.11764619214	166735.83173013394	166604.00528667867
2016	Sud	48025	46483.37442752691	46470.597698251564	46513.9066597171
