Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection	MI 7 selection
2005	Centro	30545	32590.199572471938	32717.507420987244	32838.07733496727	37877.84644514581
2005	Isole	3854	4014.687475759699	4061.376164996559	4037.7571145004154	6066.810242877254
2005	Nord-est	30171	31058.10067024364	30889.86013451163	31052.128552146936	36401.548217356736
2005	Nord-ovest	37566	37906.463717309896	38085.045345671555	37660.14860236518	43343.982020857555
2005	Sud	10361	10316.387213770799	10149.390431772541	10232.797999327418	14172.050530949116
2006	Centro	34920	35934.3608163207	36074.73203905978	36207.67393108214	41764.58625478188
2006	Isole	4935	4823.7409723758965	4879.838525318233	4851.459683305056	7289.414510318517
2006	Nord-est	34852	35646.32210713165	35453.22735250213	35639.46772644703	41779.15857544301
2006	Nord-ovest	41547	42946.522234363445	43148.84814717552	42667.456963608514	49107.01513775264
2006	Sud	12506	12297.467483877424	12098.401914315007	12197.826434610837	16893.54295964941
2007	Centro	40315	39051.70589802735	39204.254477782895	39348.729224260904	45387.70976646338
2007	Isole	5770	5691.265407236684	5757.451809931127	5723.969182490722	8600.377358395202
2007	Nord-est	39761	39030.99846651269	38819.569050339385	39023.49325121478	45746.15774916261
2007	Nord-ovest	45818	45564.572285955495	45779.23212801076	45268.49500099111	52100.6131481652
2007	Sud	14380	13900.828873074015	13675.8088499972	13788.196481371853	19096.147239249825
2008	Centro	42916	43210.99452290366	43379.79062777829	43539.652977839454	50221.82854820844
2008	Isole	6633	6355.464181834274	6429.374864529571	6391.984649140808	9604.083861918907
2008	Nord-est	43852	42817.50944110843	42585.56864074956	42809.27612298946	50184.1259069951
2008	Nord-ovest	48416	48770.709202272315	49000.47351715662	48453.798531504384	55766.656541017524
2008	Sud	16038	15336.45404200324	15088.194799769683	15212.189401761054	21068.325291117562
2009	Centro	45444	47313.844437019	47498.66759917455	47673.70875352986	54990.35163407529
2009	Isole	7451	7357.654593439207	7443.220219879466	7399.933957517837	11118.54771275393
2009	Nord-est	49500	48102.0867170593	47841.519565029324	48092.837235076404	56377.89791389626
2009	Nord-ovest	51834	53116.99941835652	53367.23959693281	52771.846678316666	60736.403294190844
2009	Sud	17642	17369.602949766977	17088.43205756488	17228.86458509738	23861.346574703115
2010	Centro	50900	50397.40260032228	50594.2711368754	50780.720148420274	58574.206416999994
2010	Isole	8467	8179.954022506145	8275.082555831475	8226.958574007174	12361.168621379302
2010	Nord-est	54356	53666.81239475055	53376.101337941705	53656.49287956519	62900.016965011186
2010	Nord-ovest	57149	57030.8851328043	57299.564068668005	56660.30007555269	65211.71898978944
2010	Sud	19303	19019.529744894036	18711.65062047756	18865.422738486213	26127.9196906962
2011	Centro	57626	54500.64644542465	54713.543578080484	54915.172851297044	63343.187347790656
2011	Isole	9511	8939.06673496082	9043.02334711957	8990.433383423442	13508.30468295951
2011	Nord-est	60025	57209.21334955351	56899.31324313917	57198.212671116424	67051.87674969579
2011	Nord-ovest	63934	60973.345842950526	61260.59815613109	60577.142788983976	69719.70864065424
2011	Sud	20897	20222.054403633298	19894.70938053325	20058.203861093076	27779.87786900264
2012	Centro	56205	56385.8893748485	56606.15087545611	56814.754747810264	65534.30440535021
2012	Isole	8548	9195.88155881903	9302.824791374742	9248.723944869074	13896.391380445439
2012	Nord-est	54453	58129.192385792005	57814.30878835346	58118.014805891675	68130.13525629771
2012	Nord-ovest	62419	62539.686918748244	62834.31844150034	62133.305825358	71510.73457053819
2012	Sud	17439	20253.541614243917	19925.686891116493	20089.435944482797	27823.133160860743
2013	Centro	65575	62607.6762745108	62852.24208483443	63083.863929497296	72765.55465516122
2013	Isole	8932	9622.847710305421	9734.756333089314	9678.143576216278	14541.602903593788
2013	Nord-est	60329	61240.863510150935	60909.12411001734	61229.08759142665	71777.15951166161
2013	Nord-ovest	70952	69490.17986085833	69817.55594023208	69038.63466351142	79458.2456695845
2013	Sud	19819	20084.87412139168	19759.74970762062	19922.13509122416	27591.427605214318
2014	Centro	78326	73617.9590150517	73905.53454687541	74177.88976722598	85562.21759171193
2014	Isole	9976	10446.058982662476	10567.541116586028	10506.085275729944	15785.60174767386
2014	Nord-est	67066	69361.27474777504	68985.54739256683	69347.93736669916	81294.66170374963
2014	Nord-ovest	80494	80182.03457226664	80559.78118577434	79661.01400940285	91683.80070518336
2014	Sud	23366	23171.769256982945	22796.67564921714	22984.01845340033	31832.023943721615
2015	Centro	76165	79523.2548535435	79833.89837874887	80128.10068873416	92425.6272031243
2015	Isole	10864	10747.933779024945	10872.926556962731	10809.694738249878	16241.780993928076
2015	Nord-est	68135	71124.13358860757	70738.8568949208	71110.45722990725	83360.8148074531
2015	Nord-ovest	87180	83439.64370659123	83832.73728435593	82897.45529292632	95408.69978313864
2015	Sud	25900	24794.93831064119	24393.569612285704	24594.03567170259	34061.83883647896
2016	Centro	80362	77953.01903139781	78257.52870818244	78545.92181170433	90600.62606369784
2016	Isole	10514	11437.124557490371	11570.132259198681	11502.84582056925	17283.25425911652
2016	Nord-est	69210	71968.43901622936	71578.58875254316	71954.60030723669	84350.38030149508
2016	Nord-ovest	86115	88438.03597582395	88854.67754364335	87863.36815243312	101124.08980913773
2016	Sud	27656	26725.361887148243	26292.744407752485	26508.81786261999	36713.74205661736
