Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection	MI 7 selection
2005	Centro	9006	8930.026911800245	8563.203789440324	8954.53962787565	485.03959547010834
2005	Isole	323	328.8281205171287	338.14691512789943	332.79830449830337	13.48993030435268
2005	Nord-est	4029	4227.870167869441	4325.700391311662	4195.648244386218	178.7714419672059
2005	Nord-ovest	39760	38826.91954374497	39392.90707241492	38855.05643009711	1999.793755164451
2005	Sud	476	443.4803248300879	432.21099855005104	439.2574525542274	35.03452169140657
2006	Centro	10474	10371.701902130395	9945.658384736467	10400.171982507161	563.3450094420506
2006	Isole	368	367.3340181633446	377.74404715791513	371.7691121947161	15.069606260098494
2006	Nord-est	4640	4746.767455066265	4856.604631308462	4710.590852744808	200.71251692500067
2006	Nord-ovest	46384	46615.3634131206	47294.88459703833	46649.14438771327	2400.940217347167
2006	Sud	515	493.48507314318226	480.9450708201722	488.7860497203823	38.98484900326564
2007	Centro	11812	11645.226521695267	11166.869805028255	11677.192397518427	632.5172384169404
2007	Isole	400	410.0328507991718	421.65293947728526	414.9834792716946	16.82129427093127
2007	Nord-est	5110	5314.773135334123	5437.7536013204835	5274.267583721196	224.73009326373187
2007	Nord-ovest	51465	52385.16371554942	53148.79239633956	52423.125918457175	2698.1157530046685
2007	Sud	547	542.8129009907937	529.0194239236379	537.64417213805	42.88170024549207
2008	Centro	12508	12817.98571578823	12291.454990957252	12853.170788309626	696.2163348144031
2008	Isole	423	446.62383058445533	459.28088600583175	452.0162488940838	18.322412138512615
2008	Nord-est	5535	5810.665986173843	5945.121096951742	5766.381079741294	245.69844765634528
2008	Nord-ovest	54685	57394.58204483196	58231.23398715265	57436.174446475066	2956.1275553733562
2008	Sud	561	587.3827285362648	572.4566827828944	581.7896004970324	46.40267401252969
2009	Centro	13405	13269.919558672658	12724.824524351401	13306.345179076461	720.7633838319427
2009	Isole	457	462.1940442236239	475.2923502981411	467.7744531852577	18.961168630767446
2009	Nord-est	6264	6054.382368986792	6194.476921668173	6008.2400236247695	256.00376155118056
2009	Nord-ovest	59910	59476.24488855456	60343.241633457685	59519.34581859863	3063.3443112775694
2009	Sud	579	602.5886042157584	587.2761603184077	596.850684023995	47.60392365429036
2010	Centro	14641	13692.77978798681	13130.314715347566	13730.366149880349	743.7312826515883
2010	Isole	481	478.01539239148286	491.5620661232727	483.7868241371712	19.610227731216817
2010	Nord-est	6766	6344.809736209017	6491.624593228257	6296.453952866996	268.28420469714865
2010	Nord-ovest	64043	61756.49742126748	62656.733849125085	61801.2507926363	3180.7894969555005
2010	Sud	607	615.1655408615776	599.5335030730674	609.3078615867088	48.597489625674136
2011	Centro	15584	14174.449331798247	13592.198481607387	14213.357865381302	769.8934435261367
2011	Isole	540	489.6504334361407	503.5268373552775	495.56234359803983	20.08754667989398
2011	Nord-est	7093	6547.292619447205	6698.792801446623	6497.393650597751	276.84599954252127
2011	Nord-ovest	68379	63539.55380565807	64465.78219188744	63585.59931288111	3272.626425161793
2011	Sud	662	629.4302382951822	613.4357187444272	623.4367288787197	49.724387085782304
2012	Centro	12554	14463.052328015097	13868.94639012514	14502.753070107112	785.5690827956562
2012	Isole	497	507.2464264136474	521.6214903752168	513.3707859528756	20.809409270383956
2012	Nord-est	6371	6651.7535815245055	6805.670923667269	6601.058482946987	281.2630313051715
2012	Nord-ovest	60915	64890.29035384073	65836.20868842989	64937.314705669276	3342.196572514965
2012	Sud	596	646.7016959681282	630.2682895469746	640.543725682294	51.08881573031545
2013	Centro	13119	13631.98811176771	13072.020208812772	13669.40760192462	740.4293474690297
2013	Isole	508	496.5560821117417	510.62818803337456	502.551369254017	20.370845806482365
2013	Nord-est	6621	6466.600566290171	6616.233585562985	6417.316576865177	273.4340133354219
2013	Nord-ovest	62530	62936.540262277165	63853.97840325433	62982.14878084021	3241.5680066082928
2013	Sud	635	629.1167023795011	613.1301501236553	623.1261784892315	49.69961804818594
2014	Centro	15353	13652.665307622376	13091.848037289266	13690.141556200759	741.5524413646993
2014	Isole	531	494.19000583971905	508.19505855806216	500.1567256012647	20.273779278369826
2014	Nord-est	6875	6466.230602493969	6615.855061040115	6416.949432679006	273.4183697705305
2014	Nord-ovest	69012	62712.83620267427	63627.01336623341	62758.28260856469	3230.0460525965977
2014	Sud	711	633.5489712420983	617.4497901250006	627.5162427617915	50.0497630510523
2015	Centro	15453	14446.801868406825	13853.363458665706	14486.45800336538	784.6864296488685
2015	Isole	586	506.40671331975585	520.7579803084823	512.5209343846075	20.774960662112754
2015	Nord-est	6628	6613.591824623708	6766.626128012591	6563.187568754685	279.64939795355946
2015	Nord-ovest	68473	65263.92716085875	66215.29207157379	65311.22227782921	3361.4408639023513
2015	Sud	708	662.0284436316745	645.2055675755406	655.7245302359346	52.29961414326186
2016	Centro	15171	14848.241160074043	14238.312630441713	14888.999236546922	806.4908378056655
2016	Isole	560	534.2819534225381	549.42318824259	540.7327327828099	21.9185217590538
2016	Nord-est	6338	6714.617784548643	6869.98976431842	6663.4435781794355	283.9211839391268
2016	Nord-ovest	65208	66804.6537573462	67778.47813816469	66853.06539990392	3440.796513597912
2016	Sud	702	678.3537382743581	661.1160183984529	671.8943734858917	53.589296812942486
