Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2005	Centro	7266	8184.872912031171	8007.828007544568	8036.761037570524
2005	Isole	198	246.77566330437773	253.5425806897199	251.94760274971452
2005	Nord-est	3284	3545.3271430125483	3587.0258150605187	3509.6561710291085
2005	Nord-ovest	41854	42500.109681783906	42821.05240140955	43219.84623611525
2005	Sud	398	460.1199779449156	447.59620910278073	455.31982594461317
2006	Centro	7705	7932.606949396372	7761.018745794441	7789.060030920996
2006	Isole	193	221.4157388416282	227.4872533195683	226.05618343895856
2006	Nord-est	3663	3693.36574174288	3736.8055825828715	3656.2052934728335
2006	Nord-ovest	47007	46512.23587291554	46863.47646002689	47299.91751967061
2006	Sud	461	450.5648382366855	438.301145823952	445.86436919991894
2007	Centro	10061	8253.19702752675	8074.6742214731885	8103.848773109347
2007	Isole	191	217.8021257098001	223.77455010244475	222.3668359820903
2007	Nord-est	4035	3974.1458995687135	4020.888160537073	3934.160408435401
2007	Nord-ovest	51078	50278.25264875225	50657.93258990864	51129.71154121539
2007	Sud	487	497.1469097045432	483.6153238657149	491.9604782356881
2008	Centro	10384	10192.698157920753	9972.222496145097	10008.253066811032
2008	Isole	194	223.66118639085877	229.7942740314653	228.34869121526677
2008	Nord-est	4300	4382.733662161883	4434.281563464102	4338.637204101023
2008	Nord-ovest	54377	54945.31579591249	55360.23940938713	55875.811094952805
2008	Sud	531	533.1943779595864	518.6816346370367	527.6318851694577
2009	Centro	10500	10266.247043496021	10044.180464480492	10080.471026002437
2009	Isole	220	222.8863693666252	228.99821049239497	227.55763552844815
2009	Nord-est	4780	4509.423180159978	4562.461151193372	4464.052047558579
2009	Nord-ovest	58771	56495.17220583011	56921.79967454072	57451.914220950326
2009	Sud	554	557.029760373017	541.8682540453422	551.218607528872
2010	Centro	11145	11260.195494151072	11016.629068967844	11056.433178064195
2010	Isole	295	263.8543933473047	271.0896322587631	269.384269861486
2010	Nord-est	5365	5267.885609393235	5329.844301934555	5214.883279169629
2010	Nord-ovest	64887	64773.61052541444	65262.753232989955	65870.54734746573
2010	Sud	620	623.8197610980459	606.8403321194523	617.3118287812676
2011	Centro	11871	11241.524053326262	10998.361505331231	11038.099612015125
2011	Isole	389	307.7599472725969	316.19913495352404	314.20999907138656
2011	Nord-est	6028	5458.309466997636	5522.507846221751	5403.391205234969
2011	Nord-ovest	71666	66383.84880981431	66885.1513508139	67508.0549110072
2011	Sud	683	645.1226644747198	627.5634027343597	638.392491918097
2012	Centro	8395	10189.241223823818	9968.840338110489	10004.858688723742
2012	Isole	308	321.5492059448764	330.36651346546273	328.2882538703269
2012	Nord-est	4652	5126.432689718866	5186.727671502391	5074.853574598175
2012	Nord-ovest	53284	61639.88063677853	62105.35875147271	62683.74794985338
2012	Sud	539	597.987137659889	581.7108335618327	591.7487013985163
2013	Centro	10012	9442.978614927379	9238.719945926987	9272.100303415318
2013	Isole	452	321.27446432181875	330.0842380611535	328.0077541955289
2013	Nord-est	5086	5035.380779640481	5094.604846502897	4984.7177746564375
2013	Nord-ovest	60693	59061.82573225749	59507.83547478508	60062.03385556201
2013	Sud	732	596.1653170980109	579.9386001960828	589.9458867829866
2014	Centro	13354	12238.313097622306	11973.589259300934	12016.850954885733
2014	Isole	603	478.0297930944958	491.1380067420176	488.0483707364179
2014	Nord-est	6210	6158.966650391636	6231.405869721573	6096.998792992045
2014	Nord-ovest	74989	74239.3692903864	74799.99337493005	75496.6081128006
2014	Sud	1148	842.4348213907734	819.5050216137981	833.6462110568239
2015	Centro	15991	14215.884058760166	13908.38388588928	13958.636175049814
2015	Isole	749	555.3491161526089	570.5775286253264	566.9881568963468
2015	Nord-est	6251	6745.527368533402	6824.865472517812	6677.657886234495
2015	Nord-ovest	79583	81953.25520880762	82572.13127303032	83341.12818047446
2015	Sud	1419	1089.959006752055	1060.2919735818502	1078.588127074374
2016	Centro	16894	15732.165256340455	15391.8667904862	15447.47904184638
2016	Isole	952	629.7448309987213	647.0132730653058	642.9430616845493
2016	Nord-est	6370	6650.231955487966	6728.449234223838	6583.321278927377
2016	Nord-ovest	84284	83689.98530270929	84321.97641260519	85107.2696839689
2016	Sud	1641	1231.9550596084866	1198.4231089652085	1219.1028214377484
