Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2005	Centro	26477	28612.72936534282	28618.265060191687	28658.64252876384
2005	Isole	3957	3938.791307953399	3958.6606856050844	3943.0561661237657
2005	Nord-est	11807	12061.414694988653	12060.78743911373	12081.863167595287
2005	Nord-ovest	36056	34885.558275255695	34854.79113562399	34788.40697612888
2005	Sud	4486	4723.550806113739	4699.405873821015	4714.067481381872
2006	Centro	28398	30419.94852473173	30425.83386164598	30468.761626412514
2006	Isole	4130	4261.682562177515	4283.180776639531	4266.2970416646895
2006	Nord-est	12825	13208.515418751485	13207.828507712862	13230.90864314059
2006	Nord-ovest	39656	39183.523103681495	39148.96539595955	39074.40258613517
2006	Sud	4842	5013.55055157305	4987.923254740073	5003.485003452196
2007	Centro	36272	32138.43153163816	32144.649342865014	32190.00218189548
2007	Isole	4267	4431.8288332981365	4454.185356884095	4436.627544357337
2007	Nord-est	13652	14057.54714402513	14056.816078950562	14081.379785134037
2007	Nord-ovest	42028	42004.797777993976	41967.75186150777	41887.82041327774
2007	Sud	5340	5316.240265326396	5289.065737830669	5305.56701656543
2008	Centro	37553	37386.82357527642	37394.05679109574	37446.81601146406
2008	Isole	4551	4558.816685348107	4581.813803825303	4563.752896756013
2008	Nord-est	14593	14712.931043281085	14712.165894857986	14737.874797808227
2008	Nord-ovest	43638	43851.17879181653	43812.50446904204	43729.05951958779
2008	Sud	5593	5679.541596820967	5650.510015932389	5668.13895937689
2009	Centro	39883	40454.21988603929	40462.04654996137	40519.13439262059
2009	Isole	4937	5018.637677423774	5043.954379811219	5024.071775406934
2009	Nord-est	16661	16217.805957792496	16216.96254809947	16245.301021120827
2009	Nord-ovest	46302	47528.407892280135	47486.49045611474	47396.048062010785
2009	Sud	6211	6186.944349351988	6155.319125331818	6174.523015323582
2010	Centro	42940	42750.55250866376	42758.82344326377	42819.151805103014
2010	Isole	5437	5369.1727204959925	5396.257709803551	5374.986372033925
2010	Nord-est	18369	17872.685255522723	17871.755783556866	17902.985939488626
2010	Nord-ovest	50214	50198.91966731091	50154.64698694898	50059.12284302146
2010	Sud	6976	6709.510148461322	6675.213773784391	6696.039675475777
2011	Centro	46640	44854.75288127193	44863.43091478979	44926.728664251226
2011	Isole	5869	5707.828175701686	5736.621524911354	5714.008517772868
2011	Nord-est	19755	19012.38088993533	19011.392147908708	19044.613771371394
2011	Nord-ovest	54713	52891.83167009552	52845.18398977079	52744.535470349976
2011	Sud	7551	7214.6060643162455	7177.727838148722	7200.121526109978
2012	Centro	44427	45634.4670656419	45643.295950193184	45707.69401009949
2012	Isole	6043	5786.210075673633	5815.398825261202	5792.475288371463
2012	Nord-est	19005	19231.985325752565	19230.98516316074	19264.590516358297
2012	Nord-ovest	52770	53909.74366397187	53862.19824137221	53759.61272465229
2012	Sud	7302	7325.343609106751	7287.899336202147	7310.636746606657
2013	Centro	49261	48357.43378457855	48366.789480558655	48435.03011352793
2013	Isole	6408	6414.585248904455	6446.943860169796	6421.530855860826
2013	Nord-est	20650	20496.975533088043	20495.909584470337	20531.725340909623
2013	Nord-ovest	55990	57540.582589230224	57489.83496681732	57380.34028188486
2013	Sud	7926	7830.629062985211	7790.601969746251	7814.9077547348525
2014	Centro	62861	56314.575117938184	56325.47027929857	56404.93980343747
2014	Isole	6970	7279.172658898555	7315.892713159713	7287.054426821896
2014	Nord-est	22489	23590.707817469054	23589.480978789987	23630.70262361539
2014	Nord-ovest	61747	65318.27463596699	65260.667517847505	65136.372566705635
2014	Sud	9040	9007.259455975489	8961.2178913487	8989.175863806939
2015	Centro	61152	61460.92508006899	61472.81590397555	61559.5478105738
2015	Isole	7532	7241.470779540624	7278.000645284399	7249.311724491727
2015	Nord-est	22816	23485.44679962298	23484.225435060634	23525.26315016569
2015	Nord-ovest	67678	65502.31559006903	65444.54615797159	65319.900993026335
2015	Sud	9499	9210.598803046067	9163.517847721689	9192.106972851043
2016	Centro	61752	60075.5310192754	60087.15381147253	60171.93068943876
2016	Isole	7149	7523.1785743724095	7561.129525450569	7531.324547870712
2016	Nord-est	22555	23522.127320644	23520.90404850502	23562.005857973938
2016	Nord-ovest	65743	68612.09008839293	68551.57800658772	68421.01521336012
2016	Sud	9140	9414.666360250249	9366.542291904738	9395.7648300241
