Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2005	Centro	87836	73686.62311270487	73240.07601493853	73656.17466965369
2005	Isole	2579	3023.40018014243	3048.103050303322	3019.887402868556
2005	Nord-est	63962	56740.045651856584	58075.02180230408	56849.20922773351
2005	Nord-ovest	88494	76859.78742186262	76610.61589516737	76718.68398748735
2005	Sud	9510	9945.520396853166	9728.490412151394	9960.36211206961
2006	Centro	104547	114130.10882204953	113438.47081898495	114082.94851028467
2006	Isole	3309	4343.960687896185	4379.453275864497	4338.9136000236485
2006	Nord-est	76648	82796.98391040986	84745.02603091834	82956.27907366987
2006	Nord-ovest	105835	114555.42837686121	114184.0514587438	114345.12120698075
2006	Sud	11666	14901.328031623765	14576.152991435552	14923.5653061119
2007	Centro	120198	158170.0510925744	157211.5273567138	158104.6928010741
2007	Isole	4218	6453.76112296182	6506.491960287638	6446.262735698163
2007	Nord-est	88096	115467.99284152577	118184.71636214627	115690.14456616952
2007	Nord-ovest	120784	159464.16525733465	158947.1988325866	159171.4121528521
2007	Sud	14273	21236.632247012585	20773.20893804785	21268.32370561807
2008	Centro	202773	204535.14008931984	203295.640037073	204450.62303178792
2008	Isole	21966	9182.83352674483	9257.862411710226	9172.16433080632
2008	Nord-est	146485	149274.14601037148	152786.2585318344	149561.33822844733
2008	Nord-ovest	208610	204803.5557053728	204139.60363941628	204427.56604873115
2008	Sud	53873	29090.167025599534	28455.364797801023	29133.578326101146
2009	Centro	262106	231607.08493842394	230203.5266366253	231511.38133798642
2009	Isole	34265	29539.877325616297	29781.234642102652	29505.556030531436
2009	Nord-est	179561	166784.30625275907	170708.396699963	167105.1867008016
2009	Nord-ovest	253610	237018.0609381932	236249.6727591554	236582.9301171335
2009	Sud	77073	69453.40088536183	67937.79688173367	69557.04630114924
2010	Centro	294535	273795.75681141124	272136.53163022915	273682.620204565
2010	Isole	42492	41562.27434166276	41901.861364709555	41513.984666443255
2010	Nord-est	194320	187707.20787446323	192123.5710074266	188068.34240994096
2010	Nord-ovest	275822	264718.346776782	263860.1571197045	264232.3622440983
2010	Sud	91794	90195.45876407782	88227.22399559559	90330.05758438857
2011	Centro	320828	293185.6917568418	291408.96194849664	293064.5429314271
2011	Isole	50200	48759.283601169336	49157.67421444272	48702.63198606078
2011	Nord-est	208682	194110.0570748282	198677.0660326086	194483.510210097
2011	Nord-ovest	293900	275010.43708822934	274118.8815327828	274505.5577688365
2011	Sud	107492	101927.52500820343	99703.27446016598	102079.63160881623
2012	Centro	255854	294435.259021659	292650.95673119975	294313.5938558816
2012	Isole	44120	52791.79666247412	53223.13516244466	52730.45981901525
2012	Nord-est	189656	192389.71471108298	196916.2475642036	192759.85803716816
2012	Nord-ovest	259678	270605.4649734552	269728.1898846051	270108.67254467926
2012	Sud	97358	109458.2664075453	107069.6809001013	109621.61114500323
2013	Centro	281074	267669.5552244064	266047.4553371173	267558.9500580347
2013	Isole	50661	52514.10902346798	52943.17866014467	52453.094815045726
2013	Nord-est	213912	197409.81900471353	202054.46454928097	197789.6206334961
2013	Nord-ovest	288292	270507.988199944	269631.0291207693	270011.37472440244
2013	Sud	113424	111958.97389848994	109515.81824420125	112126.05044554046
2014	Centro	338750	309159.2091295372	307285.67847020196	309031.4598017042
2014	Isole	60051	63190.68250706341	63706.98571945421	63117.263581282765
2014	Nord-est	239333	233640.86612445535	239137.95341902404	234090.37356006168
2014	Nord-ovest	325716	315497.1900527837	314474.3806078131	314917.9829206087
2014	Sud	132790	136542.23429650423	133562.62560454552	136745.99648044052
2015	Centro	359595	350059.4992873066	347938.10944951756	349914.8493321543
2015	Isole	64218	70458.30482526637	71033.98857606032	70376.44191688557
2015	Nord-est	248489	246943.4340047582	252753.50326216934	247418.53457941566
2015	Nord-ovest	334062	336488.9247010529	335398.062211106	335871.1797853143
2015	Sud	141139	150507.1332470924	147222.78416099935	150731.73527097475
2016	Centro	362755	367337.9400702403	365111.8414364775	367186.1503982992
2016	Isole	66739	74442.72572501379	75050.96442265165	74356.23346479326
2016	Nord-est	252288	253864.1973295809	259837.097862071	254352.6129318116
2016	Nord-ovest	339242	342018.8444265964	340910.0545055866	341390.9473794088
2016	Sud	145993	158120.4289728096	154669.9434364404	158356.3923294841
