Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection	MI 7 selection
2005	Centro	11915	12352.110381430683	12269.214474088516	12362.545179791046	0.06042292662751373
2005	Isole	14329	14408.845237628193	14616.999178620594	14412.272890896204	0.019477540562591877
2005	Nord-est	26400	25843.750616780562	25702.036501386057	25826.74051736712	1.1816187595840364
2005	Nord-ovest	22158	22122.337604870812	21954.697010708376	22120.92653538133	0.9116003846758368
2005	Sud	5890	5905.344331300078	5911.597000709683	5902.8554708092315	0.001955583948257275
2006	Centro	12893	13012.385689702793	12925.058626947934	13023.378274505423	0.06365280114075167
2006	Isole	15009	14889.284865477168	15104.379362794298	14892.82680829675	0.02012698763381643
2006	Nord-est	28274	28202.532684527123	28047.88419598006	28183.970058235445	1.2894661530351257
2006	Nord-ovest	24044	23983.911777575715	23802.164383039657	23982.38196789863	0.9883107107838133
2006	Sud	5967	6067.4383404540185	6073.862637493737	6064.881163984873	0.0020092621801480054
2007	Centro	14398	13979.529166315873	13885.711533646383	13991.338773218562	0.06838378536297185
2007	Isole	15136	15618.577169083957	15844.207213464553	15622.292599862261	0.021112827941712303
2007	Nord-est	30284	30070.28907962121	29905.398755466453	30050.49711466148	1.374863045595419
2007	Nord-ovest	25925	25819.53546704318	25623.877921986088	25817.888572425585	1.0639516892069139
2007	Sud	5970	6210.586593028273	6217.162457639605	6207.969085440367	0.0020566664311535716
2008	Centro	15319	15243.573000327564	15141.272277942637	15256.450444394855	0.07456711966601288
2008	Isole	15290	15802.463346313925	16030.74985843036	15806.222520920825	0.021361400982565244
2008	Nord-est	32140	31800.133745840638	31625.757824557266	31779.203214340065	1.4539543872153178
2008	Nord-ovest	27606	27438.37117340741	27230.446272860427	27436.621021633426	1.1306594340667397
2008	Sud	6170	6247.265674188346	6253.880375174993	6244.632707871734	0.002068812890077791
2009	Centro	16533	16427.75963410196	16317.511749455856	16441.63745368104	0.08035981580265032
2009	Isole	15829	16393.680860110337	16630.5082548201	16397.5806767055	0.022160595013479778
2009	Nord-est	34714	34207.10023478997	34019.52572125025	34184.58546190474	1.5640048516082818
2009	Nord-ovest	29695	29587.724431259267	29363.511972695273	29585.83718335835	1.219228340827778
2009	Sud	6426	6590.517682941223	6597.495824434385	6587.740049977746	0.0021824824884729773
2010	Centro	17141	17127.384590192778	17012.441471797665	17141.853437954025	0.08378217733304952
2010	Isole	16517	16577.565836587055	16817.04968168629	16581.509396725203	0.022409166431182553
2010	Nord-est	35723	35684.26407833072	35488.58954206271	35660.77705090701	1.631543210664172
2010	Nord-ovest	30818	30772.741616471176	30539.54923053378	30770.77878245344	1.268059623542169
2010	Sud	6651	6693.902859252808	6700.990466560845	6691.081653676759	0.0022167190003408973
2011	Centro	17594	17561.428453332504	17443.572435137263	17576.26397205536	0.08590539350306053
2011	Isole	17468	17078.1153627346	17324.83027700081	17082.177996274593	0.02308579759338454
2011	Nord-est	36113	36388.67664167102	36189.13946159536	36364.72597690968	1.6637501109578599
2011	Nord-ovest	31330	31575.882390795818	31336.603894113374	31573.86832858234	1.3011548349027442
2011	Sud	6946	6854.981094259807	6862.239253680642	6852.0920008126095	0.0022700608536048417
2012	Centro	13549	13771.763059911276	13679.339760628836	13783.39715045607	0.0673674540790609
2012	Isole	14649	13689.90543213655	13887.67338095671	13693.162060153556	0.018505694519929408
2012	Nord-est	27716	28219.008100070703	28064.269268640594	28200.43462982456	1.2902194361157013
2012	Nord-ovest	24242	24587.949843672235	24401.625116391973	24586.38150553126	1.0132014498751107
2012	Sud	5548	5444.47110352211	5450.235793269344	5442.1764821989655	0.0018029635021222208
2013	Centro	14718	14454.160542353035	14357.157624144906	14466.371107679144	0.07070554382560046
2013	Isole	15455	15296.091146592562	15517.062473679056	15299.729862668843	0.020676898866178763
2013	Nord-est	28620	29543.492692567517	29381.49105454394	29524.047459746194	1.3507770488430915
2013	Nord-ovest	25964	25896.54268163598	25700.30158454023	25894.890875126483	1.0671249436658006
2013	Sud	6301	5869.493014804591	5875.707724288854	5867.019264173588	0.0019437116076909714
2014	Centro	16109	16154.084148225618	16045.67291958553	16167.730772614312	0.0790210750294368
2014	Isole	18343	16732.529179952435	16974.251665976633	16736.50960360054	0.022618642260531546
2014	Nord-est	31151	31812.664047968156	31638.219416817188	31791.725269147446	1.4545272932256184
2014	Nord-ovest	27511	28643.445896220837	28426.389074529223	28641.618878963454	1.1803172324649511
2014	Sud	7011	6777.673229958656	6784.849534623689	6774.816718606303	0.0022444599724335147
2015	Centro	16193	15855.517652428427	15749.110125164607	15868.912054234534	0.07756057468480677
2015	Isole	18610	17429.513356008654	17681.304657448887	17433.65958198511	0.023560809195961475
2015	Nord-est	30124	31097.364141252096	30926.841854617807	31076.896165710063	1.4218226056964174
2015	Nord-ovest	26539	27452.634537015427	27244.60155029813	27450.883475455303	1.131247187855877
2015	Sud	7142	6733.297413770576	6740.426732638861	6730.459605005145	0.0022297647016821915
2016	Centro	15873	15997.116254109442	15889.758448374796	16010.630275382266	0.07825323380585808
2016	Isole	19746	17704.981566462295	17960.75235360579	17709.193322291823	0.023933180690993136
2016	Nord-est	29159	30495.746807800708	30328.52348769344	30475.6748107992	1.3943156722857755
2016	Nord-ovest	25944	26873.22578002353	26669.583487907323	26871.511675951013	1.1073713545152781
2016	Sud	7283	6860.137382229524	6867.401001207384	6857.246115618377	0.0022717683838385573
