Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2012	Centro	56205	57646.38158888711	56480.959907091485	58486.52822554248
2012	Isole	8548	8315.85922477267	8547.871713627983	8407.346911620767
2012	Nord-est	54453	53772.072423445294	55752.736874332484	53752.32977155326
2012	Nord-ovest	62419	63273.197956939184	62697.2700026407	62490.408044397205
2012	Sud	17439	18646.601735984586	17917.782017989033	18359.158673918544
2013	Centro	65575	64297.60313966079	62997.71546725066	65234.685633546265
2013	Isole	8932	9077.726226873036	9330.99480659718	9177.595663318403
2013	Nord-est	60329	58842.827652485445	61010.27055859414	58821.22325060304
2013	Nord-ovest	70952	70591.97596718311	69949.4307249411	69718.64115121386
2013	Sud	19819	19961.373982295463	19181.16517199493	19653.663304405905
2014	Centro	78326	75125.44195225879	73606.65072039921	76220.33092262925
2014	Isole	9976	10302.95041043117	10590.40274730528	10416.299262940971
2014	Nord-est	67066	67822.18679959376	70320.37941745577	67797.28558667423
2014	Nord-ovest	80494	81915.85131832614	81170.23342326574	80902.42218624854
2014	Sud	23366	23162.20786850028	22256.8914979416	22805.155358439773
2015	Centro	76165	78962.51726551463	77366.15289477806	80113.32832206243
2015	Isole	10864	10639.397806146444	10936.237026027933	10756.448115492882
2015	Nord-est	68135	69950.73748763946	72527.33408901402	69925.05476801255
2015	Nord-ovest	87180	84939.88279348188	84166.73943238772	83889.0415910428
2015	Sud	25900	24261.752366054418	23313.45927931026	23887.750041666888
2016	Centro	80362	79534.89848288924	77926.96243215134	80694.0515054272
2016	Isole	10514	11040.915155988221	11348.956710726225	11162.382795230886
2016	Nord-est	69210	71274.96840401486	73900.34231641021	71248.79948720736
2016	Nord-ovest	86115	88018.30109109695	87217.13722195408	86929.3749669571
2016	Sud	27656	25294.90574437647	24306.230899899925	24904.977045046548
