Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2012	Centro	27318	28042.569474258937	27580.095431857262	27863.327982805513
2012	Isole	361	383.411018787141	382.9287250480294	381.8173364062018
2012	Nord-est	7785	7622.476309174198	7804.9519640791095	7634.752813658759
2012	Nord-ovest	58256	57900.27930087169	58037.00277131654	58137.64552116353
2012	Sud	1401	1407.919771841177	1397.078081801821	1416.3509065391797
2013	Centro	29374	29434.490802095228	28949.06139236245	29246.352477738663
2013	Isole	394	377.38237055847947	376.90766027199055	375.81374679607785
2013	Nord-est	8181	8020.762827850381	8212.773126142476	8033.680799232881
2013	Nord-ovest	61073	61732.58404094462	61878.356966939566	61985.66106094499
2013	Sud	1509	1480.2976698719274	1468.8986336315709	1489.1622296980224
2014	Centro	33862	32379.03382540257	31845.04343354351	32172.07467638397
2014	Isole	434	418.8527792952616	418.3259032714513	417.11178004938216
2014	Nord-est	8574	8702.86743155205	8911.20673884668	8716.8839777135
2014	Nord-ovest	66723	66886.68002844788	67044.62363650044	67160.88662326794
2014	Sud	1663	1630.0358050850357	1617.483709926465	1639.7970512228503
2015	Centro	33027	33578.14581313965	33024.37983799205	33363.52222305408
2015	Isole	415	422.70623086469595	422.1745075739193	420.9492144008152
2015	Nord-est	8307	8525.333390484455	8729.422682548113	8539.064006278539
2015	Nord-ovest	67649	67171.25093427875	67329.86651701426	67446.62414731098
2015	Sud	1590	1645.5068326334886	1632.8356027851255	1655.36072490057
2016	Centro	31801	31586.447476869824	31065.5283056382	31384.55435289386
2016	Isole	424	392.9527932004025	392.4584968379075	391.31944957599296
2016	Nord-est	7965	7987.733088670324	8178.952682859992	8000.597863463577
2016	Nord-ovest	63276	64668.48588384257	64821.19153440616	64933.59883755527
2016	Sud	1538	1529.5702509236626	1517.791791038658	1538.729872852069
