Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2012	Centro	255854	260518.13689912905	256203.93882794425	260823.281412701
2012	Isole	44120	45934.04175456008	46307.988860387144	46085.53893854572
2012	Nord-est	189656	187867.94987927444	190357.86371598457	186847.97482098392
2012	Nord-ovest	259678	254993.47621543173	258585.42543509047	256324.06749064263
2012	Sud	97358	101545.97454636206	99676.00887868354	101117.99147992801
2013	Centro	281074	287657.28304113884	282893.6588634531	287994.2155969824
2013	Isole	50661	50963.19028284109	51378.07947573669	51131.2743337946
2013	Nord-est	213912	208782.0470472671	211549.14653461293	207648.52490714742
2013	Nord-ovest	288292	282985.8907289162	286972.1532971374	284462.5502999769
2013	Sud	113424	112831.34878241409	110753.56333199584	112355.80155508663
2014	Centro	338750	334229.1867822533	328694.3287101339	334620.6689409858
2014	Isole	60051	59343.64756591052	59826.761709775084	59539.37158997332
2014	Nord-est	239333	242899.7639139905	246119.04364473603	241581.00943236586
2014	Nord-ovest	325716	328972.35897321976	333606.40697178437	330688.9823046549
2014	Sud	132790	131479.57053525248	129058.37871548433	130925.42715317859
2015	Centro	359595	349742.85775351996	343951.0922346567	350152.5110524217
2015	Isole	64218	62047.2536703362	62552.37775801212	62251.8945825234
2015	Nord-est	248489	253242.70732289794	256599.06758240153	251867.79880162375
2015	Nord-ovest	334062	343145.7313073267	347979.4316046522	344936.31325859786
2015	Sud	141139	137385.41331643707	134855.46560271218	136806.378738876
2016	Centro	362755	357561.0152485241	351639.780509641	357979.8259438899
2016	Isole	66739	63457.36052187952	63973.96423024414	63666.652172581504
2016	Nord-est	252288	258620.35977512065	262047.9929220881	257216.25483488868
2016	Nord-ovest	339242	350220.7036882758	355154.0651294864	352048.20382530737
2016	Sud	145993	140465.27066986015	137878.6074877181	139873.25550099366
