Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2012	Centro	13549	13820.63386489902	13900.446128320007	13658.010962930724
2012	Isole	14649	15086.283464409928	14543.434703602283	15036.0681168917
2012	Nord-est	27716	27009.08296222357	27559.727702401382	27259.504486252412
2012	Nord-ovest	24242	23872.31077202031	24343.618415387766	23893.664898278963
2012	Sud	5548	5867.688218951491	5881.944210893083	5902.462613135108
2013	Centro	14718	14644.13529439575	14728.703165530611	14471.822519043286
2013	Isole	15455	16209.121445308683	15625.869678157123	16155.168682969203
2013	Nord-est	28620	28602.553262736576	29185.684705289077	28867.749048509413
2013	Nord-ovest	25964	25314.378604056725	25814.156787958935	25337.022680787824
2013	Sud	6301	6254.473361354502	6269.6690770284185	6291.540007359346
2014	Centro	16109	16160.646511941819	16253.972027187569	15970.48944250881
2014	Isole	18343	17802.672742230236	17162.080321970938	17743.415775422385
2014	Nord-est	31151	31304.684877516043	31942.905734360305	31594.934157998276
2014	Nord-ovest	27511	27871.51505488824	28421.778420804043	27896.44652705215
2014	Sud	7011	6952.489523363146	6969.381122050833	6993.692907425366
2015	Centro	16193	15903.81173583899	15995.654065508279	15716.676757651905
2015	Isole	18610	17752.87901261652	17114.078316904954	17693.78778639303
2015	Nord-est	30124	30779.201302713347	31406.70892035139	31064.57842971157
2015	Nord-ovest	26539	27283.78487198499	27822.44476431646	27308.190611024427
2015	Sud	7142	6860.40449566438	6877.0723668185265	6901.062145029712
2016	Centro	15873	15859.440966131204	15951.027060696173	15672.82808435467
2016	Isole	19746	17730.092396998374	17092.11163060078	17671.077017011256
2016	Nord-est	29159	30499.97913965566	31121.794145825043	30782.76738795285
2016	Nord-ovest	25944	27025.48112956963	27559.041367775724	27049.655812186364
2016	Sud	7283	6856.141386955085	6872.798900564477	6896.773771340905
