Year	Province	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	88001.1815026549	91394.38663626777	91905.13432601353	91492.22318857336	90009.3290743221	90193.44890710551	91158.4837057377	92882.18104824066
2006	Isole	6060.710397160868	6142.300600450639	8508.155316109707	6711.581836477659	6838.761258111758	5782.066646532968	6856.889205955009	8381.765195130789
2006	Nord-est	94635.03335759405	98710.74961478167	98244.42344634126	98802.70422073721	101844.37760504366	102516.89792039797	102529.27319605835	97770.41571108751
2006	Nord-ovest	109624.24559156275	114711.19423278114	118204.59320507577	114963.36979412925	117873.77556663209	120201.96123426771	118518.64194413	116417.12752860654
2006	Sud	40302.26523559088	40989.757256356104	42514.70803956967	41899.039688998106	40818.46619726197	39877.75862060052	39728.95023245476	41221.9944966321
2007	Centro	97612.24271190778	99488.61328821766	102083.95654842354	99516.26096358984	97735.8088301171	98585.01336843024	98305.997171895	98800.62996183867
2007	Isole	6152.413030405392	6054.450884107686	5631.564777531379	6625.862328559509	6636.2684664101325	6008.610793491132	7198.419638583735	6584.467485371969
2007	Nord-est	104639.99905964726	106526.09309628163	108619.91184115125	106557.30840281033	109255.73638592407	110376.2670813472	110606.87238053181	112154.86497414492
2007	Nord-ovest	122743.97459779646	125538.42826575674	130593.24529271937	125698.16772203246	129050.20347979893	131021.61947924114	130580.28997208978	132340.96372156026
2007	Sud	41811.19038261442	41517.999260547556	41351.55943246941	42426.19545949672	41340.34142873419	42852.78519302595	45221.985622449545	42576.37969536064
2008	Centro	105685.2006635593	106735.46496029524	109125.56701092081	106697.3773850421	103994.48803061186	104382.08073630556	104866.58253890226	105292.25210023137
2008	Isole	6293.093206405515	6212.609870362712	6993.658643015306	6782.317389713916	6785.890396261693	5740.311778610189	5671.932267108694	5742.272119500805
2008	Nord-est	114054.10802249996	115482.76077690031	117145.27548467815	115430.92460040443	117381.22962998196	116920.37970410753	118736.8234784046	120514.04086709378
2008	Nord-ovest	133644.08304936156	135263.03300986218	138442.46366146643	135333.96372831755	137493.46317951364	137230.92390860466	135288.11606033886	141387.1974065032
2008	Sud	42514.59126261504	41866.97337400434	44665.07867059693	42771.78440332694	41702.04299125158	40575.959342790346	40427.21412968767	41621.931229209324
2009	Centro	113467.41958481056	114222.69187794116	113736.65304383307	114120.4453482022	111595.01027403245	113546.46343327881	113744.96914920252	115945.62053918751
2009	Isole	6560.906578494639	6527.954296834803	8207.56962024908	7095.801016500281	7117.001310806443	6322.480834513123	6908.052210257385	10007.449523327097
2009	Nord-est	122788.78383904095	123737.81651561841	125039.32200777093	123615.69430050725	124508.98955606746	122156.3110150153	122008.90799138208	124373.09887477002
