Year	Province	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	32997.32880502106	32297.979086520856	32731.081954002726	31874.598069552845	31600.011854630327	31726.58994428964	33686.10859115349	34173.06422924921
2006	Isole	4163.421352579839	4005.381370375057	4854.843390539335	3921.70546945461	4869.230350401093	4279.948677684274	4325.089585552863	4641.280601721876
2006	Nord-est	32593.301927526285	31639.361810175607	32263.40684327831	32747.16549010052	33092.04253494272	33259.54526371236	33725.4743140484	35082.33867472364
2006	Nord-ovest	40582.01518708205	39498.10764904593	40662.45596129089	40486.7545534754	40904.79059290865	41693.489482804405	43357.06038135319	40964.066081776866
2006	Sud	11192.840849527687	10784.37602279411	11281.584128854372	10607.231408975304	12626.980897680107	12808.784454138506	13292.820834025373	13083.113357646047
2007	Centro	37723.57904309496	37384.69743681454	38264.26272834559	36800.443895819226	36715.569681576366	37330.96065290468	38058.84339977721	37009.27685088998
2007	Isole	5331.210268547354	5190.6151375420795	5623.576200516289	5035.909903386571	5766.093974490084	4842.784742079593	6042.759311329681	6840.6171513331965
2007	Nord-est	37650.119610823174	37248.88457767874	38546.157047017856	38208.01351606422	38651.04824833646	39212.37474634023	38385.213661999136	40583.39619280925
2007	Nord-ovest	44882.63283228711	44724.7199631853	46608.51120047338	46022.653918523254	46129.12627597363	47457.94069631352	47753.21180552905	47350.13803405702
2007	Sud	13510.053823394774	13272.85426749586	13745.018609166427	13031.568651407466	14839.352174014262	14846.2757884407	16492.883033059992	16179.7491131132
2008	Centro	43551.7207652455	43091.54757645542	43512.75573983357	42130.76082595381	41866.98401093007	41579.45655724351	42715.176756490124	40977.42998546965
2008	Isole	6233.248885414028	6154.795307884963	6898.761966715794	5955.7949640400775	6590.995627806382	5513.442481528373	5989.154286107543	6304.11354812819
2008	Nord-est	42953.24244938426	42581.9087870729	43520.834094882244	43290.494235108905	43653.902089974836	43403.02702388545	41756.99597859496	43832.5120552006
2008	Nord-ovest	49496.533350415935	49346.27740456784	50460.27368943457	50317.84796681411	49775.06718264491	49891.200627325044	48486.69421226757	48942.588702075096
2008	Sud	15534.509353943455	15380.456862915662	16506.90362830545	15014.964814637307	16359.431394153366	16295.82416115197	15567.816650183015	14692.793301650367
2009	Centro	46361.54404964098	46501.18897028642	46797.67978291068	45681.57185727975	46080.018397532986	46599.02153168952	46487.18605618502	47590.188851203624
2009	Isole	7165.535503804376	7094.759237547731	7877.719255339732	6884.478424813666	7565.092670729644	6427.505126499233	6403.283802311872	7573.208509299266
2009	Nord-est	47372.69152914662	47228.228982268476	47853.17732065042	47654.01551446259	47701.36601919819	47230.688698180624	45820.00161942363	46807.040792138854
2009	Nord-ovest	52303.11577750531	52528.041692575905	53320.74236719946	53370.0143612233	53407.82026671056	52986.23896144614	55034.7688813398	53983.79463416347
2009	Sud	17325.623158452374	17240.372982073968	18230.173721865205	16838.992038377513	17900.825758916217	18315.14073394574	16385.799113008376	16389.096877157404
2010	Centro	49092.506472921166	49285.69877895124	48799.77921145701	48491.21155405442	48406.91171413238	48421.042884352115	51094.04939970322	52547.07890992738
2010	Isole	8049.209262603107	8000.042872498385	8338.626367485904	7857.888884980231	8433.958691235266	7691.28313181022	8171.717506413038	8545.944187717942
2010	Nord-est	53474.14555077893	53104.6998463725	52920.31224704584	52982.0281580408	52957.6965601693	52960.17998368257	50996.208965776	50347.07935199044
2010	Nord-ovest	55995.53253493081	56108.797865694454	55799.814355385366	56544.98563849183	56244.70224458711	55900.189832435644	58305.01929867584	56943.14912528265
2010	Sud	19058.40153145135	19008.66589758716	19605.99411748689	18661.66636578036	19713.6505475594	19978.18622341106	18607.08449704832	18892.07466143348
2011	Centro	54986.54562696257	54677.12162674614	53106.7856986469	53589.78687299665	53056.782533864956	53278.44455977345	55457.955484835846	57341.45004581135
2011	Isole	9146.779603604953	9073.587014395735	9260.91715589059	8848.37466032983	9161.495633414375	8469.70359795832	8123.297780145899	8618.319294571553
2011	Nord-est	58720.013243598776	58584.00781905603	58281.04579742943	58275.37579603756	58191.60593776225	58794.719144409726	57736.296990928386	57878.330761176345
2011	Nord-ovest	61737.251395585154	61552.288277447646	59734.36173086429	61931.18830462228	60911.974149719725	61049.652862373936	61824.284155399146	63571.35543699485
2011	Sud	20852.756193266378	20817.17407093832	20702.9321191672	20374.81207807961	20893.923343513805	21686.598109081155	21183.797369254647	20409.382355263726
2012	Centro	62252.54770725629	61792.23768339127	60065.40129500817	60365.60043208863	59463.60679762522	59497.17108572117	58931.382055695845	58970.534914319825
2012	Isole	10274.597946130472	10211.86940838467	10534.682092618064	9915.808052893055	9904.091500591894	9105.028266122466	9074.078941539028	9221.706842290181
2012	Nord-est	64844.15326637384	64632.54688752999	63941.459876850146	64174.3506065399	63981.32807845746	63875.329278519785	60555.38384447861	59056.94716498094
2012	Nord-ovest	69066.99033623232	68691.97998803176	66565.89300307645	68882.5479701197	68317.47493868574	66594.39238170622	65902.8106534012	64037.14326396107
2012	Sud	22574.73170857833	22577.11468865503	22472.3248929423	22067.59713029457	21892.208539871106	21924.73937811702	18918.038272305646	18768.63572684102
2013	Centro	60717.461629929894	61867.508189290376	61555.713385408	61110.405309728754	61144.21812326898	61759.40189686991	62202.59181868171	62653.61524776984
2013	Isole	9234.282750869865	9558.825872682482	9989.552325169318	9426.001745663812	9522.49194146022	8824.536401925337	8306.021949302758	8341.795496634344
2013	Nord-est	58824.80096316293	60779.51747741568	62446.85787461916	60985.58808137011	61803.709670396674	62417.68504262102	62872.41111884821	62159.47382557072
2013	Nord-ovest	67430.35739664787	68694.9096117101	68091.76215260146	69787.8449803236	69823.69957368466	68493.50183667653	68443.63107477638	68336.22627056044
2013	Sud	18839.103520404722	19800.40378332737	19796.703973082476	19816.428697553885	19762.27798517574	20461.001420437162	20295.80685929214	20663.79313694636
2014	Centro	70839.7392826733	69972.09488439599	67018.60021751352	68174.14309571234	65237.091839885026	65517.61971390491	58416.92093228351	58613.56174133831
2014	Isole	9649.112486051665	9709.699110382999	9864.980354480396	9503.988902625246	8932.937659777606	8373.495559482313	6450.854228811854	6969.273907331522
2014	Nord-est	65172.56014005943	64924.16222599264	64515.091074488424	64305.01436600271	62855.27379257775	62526.46631142986	55450.235737479496	53489.03419522772
2014	Nord-ovest	76648.4358609872	76031.26890139554	74429.54779065917	76010.7482474031	73486.44010134952	72547.37498409206	64135.6149394867	61329.8202902246
2014	Sud	21410.183649916922	21238.495865724115	19914.79604283887	20993.677775014166	19683.736763132172	19864.79628693419	14115.186665826255	15670.322468883485
2015	Centro	84614.46311940021	83265.76119763977	79566.18760099448	80502.68468221967	76147.09292900383	77944.02875509896	70747.87635257943	67869.94039485333
2015	Isole	10776.930828577184	10721.361595741946	10294.340504401343	10448.709612465273	9837.332464306986	9391.394059002154	7974.257929952709	8465.134689282826
2015	Nord-est	72450.44536380887	72133.27310028204	71272.23423896605	70950.02427632957	68197.14868733117	69719.9755526713	62004.63608961494	55436.11818274978
2015	Nord-ovest	86956.52266594746	86284.11663408828	83468.5250322829	85390.87272544671	81640.45527434589	82819.39541812442	75211.0738704133	68068.06225771687
2015	Sud	25241.95727150506	24891.07429178221	22623.6890158722	24446.467250949536	22738.592555631858	23257.40790033131	17482.841710814737	16403.067122088112
