Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	10654.220384632146	10663.956375071808	11260.343947195812	11099.89036419252	11260.343947195805	11205.443523133845	11198.557536102468	11329.048288384938	11174.279179206347
2006	Isole	2737.1948552581366	2740.802646183056	3066.4103683078692	2978.947748315877	3066.4103683078642	3086.2848951139217	3181.526448822542	3085.1158481127122	3387.176411197359
2006	Nord-est	12482.690593580208	12534.22696526659	12667.584983000696	12987.89889238753	12667.584983000692	12672.372233895345	12881.878000889667	13043.724252028449	12838.546851453211
2006	Nord-ovest	10480.891427838715	10499.400565515918	10624.089235342708	11227.327150601193	10624.089235342704	10674.90288094754	10356.417555870303	10677.59980705454	11019.041538425063
2006	Sud	3202.077143998904	3203.6567635929378	3224.160496622456	3429.141640682439	3224.1604966224554	3269.1558550667714	3316.8560552971485	3426.4219903983253	3603.9626104801073
2007	Centro	10860.612090409299	10873.18199912309	10522.706166131375	11270.783966482893	10522.706166131376	10417.289805906083	10420.06266175357	10508.603353034521	10997.927086210233
2007	Isole	2836.383102209292	2844.5359843394285	2757.878474552732	2934.386196360585	2757.8784745527328	2754.860250598157	2788.7194372608396	2831.227098761788	2980.3230415390994
2007	Nord-est	13181.015928175713	13244.431719285803	13343.361123894065	13803.323206562034	13343.361123894065	13344.05058780645	13426.982668637553	13562.945096349431	13973.575598867004
2007	Nord-ovest	10831.556947363	10859.667763826768	10613.68273346236	11418.017130246315	10613.682733462367	10736.926532979209	11062.749431461083	11090.829155384872	11280.163117954136
2007	Sud	3372.400396339271	3387.7280592878205	3226.029316638589	3654.86424476842	3226.0293166385923	3323.9551401849803	3433.026621668547	3749.755772169344	3761.982322754832
2008	Centro	11323.490576181355	11363.23275332465	10968.908586574144	11563.156490577665	10968.908586574149	10878.998422058006	10899.614391458628	11088.649012186122	10593.322996030676
2008	Isole	2991.6778322843325	3005.7267542925574	2971.252424913152	3174.2375789918287	2971.2524249131525	2923.6048584399905	2983.88488748194	2865.0066153588814	2848.845451582527
2008	Nord-est	13900.381193942676	13965.422063539076	14222.356020534884	14313.848226636495	14222.35602053488	14280.506923448613	14404.686583991568	14380.163599519545	14990.057150407323
2008	Nord-ovest	11085.03802290484	11102.47300557471	11029.374554046848	11369.045552471223	11029.374554046846	11100.711203166124	11087.24913447056	10971.083388025325	11515.859598324596
2008	Sud	3389.432721573308	3388.260434856547	3492.4160540447065	3891.0707616098402	3492.416054044706	3525.505015750659	3700.640516478985	3692.622385801849	3772.792014687659
2009	Centro	11686.1789135179	11714.825237799785	11776.272639332965	11648.711113384463	11776.272639332963	11681.156224270393	11716.865620445142	11810.680684176075	12416.114847564178
2009	Isole	3180.0353113430915	3197.4728554734475	3242.2013967000003	3356.3897876479405	3242.2013967000003	3213.3697695887186	3251.867921971581	3166.492618820561	3228.127918204622
2009	Nord-est	15070.602127669434	15183.09073703508	15293.34906224587	14985.955373450217	15293.349062245865	15276.870433647378	15187.677681982563	14941.187380369376	15246.132065371155
2009	Nord-ovest	11491.810025553012	11525.369354742212	11218.878698866778	11515.556420631967	11218.878698866782	11362.532026229046	11361.756514188954	11661.529433213695	11630.447770556319
2009	Sud	3745.1077485193687	3780.037761017636	3506.76752092676	3838.104729859695	3506.7675209267627	3465.9718104172966	3498.3663694242487	3321.958187451173	3735.4675550507286
2010	Centro	12125.011763665436	12161.45772071901	12002.620691735308	11561.300536986135	12002.620691735312	11877.432707610598	11887.887721987776	11902.251390142117	11694.939905288682
2010	Isole	3287.2387701690873	3295.854027661001	3413.791880378708	3266.925771121266	3413.791880378704	3377.0744673831596	3482.1496325872045	3398.346077263953	2985.841398836444
2010	Nord-est	15686.771540547821	15739.131546897266	16750.605156392205	15634.475688787175	16750.605156392186	16781.749896839534	16831.45674724845	16763.781915268988	16012.718659106766
2010	Nord-ovest	11725.253071407751	11739.965770638879	11734.608680689606	11573.217352012485	11734.608680689602	11882.227586689147	11739.374192412797	11935.138727988277	11401.022321991106
2010	Sud	3868.341631095046	3878.1657835344226	4252.806720795488	3921.6066396918527	4252.806720795483	4257.322381876435	4006.580647442762	4039.698738760633	4549.9368797364605
2011	Centro	12258.264661084664	12261.73055583543	12308.915088808011	11597.66440847504	12308.915088808008	12206.632274834004	11996.95957334056	11999.045115106172	12264.286025361165
2011	Isole	3379.4137067297565	3386.3311105510793	3360.6731714664975	3179.8761705338266	3360.6731714664984	3325.779210293487	3343.72261313975	3108.8257876486664	3363.0207364810676
2011	Nord-est	15988.343887338706	16006.60495834406	16111.564216893687	15859.733218530513	16111.56421689368	16069.286132990674	16056.662222387355	15958.197216566308	15836.986044567338
2011	Nord-ovest	11968.71513210604	11984.289500787947	11658.609637530142	11100.26590021866	11658.60963753015	11794.146157721434	11642.811574992757	11400.058915370062	11871.222380241052
2011	Sud	4042.6724893728338	4057.8370898915978	4001.5981832592997	3710.9080157613184	4001.5981832593006	3985.4268483338897	3886.7643640475744	3836.6226419752797	3581.8541542414905
2012	Centro	12326.393962020811	12322.796106563721	11847.162925879922	11746.112795228579	11847.162925879926	11700.386175310365	11693.306770419169	11877.2318979784	11005.594517057887
