Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	42076.826257501234	42818.85428041074	43999.45978825373	44923.350653181486	43999.459788253705	45892.08552334845	45043.78643414088	45663.540843214374	43950.71794914447
2006	Isole	10655.220736882193	10740.997342987283	11249.910346806726	12655.211112236493	11249.910346806719	10911.675247106072	10723.41272512262	10968.623243027221	12280.195220864334
2006	Nord-est	103911.71889988828	105666.46807819662	107492.42752544038	106317.66876155783	107492.42752544033	108938.82311510509	107603.0070584414	106455.9175849178	111031.51184243761
2006	Nord-ovest	128926.9273581259	131841.67615364882	133761.96790295484	135283.36516953737	133761.96790295478	134407.53284150478	135263.5709521395	132835.2463641408	134561.41259045404
2006	Sud	27359.31556841342	27742.766299338058	29113.917208584004	29200.14166994994	29113.917208583982	28316.323177366357	28771.856142994413	24897.983022070686	29599.778177373882
2007	Centro	45675.89079934055	45968.64657281029	47296.29743484287	50063.48361105604	47296.29743484284	49027.63274845809	48898.65334838636	48849.13305632955	44214.44843436408
2007	Isole	11572.344871500045	11647.578095028122	11626.775820826324	12493.571005864913	11626.77582082632	11416.691950794728	10979.55124430832	13330.339670841939	14243.56489028814
2007	Nord-est	112334.75275997177	112968.51834710417	116075.7473032662	116195.75465427448	116075.74730326615	116263.90482029965	115526.91567809657	115713.72030898748	116835.52214285618
2007	Nord-ovest	140665.0799827772	141698.35784530512	147848.12621829665	146970.0489177558	147848.1262182966	146916.60033462907	147469.96048797463	149151.54432175474	149317.9793446989
2007	Sud	28915.835851120777	28955.87174785122	29641.501417808777	31219.185508821145	29641.501417808766	29076.972889485227	30009.283614344633	29552.150854261545	36958.4916076766
2008	Centro	49788.95937594875	50146.30005559063	49757.25991276873	53803.514616612476	49757.259912768706	51808.85958089472	51825.55937519752	50620.48798785285	47718.12672658573
2008	Isole	12231.430690276262	12248.501975962925	12235.423338915389	14114.559212665004	12235.423338915385	11988.98359795735	11516.582430289456	12906.075032392902	10210.76109877823
