Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	15997.563277083704	16089.144625554458	15847.64897504263	16862.21977734311	15847.648975042608	15929.367094838666	15838.666613456222	16798.25762467999	17757.133318914355
2006	Isole	273.53567986464253	274.2212444301363	274.10063514293165	570.4635645572494	274.1006351429313	407.0207202690125	328.6769479444339	926.7684925901958	859.2892735417877
2006	Nord-est	4821.066357614324	4836.060893647623	4741.965622296331	5191.73451937258	4741.965622296325	4959.263508919431	6152.75762078425	5968.610872341824	5301.424910977821
2006	Nord-ovest	35538.26840741411	35862.749678863285	35510.61895815512	36299.348295999174	35510.61895815507	35503.992545682864	36283.55825255044	36306.54802168334	36685.938606111216
2006	Sud	1051.4027694797198	1055.0745646921557	1053.12376724063	1547.4197550112003	1053.1237672406287	1329.1748233107976	1516.2452269195012	2816.566898707709	1523.1915622037423
2007	Centro	17532.995980073905	17542.641725609286	17380.996763802446	18437.530970057192	17380.996763802417	17466.022147741594	17644.60000116528	18442.00263111187	18421.36108294108
2007	Isole	287.4261636077689	286.8391418088726	286.3908139948909	341.2922861048887	286.3908139948905	418.6690632016688	184.70633808253547	65.44163029696892	310.66771951163673
2007	Nord-est	5380.959702337264	5389.7766776080125	5379.491320184724	6149.956633790973	5379.491320184718	5600.645185164606	6634.762867051586	5892.250162347433	5693.848129686068
2007	Nord-ovest	39757.76996907611	39828.37610979306	39133.78319260988	40487.11634107385	39133.78319260982	39102.55606246358	38939.853495852425	39162.93465595475	39183.13119372897
2007	Sud	1120.8551881953517	1119.5756688301867	1115.1545989201022	1809.5282174013837	1115.1545989201006	1387.65093060377	1527.0754931442707	2212.8606615495046	1435.9287762465583
2008	Centro	20966.08246212506	21083.108840989105	21202.763453140367	21790.177731270014	21202.763453140342	21270.81517095984	21264.40987579052	22320.130726461197	22818.34590851244
2008	Isole	290.6316598561827	289.32204981049017	292.42388813610853	475.0608489829565	292.42388813610813	425.6178334186635	125.62997260919008	-387.26994177161623	44.4303858183639
2008	Nord-est	5851.099152104619	5851.526323337953	5860.037577767396	6353.5298330177875	5860.037577767388	6083.661466558737	6453.753653585826	6525.152350221269	6681.770580065145
