Year	Province	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	28036.501825801795	27950.10487409211	29238.457122068794	27898.88932536201	30322.867788434287	30663.678614310647	31747.900614246028	31410.870580077288
2006	Isole	4190.068275284122	4159.025458774838	4839.378573209805	4146.348327232165	4205.968377332347	4730.58972753225	3994.109504022389	3745.4541269197885
2006	Nord-est	12502.435210078249	12373.556354311937	12986.867424413547	12552.472719261152	12074.965070278848	12989.211418289762	13505.818968712334	12676.132130957189
2006	Nord-ovest	38179.70728674357	37560.95338234827	38540.30665200535	37613.05473777852	38146.88299133323	38538.37519621606	38760.30206410077	38080.69901274403
2006	Sud	4750.226505667064	4737.569584983122	5641.333981909675	4748.7256576944155	4623.690628879918	4496.346055314169	5608.101182694478	5130.53246874794
2007	Centro	30070.6491992718	30036.601326486372	31389.166197611783	29980.366537424416	32219.066670686636	32421.479199822745	33025.53042463005	33051.80429956995
2007	Isole	4373.258017923535	4386.0881400230655	4497.558117994064	4370.9998641543825	4246.190152265321	4720.544738962395	4398.6885877609	4035.7466601033934
2007	Nord-est	13580.39566098531	13539.87079404558	14645.060904612797	13721.539839945804	13518.107935231897	14249.019056900923	14097.184908504938	13910.315787616331
2007	Nord-ovest	41991.7481740377	41790.842897899565	42860.40882016881	41853.078904883325	42395.30242791565	42572.161110003646	42493.0059955863	42445.79159791632
2007	Sud	5127.194993410594	5116.632314685663	5852.812738412642	5131.26920121014	4878.415348595619	4792.983524548833	5543.008327644087	5947.8244855167595
2008	Centro	38408.42973998122	37458.87797319668	37571.539823095045	37368.9016228108	38164.66032220007	37770.44325104972	36848.377125779036	37220.32829432978
2008	Isole	4518.327351690005	4538.5600922578815	4851.232876592741	4523.062684601528	4489.2291075657295	5058.403769117143	4584.344412340641	4413.927196194988
2008	Nord-est	14456.106164816487	14455.868569347735	15068.61741305056	14636.44315473345	15221.740686995226	15173.023796386655	15405.848132144905	15427.220571344982
2008	Nord-ovest	44503.459558665934	44531.80359769469	45051.76592774834	44567.54889785379	44871.23326752057	44788.27602247297	45035.51158799764	45017.66031039855
2008	Sud	5654.527316152948	5625.262119104655	6552.392370612641	5636.566807149087	4915.092604601243	4848.412194741102	5293.465213503709	5159.041536110383
2009	Centro	39764.88095571005	39930.35963075095	40708.29587941096	39827.993027205026	39974.435724793126	40257.66099202217	40312.53587500316	40887.95597410563
2009	Isole	4819.055021687653	4817.586198565665	5291.739935706651	4804.392542436593	4758.5508559963455	5443.456917479614	4542.24407168277	5064.357239977356
2009	Nord-est	15452.531296745312	15442.749770705586	15279.846088324673	15615.228316757968	15631.590708169335	15942.882202196275	15904.75142120031	17104.872979293166
2009	Nord-ovest	46208.288955483586	46380.28329187348	46706.54641101583	46403.784509469544	46450.42802207188	46002.80863907055	46211.60521347619	47252.637204620034
2009	Sud	5922.429078510007	5936.675396122543	6377.382644473315	5951.0088534728275	6008.099391326514	5846.543398803924	5955.112040571288	6358.810343119969
2010	Centro	42232.11852998652	42245.80022788781	41972.1962385523	42146.74911819664	42429.62227425341	42578.17716610184	42928.127408183704	43212.72443436536
2010	Isole	5227.7905168253	5213.173379811514	5121.962477929897	5207.719639430636	5693.494096484958	6308.960548715497	5700.73638226274	6384.486353643884
2010	Nord-est	17642.33700644649	17465.071614195993	17197.95304012971	17612.601243224242	17665.941798493925	17709.692246062816	17351.422137515896	18352.71103268432
2010	Nord-ovest	49029.199212081236	49051.93706042678	49107.69753103153	49045.45574905016	47870.24181127699	47646.24707690388	47958.050108438816	48328.7212575657
