Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	22721.294764478254	23550.602387919076	24750.141457604095	24637.76130277464	23540.773868358898	24014.842072669046	24176.45705390913	24830.258863079096	27094.68179370086
2006	Isole	2569.8355110401067	2658.2677982375235	3370.5850676730674	4596.637317302519	2880.7505450642984	3607.5754556861702	3911.649629844012	3732.072969382489	4528.42379971656
2006	Nord-est	10526.14497439237	11058.208707594435	12935.033234414119	11249.236806406308	12085.92643308432	12312.09662876802	12276.273383857246	13914.81431122805	12704.703115798186
2006	Nord-ovest	6814.845911029526	7081.725686648237	7741.187950835583	10063.009925985185	8637.513969109626	9495.467229487103	8943.293969537182	8461.822169098752	9203.482316664044
2006	Sud	10737.984156174787	11241.853993913592	13497.420035915979	13323.489347528208	11474.28130176068	12731.296824077297	13019.733445382019	13725.647509041097	14917.542968337475
2007	Centro	26633.12120865455	27311.323222956275	28993.355640356982	28688.416442251	27050.039036725073	27161.40059913519	27021.08586981389	28786.358273294183	29292.75291467081
2007	Isole	3179.6444178215324	3300.0508204575617	3328.3476789865854	3630.6360063429474	3517.7600378877146	4286.554101276449	4416.743862584057	3669.878732200396	2903.4777572829335
2007	Nord-est	13133.000924967268	13654.664075890894	15011.771577541029	15293.299280243291	14422.114425452963	14103.019774760684	14151.263236500094	15723.895803218056	15842.072134015583
2007	Nord-ovest	8362.505952692336	8663.669072360131	9040.117851399056	11742.193031931529	10061.596508315562	10070.768101112166	9957.40445090178	10656.377177692384	10612.201857135566
2007	Sud	12685.670613921871	13032.02775397366	14625.555547523043	14666.292644186611	13142.296976783911	14217.031928808661	14994.83427078011	15291.898432254267	14944.785075655855
2008	Centro	31739.885173370505	32671.000253036815	31984.6272177645	33599.12609124564	32143.902560078324	32084.30958695268	32013.763019036214	31845.761802741235	33323.70716348389
2008	Isole	3953.9886114242536	4108.144568691123	4214.288843669774	5074.210153014441	4255.886175118597	4914.3440513634505	4608.23738207364	4469.866066286114	4350.027879919049
2008	Nord-est	15730.601765658468	16210.476987306007	17269.667829070808	17459.666189382282	16864.422818341394	16438.299427442973	16916.87220673122	17726.30640708117	18205.283427992097
2008	Nord-ovest	10064.41782575011	10382.481124290282	10781.606919654745	12189.766367565182	11635.061056483606	11503.680985234829	10680.182939561593	11295.863215582578	11041.811847286212
2008	Sud	14726.936516048565	15068.310894406839	15203.638956953684	17725.138951056084	15063.371054356332	16051.116985001521	16066.43725837005	15683.10871641177	15606.600862721607
