Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	94971.2756100573	100031.2202860085	101624.46649322087	109105.70873534781	101624.46649322091	107582.40937770126	125002.79468819688	121714.57077122494	129429.1655136752
2006	Isole	2788.5026617598455	2894.5474278111287	2964.8738673132766	14456.14134207847	2964.873867313278	14259.71044570654	10199.502392119004	7473.306073920734	-2255.2966535068117
2006	Nord-est	69157.89346703498	72012.70160760243	73385.68688241768	68219.88938112272	73385.68688241772	80652.52785794341	78865.85192622249	84898.41104340077	80053.46991859609
2006	Nord-ovest	95682.72762690026	100048.61538942686	102815.25819043262	113940.54410107055	102815.25819043268	113403.96717996137	129169.12620768098	131802.51406566153	107364.00819032034
2006	Sud	10282.53598811017	10762.65620483088	11038.97566161006	27298.55103488743	11038.975661610066	36251.24434186367	22542.180165973834	17933.660741170246	6159.65582638653
2007	Centro	113039.7781229184	114674.99936651073	116271.43108627146	132335.8004193698	116271.43108627152	121776.21323380608	142320.8861770418	141624.23801393746	145791.24570638593
2007	Isole	3577.803531509627	3686.3221638989085	3694.3793504867076	18355.727485554486	3694.379350486709	15492.522255257518	19211.52211011242	17685.040975164124	23517.40967453923
2007	Nord-est	82874.42885559078	84195.9145563079	84824.89527095364	94729.7233939424	84824.89527095368	92662.00526436722	95030.67101569148	103977.20605531015	90730.7924254043
2007	Nord-ovest	114432.40760269611	116207.4978323542	117342.65026019498	146500.32290524102	117342.65026019506	129180.0492675837	153563.6579749631	156011.6199891364	145359.11106902966
2007	Sud	12613.676639042404	12878.369420204119	12991.25596702339	40122.447573516	12991.255967023397	38890.29599052954	37846.86883342873	41627.53539215491	43081.74564097589
2008	Centro	129962.1725235401	130836.78345645883	130292.08289839473	162595.8339406435	130292.08289839479	136968.0485247599	165800.56982819107	163020.0954749531	179609.437831759
2008	Isole	4560.645299458328	4692.89561783775	4687.940233393844	25034.410282614183	4687.940233393847	16448.963448881892	23013.413581530654	20365.453618421554	24329.574321865104
2008	Nord-est	95252.3964677764	95886.92907236797	95563.73670580576	117986.44707394336	95563.73670580583	104365.3780992629	114213.62001835924	118546.23627444624	132113.49977257755
2008	Nord-ovest	130595.77568747623	131254.94794038095	130824.73866560528	169394.52825487792	130824.73866560534	143986.2770230374	174980.08720172243	171333.3147481745	169770.46959754545
2008	Sud	15432.45385471046	15747.60283659711	15690.52320991426	55756.332734969335	15690.523209914267	41060.510721557315	46115.91010553676	42256.047228980475	42197.33806005912
2009	Centro	219245.07570105823	236576.97426876693	231855.85998850802	222031.11046296233	231855.85998850808	224993.9021588352	223675.7892919777	229416.69623052378	225632.34110701736
2009	Isole	23750.387540991378	28112.812726032837	27208.291831781182	41624.375739439034	27208.291831781175	36051.98929347369	34758.21032583855	33866.63057349474	32702.720628150273
2009	Nord-est	158384.5724730093	170548.5076607452	167199.3034567892	178707.63993675564	167199.30345678923	168296.19651127912	165462.81142342344	164990.4896779564	170396.2120385631
