	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.042075377778691	1.4572640366922471	1.213819591382833	1.4397007393411954	1.334798829008243	1.4413077061531223	1.4607480641476311	1.206367546383343
y_prev_2		-0.438314303391221	-0.16934647666048766	-0.4312220836488457	-0.3939831120398142	-0.5318130026548673	-0.5784710836311616	-0.3217341738235552
native population - Total			0.004200312066022949	9.599264384707595e-05	0.0005633761720647001	0.0013444089829253159	0.0032749730767509533	-0.003037695040205124
Free activities in voluntary associations			8.667908018187033			-23.35632631086738	-29.850563404670133	6.27954060603635
Meetings in cultural, recreational or other associations			-28.259048540241384					-39.66539666622192
Disposable Income			-2.2654982006365363		-0.6513129399676916	-0.33118054721078644	0.19906332821691805	-5.547300839460364
Average monthly expenditure for housing			565.3128312012875					
unemployment - Total			-18.361550956660736					
reach_difficulty - Emergency room			-5.328167273088355					
internal_migration - Foreign country					0.12850885925198996	0.44821629073732966	0.4469166395363707	0.519113597378261
political_info - Every day						-0.4924276725516128	-0.3957299659818188	3.419276047567967
reach_difficulty - Pharmacy							0.8128997375989595	-19.066524103267017
reach_difficulty - Supermarket							-2.357385636490814	-37.300209757586906
reach_difficulty - Post offices							-12.910274821512587	37.08023066433007
reach_difficulty - Police, carabinieri								-21.471123960104556
Born alive								1.2262781866404746
political_info - Some times in a week								11.9699001526134
Pay money to an association								-3.420948792481569
R2	0.99588	0.99708	0.99725	0.99716	0.99795	0.99907	0.99912	0.99284
R2_adj	0.99557	0.99659	0.99451	0.99639	0.99681	0.99814	0.99694	1.1002
MAE	5556.49334	5051.53239	5206.002	5070.32825	4394.87224	2818.67046	2717.64201	7782.11218
MPE	-2.94089	-2.14341	4.2154	-3.6965	-4.20382	1.5003	1.47528	10.83117
MAPE	5.2111	4.80876	8.54096	5.21469	5.85353	4.51349	5.35932	14.94291
