	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.0802857687026046	0.8953341666559657	0.6860924975096722	0.8265697115830588	0.6805077731708216	0.7142177004132012	0.16406838988203332	0.2231051125403678
y_prev_2		0.20034795669301747	0.40681356270817903	0.20431357689957433	0.32277882630612265	0.4241236936939214	0.8375137268080726	0.745045618836717
native population - Total			0.0012106199750828717				-0.0003675860466971492	-0.004929717828524527
Free activities in voluntary associations			0.302283643459895				-13.692055731651156	-9.079245474920056
Meetings in cultural, recreational or other associations			-4.650302180904165					
Disposable Income			-0.7261337931438772			-1.5579336729984918	0.9029135709343297	-0.9179070119175108
Average monthly expenditure for housing			172.9106021898157					
unemployment - Total			-6.0500664338676495					12.453918884666358
reach_difficulty - Emergency room			-1.2732176700388063					
internal_migration - Foreign country				0.04750739168393192	0.07653543240150518	0.034912332198111906	0.04077953429399184	0.18841930566626294
Born alive					0.07701934813296485	0.17639808897402448	0.04911846748196794	0.5403856602710863
political_info - Some times in a week					-3.8793805110379798	-1.6121537248046618	-2.44664600508041	-0.046244164775830994
political_info - Every day						-1.474589945255948	-2.112140046160424	-0.9844655002760454
Pay money to an association							12.079507055859567	10.564993712718953
reach_difficulty - Pharmacy								2.6042672607845185
reach_difficulty - Food stores, markets								-2.886076539318094
reach_difficulty - Supermarket								-14.994879565148297
reach_difficulty - Post offices								11.851070193701693
R2	0.99539	0.99513	0.99471	0.99611	0.99438	0.99426	0.97768	0.96067
R2_adj	0.99504	0.99432	0.98943	0.99505	0.99126	0.98852	0.92188	1.55056
MAE	3010.97614	3249.70527	3561.3057	2837.13864	3150.40256	3451.47626	7308.85088	10857.54113
MPE	-1.06128	-0.75903	2.53091	1.35815	6.53239	6.16974	18.98217	23.72891
MAPE	5.38183	5.74755	6.93486	5.43288	6.98193	7.99794	18.98217	23.72891
