	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.0412357450742478	1.2995315692523295	1.144740974695622	1.2912983113862258	1.2399458986504837	1.3858407581638128	1.330409810091615	1.0503551316868593
y_prev_2		-0.27764560406901495	-0.0961475683331043	-0.27420538156147384	-0.22096012241840124	-0.3720880998571852	-0.30636601530573454	-0.07737151679669724
native population - Total			0.0017777822997533943	1.5489631902898537e-05	1.2909222771195772e-05	0.0015017249111735076	0.0015684712550765312	0.0008697481690176367
Free activities in voluntary associations			-0.16480473554760086		-2.252154648943544	-7.295434608407829	-7.394539506361722	-4.200256803347022
Meetings in cultural, recreational or other associations			-6.658411421571409					-11.2709723405721
Disposable Income			-0.7947001861486626					
Average monthly expenditure for housing			138.52109240073287					
unemployment - Total			-5.388565782361948					
reach_difficulty - Emergency room			-3.0551039808136555					
Pay money to an association					1.3009216118251294	-0.7848702846571891	-1.3063513721971671	2.585782217106227
internal_migration - Foreign country						0.030929045060802126	0.04434017441896566	-0.11378283623967288
reach_difficulty - Post offices						-8.332569160416279	-9.253542580950986	-4.651013618090184
Other goods and services							16.492384219622483	3.6564765148310383
Accommodation and catering services							-1.8933564373409426	-3.549703648070316
Transport							-10.302015228856801	-12.809290069792707
internal_migration - Italy								0.08308282345969366
reach_difficulty - Supermarket								-6.145311573040185
Food and non-alcoholic beverages								-5.237919020233392
Non food								2.914351344769706
R2	0.9953	0.9957	0.99563	0.99573	0.99582	0.99672	0.99621	0.99165
R2_adj	0.99494	0.99498	0.99125	0.99456	0.9935	0.99344	0.98673	1.11686
MAE	1189.17594	1167.20206	1625.56336	1243.93344	1226.35159	1284.49882	1381.27091	2458.26429
MPE	-1.98454	-1.29166	77.82099	-11.62335	21.31357	28.86866	49.88987	124.06178
MAPE	5.94795	5.84936	81.08476	13.98948	24.02577	44.50746	63.70205	124.86722
